'bang'za 绑扎
'bi'jiang 比降
'bian'hang 边夯
'bian'po 边坡
'bian'zhi'dai 编织袋
'bian'zhi'dai'sha'li'shi'wei'yan 编织袋砂砾石围堰
'bian'zhi'dai'wei'yan 编织袋围堰
'biao'hao 标号
'cao'dai 草袋
'cao'dai'nian'tu'wei'yan 草袋粘土围堰
'cao'dai'wei'yan 草袋围堰
'cu'liao'shi 粗料石
'da'hang 打夯
'dang'qiang 挡墙
'dang'tu'qiang 挡土墙
'dao'yun 倒运
'dou'po 陡坡
'dou'qu 斗渠
'e'shi'po'sui'ji 颚式破碎机
'fan'lv'liao 反滤料
'fan'shai 翻晒
'fang'kuai'shi 方块石
'fang'lang'qiang 防浪墙
'fang'shen'qiang 防渗墙
'fen'liu'ji 分流计
'fen'sha 粉砂
'feng'di 封底
'gan'gou 干沟
'gan'qi'shi 干砌石
'gang'jin 钢筋
'gang'jin'long 钢筋笼
'gang'jin'zhi'an 钢筋制安
'gong'cheng'liang'qing'dan 工程量清单
'gou'feng 勾缝
'guo'du'ceng 过渡层
'hang'shi 夯实
'hu'an 护岸
'hu'di 护底
'hu'po 护坡
'hu'qi 护砌
'huang'sha 黄砂
'hun'ning'tu 混凝土
'hun'ning'tu'ban'huo'xi'tong 混凝土拌和系统
'hun'ning'tu'jiao'zhu 混凝土浇筑
'ji'chu 基础
'ji'dian'she'bei'an'zhuang 机电设备安装
'ji'keng'pai'shui 基坑排水
'jiang'qi 浆砌
'jiang'qi'fang'kuai'shi 浆砌方块石
'jiang'qi'kuai'shi 浆砌块石
'jiang'qi'luan'shi 浆砌乱石
'jiang'qi'shi 浆砌石
'jiang'qi'tiao'liao'shi 浆砌条料石
'jiang'qi'zhuan 浆砌砖
'jiao'lun'che 胶轮车
'jie'shen'qiang 截渗墙
'jie'shui'cao 截水槽
'jin'shu'jie'gou'an'zhuang 金属结构安装
'kuai'shi 块石
'ling'xing'gou'jian 零星构件
'lu'yan'shi 路沿石
'luan'shi 乱石
'luan'shi 卵石
'lv'dai'tuo'la'ji 履带拖拉机
'lv'liao 滤料
'lv'ti 滤体
'mao'qu 毛渠
'mao'shi 帽石
'mao'shi 毛石
'mo'mian 抹面
'nian'tu'xin'qiang 粘土心墙
'nian'ya 碾压
'niu'mian 扭面
'niu'po 扭坡
'nong'qu 农渠
'nong'yong'fen'liu'ji 农用分流计
'pao'shi 抛石
'qi'bi'ji 启闭机
'qi'tu 弃土
'qian'si'long 铅丝笼
'qing'ji 清基
'sa'shui'che 洒水车
'sha'dian'ceng 砂垫层
'sha'li'liao 砂砾料
'sha'li'shi 砂砾石
'sha'shi'liao'shai'fen'xi'tong 砂石料筛分系统
'shen'suo'feng 伸缩缝
'shi'fen 石粉
'shi'ying'sha 石英砂
'shi'zi 石子
'sui'shi 碎石
'sui'shi'dian'ceng 碎石垫层
'tai'ban 台班
'tai'ri 台日
'tai'yun 抬运
'tian'shi 填石
'tiao'liao'shi 条料石
'tiao'zhi'ji 调直机
'tong'zhi'shui 铜止水
'tu'shi'fang'kai'wa 土石方开挖
'tu'shi'fang'tian'zhu 土石方填筑
'wa'shi'da'hang'ji 蛙式打夯机
'wa'tu 挖土
'wa'yun 挖运
'wei'mu'guan'jiang 帷幕灌浆
'wei'yan 围堰
'xi'du'mo'shu 细度模数
'xi'liao'shi 细料石
'xi'sha 细砂
'xi'shi 细石
'xiang'jiao'zhi'shui 橡胶止水
'xiang'mian 镶面
'xin'qiang 心墙
'ya'ding 压顶
'ya'ding'shi 压顶石
'yang'jiao'nian 羊角碾
'yi'liu'ba 溢流坝
'yi'liu'mian 溢流面
'yi'qiang 翼墙
'yu'dao 鱼道
'yun'tu 运土
'zao'mao 凿毛
'zha'tang 闸塘
'zhi'gou 支沟
'zhi'qu 支渠
'zhong'sha 中砂
'zhu'di 筑堤
'zhu'tie'zha'men 铸铁闸门
'zi'tong'zhi'shui 紫铜止水
'zi'xie'qi'che 自卸汽车
