'bing'feng'gong 冰封工
'bing'pao 冰炮
'bo'jin'huo 铂金火
'bo'jin'ju 铂金狙
'dun'dian'huo'chong'feng'huo'sha'de'si'ren'jiu'shi'hao'huo 蹲点火冲锋火杀得死人就是好火
'dun'nai 盾奶
'fei'huo 飞火
'ge'dou'dao 格斗刀
'gui'yu 鲑鱼
'lou'shang'you'chuan'song 楼上有传送
'lou'shang'you'dao'dan 楼上有捣蛋
'lou'shang'you'dao'feng 楼上有刀锋
'lou'shang'you'liu'dan 楼上有榴弹
'san'ji'pao 叁级炮
'wo'kai'xin'jiu'hao 我开心就好
'xiao'jin'pao 小金炮
'yin'ren'fei'huo 阴人飞火
'yin'ren'zhan'dan 阴人粘蛋
'zhen'ai'nai 真爱奶
'zheng'qi'ji'qiang 蒸汽机枪
