'chong'lang'zhe 冲浪者
'chu'shi 厨师
'chuan'zhang 船长
'da'chu 大厨
'da'li'shi 大力士
'fa'mu'gong 伐木工
'guan'li'yuan 管理员
'gui'nv 鬼女
'hou'wang 猴王
'huo'nv 火女
'ji'qi'ren 机器人
'lao'mai 老麦
'lao'nai'nai 老奶奶
'mai'si'wei'er 麦斯威尔
'mu'tui 木腿
'mu'tui'chuan'zhang 木腿船长
'nai'nai 奶奶
'nv'gong 女工
'nv'wu'shen 女武神
'ren'wu 人物
'shui'nv 水女
'tu'shu'guan'li'yuan 图书管理员
'wa'ni'la 瓦尼拉
'wei'bo 韦伯
'wei'diao 威吊
'wei'er'bo 威尔伯
'wei'er'xun 威尔逊
'wei'ge'fu'de 韦格芙德
'wei'ke'bo'dun 维克波顿
'wei'luo 薇洛
'wei'nuo'na 薇诺娜
'wei'si 维斯
'wen'di 温蒂
'wo'er'fu'gang 沃尔夫冈
'wo'li 沃利
'wu'de'le'ge 伍德勒格
'wu'di 伍迪
'xiao'chou 小丑
'xiu'li'gong 修理工
'ya'ba 哑巴
'zhi'zhu'ren 蜘蛛人
