'mei'yao 美鳐
'meng'you 虻鲉
'mian'wei 绵鳚
'mian'yu 鮸鱼
'mian'zhuang'huang'gu'yu 鮸状黄姑鱼
'mo'lu'jia'fei'li 摩鹿加绯鲤
'mu'ye'die 木叶鲽
'nie'shi'wu'ci'fen 聂氏无刺鲼
'pi'shi'jiao'gu'yu 皮氏叫姑鱼
'pu'hu'die'yu 朴蝴蝶鱼
'qi'qiu 鲯鳅
'qian'dian'dong'fang'tun 铅点东方鲀
'qian'gang'man 前肛鳗
'qing'gan'jin'qiang'yu 青干金枪鱼
'qing'lin'yu 青鳞鱼
'qing'shi'ban'yu 青石斑鱼
'qing'teng 青腾
'ri'ben'hai'fang 日本海鲂
'ri'ben'huang'gu'yu 日本黄姑鱼
'ri'ben'jin'xian'yu 日本金线鱼
'ri'ben'teng 日本腾
'ri'ben'xu'sha 日本须鲨
'san'se'long 三色龙
'san'se'ying'zui'yu 三色鹦嘴鱼
'san'xian'she'ta 三线舌鳎
'shao'nv'yu 少女鱼
'shen'kou'yu 伸口鱼
'shi'die 石鲽
'shi'ren'sha 噬人鲨
'shuang'dai'fei'li 双带绯鲤
'si'dai'he'tun 四带河鲀
'si'xian'tian'zhu'diao 四线天竺鲷
'si'zhang'ji'diao 四长棘鲷
'si'zhi'ma'ba 四指马鲅
'song'jiang'lu 淞江鲈
'song'qiu'yu 松球鱼
'suo'you 蓑鲉
'suo'yu 梭鱼
'tai'ping'yang'da'bi'mu'yu 太平洋大比目鱼
'tai'yu 鲐鱼
'ti'yu 鯷鱼
'tiao'ta 条鳎
'tiao'wen'dong'fang'tun 条纹东方鲀
'tu'e'ying'zui'yu 突额鹦嘴鱼
'tuo'bei'san'leng'xiang'tun 驼背三棱箱鲀
'wang'gui 王鲑
'wang'wen'luo'xiong'shan 网纹裸胸鳝
'wang'wen'shi'ban'yu 网纹石班鱼
'wen'fu'cha'bi'tun 纹腹叉鼻鲀
'wen'gao'xia'hu'yu 纹缟鰕虎鱼
'wen'gou'shuang'ji'sha 吻沟双髻鲨
'wu'chang 乌鲳
'wu'lin'jia'san'ci'yu 无鳞甲三刺鱼
'xia'wen'hu'sha 狭纹虎鲨
'xiao'dai'yu 小带鱼
'xiao'gong'yu 小公鱼
'xiao'lin'zhen 小鳞鱵
'xiao'tou'zhi'kong'xia'hu'yu 小头栉孔鰕虎鱼
'xie'wen'hu'die'yu 斜纹蝴蝶鱼
'xin'yue'jin'yu 新月锦鱼
'xing'ban'luo'jia'diao 星斑裸颊鲷
'xing'dian'dong'fang'tun 星点东方鲀
'xing'man 星鳗
'xu'shi'ping'you 许氏平鲉
'ya'ping 牙鲆
'yan'yao'yu 燕鳐鱼
'yin'du'wu'chi'chang 印度无齿鲳
'yin'fang'tou'yu 银方头鱼
'yin'gui 银鲑
'yin'yu 鮣鱼
'ying'ban'lan'zi'yu 莹斑篮子鱼
'yong'yu 鲬鱼
'you'fei 油鲱
'yu'sai'tai 羽鳃鲐
'yu'san'qi'yu 雨伞旗鱼
'yu'wen'hu'die'yu 羽纹蝴蝶鱼
'yuan'dong'ni'sha'ding'yu 远东拟沙丁鱼
'yuan'tuo'jian 圆鮀鲣
'yun'ban'hai'zhu'yu 云斑海猪鱼
'yun'wen'shi'ban'yu 云纹石斑鱼
'zhe'mu'yu 遮目鱼
'zhen'diao 真鲷
'zhen'yan'yao 真燕鳐
'zhong'guo'tuan'shan'yao 中国团扇鳐
'zhou'chun'sha 皱唇鲨
'zi'hong'di'diao 紫红笛鲷
'zi'se'dong'fang'tun 紫色东方鲀
'zi'yu 鲻鱼
'zong'dai'shi'ban'yu 纵带石斑鱼
'zong'dian'shi'ban'yu 棕点石斑鱼
