'bai'tu 白兔
'chen'yu'er 陈雨儿
'di'jie'ba'di 迪杰芭帝
'guo'jia'yu 郭嘉语
'hong'zi'yang 洪子洋
'hu'lan'fang 胡澜芳
'jian'zhi'ting 简芝婷
'jin'chen 金晨
'kang'ke'ren 康可人
'li'cheng'xi 李丞汐
'li'fan 李繁
'li'hui'yue 李惠玥
'li'jia'xin 李嘉鑫
'li'mei'hui 李美慧
'li'shu'yan 李姝谚
'li'xue'yin 李雪银
'li'zi'juan 李紫娟
'lin'jin'yi 林津伊
'ling'huai 凌槐
'liu'jie 柳婕
'luan'tian'yi 栾天奕
'luo'yi'zhou 罗一舟
'mei'ke'li'ya 美克丽亚
'meng'huan 孟欢
'meng'mei'qi 孟美岐
'pang'shen'yi 庞棽怿
'peng'ni'na 彭妮娜
'ren'lu'yao 任路瑶
'tian'xuan'ning 田轩宁
'tong'li'ya 佟丽娅
'wang'yi'ting 王奕婷
'wu'an'qi 吴安琪
'wu'jing'yi 吴静怡
'xu'zhen'zhen 徐轸轸
'zhang'le'yao 张乐瑶
'zhang'lin'yuan 张琳苑
'zhang'ling'ling 张领领
'zhang'xin'tong 张新童
'zhang'xue'han 张雪菡
'zhang'xue'qi 张雪琦
'zhong'yu'xin 钟雨芯
'zhu'jia'ni 朱佳妮
'zhu'jia'qian 朱嘉倩
'zhu'yun'hui 朱云慧
