'ai'beng 爱崩
'ai'guo'ti 爱国体
'ai'guo'zei 爱国贼
'ai'qi 爱妻
'an'tou'dang 按头党
'ao'jiao'lian 傲娇脸
'ao'yun'shen'jing 奥运神经
'ba'ping 霸屏
'bai'gan'an 白干安
'bao'bao'xin'li'ku 宝宝心里苦
'bao'bei 抱背
'bao'bei'shi'cha 宝贝时差
'bao'ju 包剧
'bao'she 报社
'bei'ge'bang 背个棒
'bei'guo'wang 背锅王
'bei'jing'qi'huan 北京七环
'bei'jing'tan 北京瘫
'bei'jing'zhe'die 北京折叠
'bei'shang'guang'liu'lang'gou 北上广流浪狗
'bei'tai'shi'yue'hui 备胎式约会
'bi'bo'ti 比薄体
'bi'chi 碧池
'bi'chi'lian 碧池脸
'bi'gan 毕赣
'bi'ji'ni'qiao 比基尼桥
'bi'sheng'ke 必剩客
'bi'wang 逼王
'bi'yan'hei 闭眼黑
'bi'yao'zuo 碧瑶坐
'bi'zhen 逼真
'bing'jiao 病娇
'bing'qi'lin'xian 冰淇淋线
'bu'cheng'shu'de'xiao'jian'yi 不成熟的小建议
'bu'ru'tiao'wu 不如跳舞
'cai'hua'nian'ya 才华碾压
'chao'ji'dan 超级丹
'chao'yin'fu 超音蝠
'chen'yi'san 陈以三
'cheng'xu'ji 程序基
'chi'gua'qun'zhong 吃瓜群众
'chi'ji 赤鸡
'chi'zhi'yi'bi'kong 嗤之以鼻孔
'chou'ju 丑拒
'chu'dai'mu 初代目
'chu'nv'lian 处女脸
'chuan'pu 川普
'chun'dian 唇典
'cui'shun'shi 崔顺实
'da'dao'wang'ai 打到忘爱
'da'fen'ti 打分体
'da'lian'ka 打脸卡
'da'mi'fan'er 大蜜范儿
'da'yu'hai'tang 大鱼海棠
'dai'ruo'ji'ke 呆若继科
'dan'shen'gong'hai 单身公害
'dan'shen'zhu 单身猪
'dan'wo'hai'shi'mai'bu'qi'fang 但我还是买不起房
'dao'mi'jie 稻米节
'deng'yao'san'jiao'xing 等妖三角形
'di'di'da'chuan 滴滴打船
'di'tan'ying'yuan 地毯应援
'dian'yi'wang'zhe 电一王者
'diao'yu'biao 钓鱼婊
'dong'li'huo'guo 动力火锅
'dong'ling 冻龄
'dou'tu 斗图
'du'ji'tang 毒鸡汤
'du'nai 毒奶
'du'wei 毒唯
'duo'mi 朵蜜
'e'mei'zi'ying 鹅妹子嘤
'e'xin'meng 恶心萌
'e'yu'bi 鳄鱼臂
'er'shou'gan'ga 二手尴尬
'fan'cha'meng 反差萌
'fan'chuan'ti 翻船体
'fan'qie'chao'dan'zhuang 番茄炒蛋装
'fan'tao'lu 反套路
'fei'shu 废鼠
'fei'yu 菲鱼
'fei'zhu 飞猪
'fei'zhu'niu 非主牛
'fen'si'lv'jing 粉丝滤镜
'feng'huang'nan 凤凰男
'feng'mai 封麦
'feng'you'jing'ti 风油精体
'fu'hei'you 腹黑友
'fu'lian'sha 扶脸杀
'fu'shan'xing 釜山行
'fu'yan'kan'ren'ji 腐眼看人基
'fu'yuan'ai 福原爱
'fu'yuan'hui 傅园慧
'fu'zhen'qi'lai'ti 扶朕起来体
'ga'liao 尬聊
'gai'mi 钙蜜
'gai'zhong'gai'ti 盖中盖体
'gan'ga'ai 尴尬癌
'gan'jue'shen'ti'bei'tao'kong 感觉身体被掏空
'gan'you'xi 肝游戏
'gao'di'nan 高低男
'ge'bi'lao'wang 隔壁老王
'ge'you'tang 葛优躺
'gen'feng'chou 跟风丑
'geng'wang 梗王
'gou'ai 狗癌
'gou'ce 狗策
'gou'dai 狗带
'gu'gong'biao'qing'bao 故宫表情包
'guan'cai'ban 棺材板
'guang'bo'ti'cao'shi'wu'dao 广播体操式舞蹈
'guo'lao'fei 过劳肥
'guo'pang 国胖
'ha'jiu 哈酒
'ha'zu'zu 哈租族
'hai'dai 海待
'hai'di'la'ma 海蒂拉玛
'han'ni 憨妮
'he'ying'di 合影帝
'hong'hong'huo'huo'huang'huang'hu'hu 红红火火恍恍惚惚
'hong'huang'zhi'li 洪荒之力
'hou'kong'chao'lao'ren 后空巢老人
'hu'xiang'shang'hai 互相伤害
'hua'quan'qiu'hun 花圈求婚
'hua'ti'fei 话题废
'hua'tian 华天
'huan'cheng 幻城
'huang'you'shou 黄油手
'hui'yi'sha 回忆杀
'huo'lu'bei 活撸辈
'huo'xin 霍心
'ji'bai 季白
'ji'fan'xi'xiao'zhu'pi 纪梵希小猪皮
'ji'ji'fu'ji'ji 基基复基基
'ji'sai'er'bang'chen 吉赛尔邦辰
'ji'xian'min 极限民
'jia'yi'liao 嫁衣撩
'jiang'nan'pi'ge'chang 江南皮革厂
'jin'cui'fang'shai'shuang 劲脆防晒霜
'jing'cheng'si'tan 京城四瘫
'jing'fen 精分
'jing'luo 鲸落
'jing'na'gun 经拿滚
'jing'tou'jiang'ying'zheng 镜头僵硬症
'ju'zuo 局座
'jue'shi'nan 绝食男
'kang'ba'zi 扛把子
'ke'ke 科科
'kong'er 空耳
'kong'xin'bing 空心病
'kou'hong'shi'li 口红势力
'kou'ju'ti'cheng 口拒体诚
'kuo'pa 阔怕
'kuo'yi 阔以
'la'er'duo 辣耳朵
'la'ji 辣鸡
'la'lang'pei 拉郎配
'la'ni'na 拉尼娜
'la'yan'jing 辣眼睛
'lan'fang'ren 兰方人
'lan'shou'xiang'gu 蓝瘦香菇
'lao'die'du 老爹肚
'lao'fan'dian 老翻颠
'lao'jiu'men 老九门
'lao'si'ji 老司机
'li'hai'le 厉害了
'li'tao 李涛
'li'wo'mei'mei 梨涡妹妹
'li'yue'you'du 里约有毒
'lian'yan'lian'yu 莲言莲语
