'a'wei'wu'zhen 阿魏无真
'ai'yue'bu'shu'tou 爱月不梳头
'an'le'zhi'qian'duo 安乐值钱多
'an'shi'kui'xin 暗室亏心
'ba'que'hu'lang'zhi'wei 罢却虎狼之威
'ba'zi'ya'men'xiang'nan'kai 八字衙门向南开
'bai'nian'cheng'zhi'bu'zu 百年成之不足
'bai'shi'xiu'lai'gong'zhen'mian 百世修来共枕眠
'bai'shui'bian'jiu'mai 白水变酒卖
'bai'xing'xiao'dang'xian 百行孝当先
'bai'yun'chu'xiu'ben'wu'xin 白云出岫本无心
'ban'dian'bu'you'ren 半点不由人
'ban'ye'qiao'men'xin'bu'jing 半夜敲门心不惊
'bao'ying'shen'su 报应甚速
'bei'bei'xian'quan'you'qian'ren 杯杯先劝有钱人
'bei'zhong'jiu'bu'kong 杯中酒不空
'bi'you'er 壁有耳
'bi'you'jin'you 必有近忧
'bian'shi'da'dao 便失大道
'bian'shi'hao'ren 便是好人
'bian'shi'shi'fei'ren 便是是非人
'bian'shi'xin'ju'zi 便是新举子
'bian'zuo'deng'xian'kan 便作等闲看
'bie'ren'qi'ma'wo'qi'lv 别人骑马我骑驴
'bing'you'gao'ren'shuo'yao'fang 病有高人说药方
'bu'ca'hong'fen'ye'feng'liu 不擦红粉也风流
'bu'chou'wu'chu'xia'jin'gou 不愁无处下金钩
'bu'dao'bai'tou'si 不到白头死
'bu'hao'xue'zhe'ru'gao'ru'cao 不好学者如篙如草
'bu'hao'xue'zhe'ze'gong'qing'zhi'wei'shu'min 不好学者则公卿之为庶民
'bu'hui'shuo'shuo'wu'li 不会说说屋里
'bu'ji'nai'wu'yan 不击乃无烟
'bu'jiao'seng'dao 不交僧道
'bu'ke'qu'zhong'qiu 不可曲中求
'bu'ke'xie'er'you'yu 不可邪而有余
'bu'ke'xin'qi'wu 不可信其无
'bu'pa'you'hou'zai 不怕有后灾
'bu'qiu'jin'yu'chong'chong'gui 不求金玉重重贵
'bu'ren'bu'nai 不忍不耐
'bu'ru'an'chu'yi'deng 不如暗处一灯
'bu'ru'duo'mai'jing'shu 不如多买经书
'bu'ru'gu'yue'du'ming 不如孤月独明
'bu'ru'you'sheng 不如友生
'bu'shi'bu'bao 不是不报
'bu'shi'cai'ren'mo'xian'shi 不是才人莫献诗
'bu'shi'zhe'ban'ti'mu 不是这般题目
'bu'shi'zhi'yin'mo'yu'tan 不是知音莫与弹
'bu'ting'zi'ran'wu 不听自然无
'bu'xin'dan'kan'yan'qian'shui 不信但看檐前水
'bu'xin'dan'kan'yan'zhong'jiu 不信但看宴中酒
'bu'xue'yi'wang'ran 不学亦枉然
'bu'yi'wo'wei'de 不以我为德
'bu'yin'ren'ta'jiu'jia'gao 不饮任他酒价高
'bu'yin'yu'fu'yin 不因渔夫引
'bu'zhi'qi'he'ye 不知其何也
'bu'zhi'wo'zhe'wei'wo'he'qiu 不知我者谓我何求
'cai'duo'hai'ren'zi 材多害人子
'cai'li'yao'fen'qing 财利要分清
'cai'qian'fen'ming'da'zhang'fu 财钱分明大丈夫
'cang'lin'xu'xi'sui'yue'fa 仓廪虚兮岁月乏
'cao'mu'yi'chun 草木一春
'ceng'ji'shao'nian'qi'zhu'ma 曾记少年骑竹马
'cha'zhi'hao'li 差之毫厘
'chang'huai'qian'sui'you 常怀千岁忧
'chang'jiang'hou'lang'cui'qian'lang 长江后浪催前浪
'chang'jiang'you'ri'si'wu'ri 常将有日思无日
'chang'liu'san'fen'yu'er'sun 常留三分与儿孙
'cheng'men'shi'huo 城门失火
'cheng'shi'mo'shuo 成事莫说
'chi'han'bu'hui'rao'ren 痴汉不会饶人
'chi'ren'wei'fu 痴人畏妇
'chi'tang'ji'shui'xu'fang'han 池塘积水须防旱
'chi'yang'hua'long'yu 池养化龙鱼
'chu'chu'you'lu'tou'chang'an 处处有路透长安
'chu'jia'cong'fu 出嫁从夫
'chu'lai'mo'yu'jing 触来莫与竞
'chun'lai'wu'chu'bu'hua'xiang 春来无处不花香
'cong'jian'ru'she'yi 从俭入奢移
'cong'qian'en'ai'fan'cheng'chou 从前恩爱反成仇
'cong'she'fan'jian'nan 从奢返俭难
'cun'jin'nan'mai'cun'guang'yin'fu'mu'en'shen'zhong'you'bie 寸金难买寸光阴父母恩深终有别
'da'di'xuan'ta'ji'gu'hao 大抵选他肌骨好
'da'hai'zhong'xu'na'xi'liu 大海终须纳细流
'da'jia'dou'shi'ming 大家都是命
'da'jia'li'yi'jiao'zi'di 大家礼义教子弟
'da'jia'zuo'shi'huang'zhang 大家做事慌张
'da'ren'zhi'ming 达人知命
'da'sha'qian'jian 大厦千间
'da'xian'lai'shi'ge'zi'fei 大限来时各自飞
'dan'cun'fang'cun'tu 但存方寸土
'dan'jiang'leng'yan'guan'pang'xie 但将冷眼观螃蟹
'dan'kan'san'wu'ri 但看三五日
'dan'neng'yi'ben'fen 但能依本分
'dan'qiu'xin'wu'kui 但求心无愧
'dan'xing'hao'shi 但行好事
'dan'you'lv'yang'kan'xi'ma 但有绿扬堪系马
