'bai'qi 白棋
'chong'si 冲四
'fang'shou 防守
'han'xing 寒星
'hei'qi 黑棋
'hua'yue 花月
'huo'san 活三
'jin'gong 进攻
'jin'shou 禁手
'kai'ju 开局
'lian'zhu 连珠
'liu'xing 流星
'mian'san 眠三
'qi'pan 棋盘
'qi'zi 棋子
'shu'xing 疏星
'si'san 四三
'si'san'san 四三三
'tiao'er 跳二
'wu'zi'qi 五子棋
'xi'yue 溪月
'you'shi 优势
'yu'yue 雨月
'zhua'jin'shou 抓禁手
'zuo'huo 做活
