'a'gui 阿贵
'a'ning 阿宁
'ai'zi'feng 矮子冯
'ban'jie'li 半截李
'cang'hai'hua 藏海花
'chang'bai'shan 长白山
'chen'pi'a'si 陈皮阿四
'chen'wen'jin 陈文锦
'da'hua 大花
'da'kui 大奎
'dai'wo'hui'jia 带我回家
'er'shu 二叔
'er'yue'hong 二月红
'gui'ying'ren 鬼影人
'hai'hou'zi 海猴子
'hei'bei'lao'liu 黑背老六
'hei'hua 黑花
'hei'lv'ti'zi 黑驴蹄子
'hei'xia'zi 黑瞎子
'hei'yan'jing 黑眼镜
'huo'ling 霍玲
'huo'xian'gu 霍仙姑
'huo'xiu'xiu 霍秀秀
'jie'jiu'ye 解九爷
'jie'lian'huan 解连环
'jie'yu'chen 解雨臣
'jie'yu'hua 解语花
'lao'jiu'men 老九门
'lao'yang 老痒
'li'cu 黎簇
'liu'jiao'ling'dang 六角铃铛
'lu'shang'wang 鲁殇王
'men'you'ping 闷油瓶
'mi'hai'gui'chao 谜海归巢
'nu'hai'qian'sha 怒海潜沙
'pan'ma 盘马
'pan'zi 潘子
'pang'zi 胖子
'ping'xie 瓶邪
'qi'tie'zui 齐铁嘴
'qi'xing'lu'wang'gong 七星鲁王宫
'qin'ling'shen'shu 秦岭神树
'qing'tong'men 青铜门
'qiong'long'shi'ying 邛笼石影
'qiu'de'kao 裘德考
'ru'guo'ni'xiao'shi 如果你消失
'san'shu 三叔
'sha'hai 沙海
'she'mei'tong'yu 蛇眉铜鱼
'she'zhao'gui'cheng 蛇沼鬼城
'shi'bie 尸蹩
'shi'nian 十年
'shun'zi 顺子
'su'wan 苏万
'tie'mian'sheng 铁面生
'wang'cang'hai 汪藏海
'wang'jia 汪家
'wo'men'hui'jia 我们回家
'wu'er'bai 吴二白
'wu'lao'gou 吴老狗
'wu'san'xing 吴三省
'wu'xie 吴邪
'wu'yi'qiong 吴一穷
'xia'zi 瞎子
'xiao'ge 小哥
'xiao'hua 小花
'xue'shi 血尸
'yang'hao 杨好
'yin'shan'gu'lou 阴山古楼
'yun'cai 云彩
'yun'ding'tian'gong 云顶天宫
'zhang'da'fo'ye 张大佛爷
'zhang'hai'ke 张海客
'zhang'hai'xing 张海杏
'zhang'jia 张家
'zhang'qi'ling 张起灵
'zhang'qi'shan 张启山
'zhang'rui'tong 张瑞桐
'zhi'shao'wo'hui'fa'xian 至少我会发现
'zong'zi 粽子
