'bi'sha'ji 必杀技
'cang'yi'mo'shi'lu 苍翼默示录
'chai'tou 拆投
'chao'bi'sha'ji 超必杀技
'da'kang 打康
'dang'shen'ji 当身技
'e'lang'chuan'shuo 饿狼传说
'hou'che 后撤
'jie'ba 街霸
'kong'tou 空投
'lang'zhi'lao'yin 狼之烙印
'li'hui 立回
'lian'duan 连段
'long'hu'zhi'quan 龙虎之拳
'min'gong'lian 民工连
'mu'ya 目押
'ni'xiang 逆向
'pan'ding 判定
'pu'tong'ji 普通技
'qu'xiao 取消
'quan'huang 拳皇
'que'fan 确反
'que'ren 确认
'shou'shen 受身
'te'shu'ji 特殊技
'tie'quan 铁拳
'xiang'sha 相杀
'yue'hua'jian'shi 月华剑士
'yun'zhi 晕值
'zhi'ling'tou 指令投
'zui'e'zhuang'bei 罪恶装备
