'bo'mo 波模
'bo'xing 波型
'bo'zhen'mian 波阵面
'cha'zhi 叉指
'cha'zhi'dian'ji 叉指电极
'cha'zhi'huan'neng'qi 叉指换能器
'dui'zhi 对指
'hui'liu'tiao 汇流条
'jia'quan'han'shu 加权函数
'jia'quan'qu'xian 加权曲线
'jia'zhi 假指
'ni'ya'dian'xiao'ying 逆压电效应
'rui'li'bo 瑞利波
'sheng'biao'mian'bo 声表面波
'sheng'heng'bo 声横波
'sheng'zong'bo 声纵波
'ti'sheng'bo 体声波
'ya'dian'cai'liao 压电材料
'ya'dian'dan'jing'ti 压电单晶体
'ya'dian'duo'jing'ti 压电多晶体
'ya'dian'ti 压电体
'ya'dian'xiao'ying 压电效应
'zhi'chang 指长
'zhi'jian'ge 指间隔
'zhong'xin'pin'lv 中心频率
'zhu'bo 驻波
