'a'ku'la 阿库拉
'bo'luo 菠萝
'bo'neng 波能
'cheng'guan 城管
'chui'zi 锤子
'da'huang'gua 大黄瓜
'da'zhi'zhu 大蜘蛛
'dian'yao 电鳐
'dian'yu 电鱼
'dong'yuan'bing 动员兵
'gui'wang 鬼王
'hai'xiao 海啸
'hai'yi 海翼
'hang'ma 航妈
'hei'ren 黑人
'huan'ying 幻影
'ji'lao'fu 基佬夫
'ji'liu 激流
'jiang'jun 将军
'leng'dong 冷冻
'lian'dao 镰刀
'mao'zi 帽子
'mi'ge 米格
'mi'ni 迷你
'min'gong 民工
'niu'wa 牛蛙
'nong'min 农民
'ping'zi 瓶子
'qing'ting 蜻蜓
'qu'zhu'jian 驱逐舰
'shao'bing'nan 烧饼男
'shi'ji 世纪
'shou'hu 守护
'shuang'ren 双刃
'shui'yi 水翼
'tian'gou 天狗
'tian'qi 天启
'tian'yi 天翼
'tie'bing'nan 铁饼男
'tie'chui 铁锤
'wei'he 维和
'wu'shi 武士
'wu'wei 无畏
'xiao'qian'ting 小潜艇
'xiao'zhi'zhu 小蜘蛛
'xun'lei 迅雷
'xun'yang'jian 巡洋舰
'ya'dian'na 雅典娜
'zhi'dao 稚刀
'zhi'zhu 蜘蛛
