'an'za 安匝
'an'za'fen'bu 安匝分布
'ba'bao 拔包
'bai'bu 白布
'bai'bu'dai 白布带
'ban'dao'dian'zhi 半导电纸
'ban'die 半叠
'ban'liao 板料
'bang'za 绑扎
'bang'za'dai 绑扎带
'bao'bian 保变
'bao'hu'ban 保护板
'ben'tu 本图
'bi'lei'qi 避雷器
'bian'dian'zhan 变电站
'bian'jie'tiao'jian 边界条件
'bian'jing 变径
'bian'xian 扁线
'bian'ya'qi'you 变压器油
'bian'zi'xian 辫子线
'bing'lian'zhi'lu'shu 并联支路数
'bo'wen'guan 波纹管
'bo'wen'shi 波纹式
'bu'huan 补环
'bu'jian 补件
'cai'liao'dai'hao 材料代号
'can'ya 残压
'cao'dian 槽垫
'cao'gang 槽钢
'cao'he 槽盒
'ceng'shi 层式
'ceng'ya 层压
'ceng'ya'mu 层压木
'ceng'ya'zhi 层压纸
'ceng'ya'zhi'ban 层压纸板
'cha'ban'shi'yan 插板实验
'cha'ru'fa 插入法
'cha'tie 插铁
'chai'feng 拆封
'chang'bian 厂变
'chang'bian 常变
'cheng'ban 撑板
'cheng'tiao 撑条
'chong'dan 充氮
'chu'xian'he 出线盒
'chu'you'gui 储油柜
'chuan'pei 穿配
'ci'mi 磁密
'ci'ping'bi 磁屏蔽
'ci'tong 磁通
'ci'zhi 磁滞
'da'ban 打板
'da'chi 达驰
'da'di 打底
'da'gang 大杠
'da'jie 搭接
'da'ya'wan 大亚湾
'dan'ni'sen 丹尼森
'dan'xiang 单相
'dao'dian'gan 导电杆
'dao'dian'pai 导电排
'dao'xian'jia 导线夹
'dao'xiao 导销
'dao'you'guan 导油管
'dao'you'he 导油盒
'di'ka'er'zuo'biao 笛卡尔坐标
'di'keng 地坑
'di'ping 地屏
'di'qi 底漆
'di'tan'gang 低碳钢
'di'ya'rao'zu 低压绕组
'di'ya'xian'quan 低压线圈
'dian'ban 垫板
'dian'chang'qiang'du 电场强度
'dian'ci'gan'ying'ding'lv 电磁感应定律
'dian'ci'li 电磁力
'dian'ci'xian 电磁线
