'ai'shang'ceng'lou 爱上层楼
'ai'shuo'nan'chao'kuang'ke 爱说南朝狂客
'ai'tie'di'zheng'fei 爱贴地争飞
'ai'xue'dao'ren'jia 爱学道人家
'ai'yin'si'su 哀音似诉
'an'an'meng'yun'jing'duan 黯黯梦云惊断
'an'an'qing'shan'hong'ri'mu 黯黯青山红日暮
'an'an'sheng'tian'ji 黯黯生天际
'an'bian'liang'liang'san'san 岸边两两三三
'an'bo'yu'deng'feng'zhan'sui 岸泊鱼灯风飐碎
'an'chui'zhu'lei 暗垂珠泪
'an'dian'jian 暗点检
'an'duan'chang'hua'ying'tou'yi 暗断肠花影偷移
'an'jiao'chou'sun'lan'cheng 暗教愁损兰成
'an'luo'qing'lin'hong'zi 暗落青林红子
'an'ning'zhu 黯凝伫
'an'shang'wang'guo 暗伤亡国
'an'shu'shi'nian'hu'shang'lu 暗数十年湖上路
'an'sui'liu'shui'dao'tian'ya 暗随流水到天涯
'an'wen'jin'qin'jin'ye'meng 安稳锦衾今夜梦
'an'xiang'hun 黯乡魂
'an'xiang'nong 暗香浓
'an'xiang'ping'sheng 暗想平生
'an'xiang'wang 黯相望
'an'xiao'ning 黯销凝
'an'yang'hao 安阳好
'an'yi'ding'ning'qian'wan'ju 暗忆丁宁千万句
'ba'bai'li'fen'hui'xia'zhi 八百里分麾下炙
'ba'jiao'bu'zhan'ding'xiang'jie 芭蕉不展丁香结
'ba'jiu'song'chun'chun'bu'yu 把酒送春春不语
'ba'jiu'wen'heng'e 把酒问姮娥
'ba'jiu'wen'hong'mei 把酒问红梅
'ba'jiu'wen'qing'tian 把酒问青天
'ba'jiu'zhu'dong'feng 把酒祝东风
'ba'ling'shang'bie 灞陵伤别
'ba'po'mao'nian'nian'nian'chu 把破帽年年拈出
'ba'qian'li'lu'yun'he'yue 八千里路云和月
'ba'qiao'yan'liu 灞桥烟柳
'ba'wu'gou'kan'le 把吴钩看了
'ba'zhan'qi'liang'bei'wang 把盏凄凉北望
'bai'ban'jing'wu'kan'tu'hua 百般景物堪图画
'bai'bi'qing'qian 白璧青钱
'bai'cao'huang'sha 白草黄沙
'bai'cao'qian'hua'han'shi'lu 百草千花寒食路
'bai'fa'kong'chui'san'qian'zhang 白发空垂三千丈
'bai'fa'shu'sheng'shen'zhou'lei 白发书生神州泪
'bai'fa'shui'jia'weng'ao 白发谁家翁媪
'bai'he'ling'luo 败荷零落
'bai'jie'chou'chang'wu'zhou'ye 百结愁肠无昼夜
'bai'jin'bao'dao 百斤宝刀
'bai'ju'yi'chang'xiang'si'bian'shui'liu 白居易长相思汴水流
'bai'ju'yi'hua'fei'hua'hua'fei'hua 白居易花非花花非花
'bai'ju'yi'lang'tao'sha'jie'wen'jiang'chao'yu'hai'shui 白居易浪淘沙借问江潮与海水
'bai'ju'yi'yi'jiang'nan'jiang'nan'hao 白居易忆江南江南好
'bai'ju'yi'yi'jiang'nan'jiang'nan'yi 白居易忆江南江南忆
'bai'le'shao'nian'tou 白了少年头
'bai'lu'shou'can'yue 白露收残月
'bai'nian'bei'xiao 百年悲笑
'bai'nian'han'zui 百年酣醉
'bai'niao'cheng'xing'hu'jing'qi 白鸟成行忽惊起
'bai'ou'wen'wo'bo'gu'zhou 白鸥问我泊孤舟
'bai'pin'yuan'san'nong'xiang 白蘋远散浓香
'bai'ping'yan'jin'chu 白苹烟尽处
'bai'ri'can'chen'xian 白日参辰现
'bai'sha'yan'shu'you'wu'zhong 白沙烟树有无中
'bai'shou'wei'gong'ming 白首为功名
'bai'yu'zhai'diao'gong 白羽摘雕弓
'bai'zhong'qian'ban'qiao 百种千般巧
'bai'zhuan'wu'ren'neng'jie 百啭无人能解
'bai'zi'qian'hong 百紫千红
'ban'chuang'can'yue 半窗残月
'ban'fan'yan'yu 半帆烟雨
'ban'gao'bo'nuan 半篙波暖
'ban'piao'can'xue 半飘残雪
'ban'ren'yi'sha 伴人一霎
'ban'tan'feng 半滩风
'ban'xiu'hai'ban'xi 半羞还半喜
'ban'ye'liang'chu'tou 半夜凉初透
'ban'yin'ban'qing'yun'mu 半阴半晴云暮
'ban'zhu'ji'pu'tuan'ming'wan 办竹几蒲团茗碗
'ban'zhu'zhi 斑竹枝
'bang'ku'lin'gu'dao 傍枯林古道
'bang'liu'xi'ma 傍柳系马
'bang'qian'pu 傍前浦
'bang'you'duo'chai'heng 傍有堕钗横
'bao'chai'fen 宝钗分
'bao'guo'wu'men'kong'zi'yuan 报国无门空自怨
'bao'ji'song'song'wan'jiu 宝髻松松挽就
'bao'lian'gua'qiu'leng 宝帘挂秋冷
'bao'lian'ming'yue'bu'qi'ren 宝奁明月不欺人
'bao'lian'xian'gua'xiao'yin'gou 宝帘闲挂小银钩
'bao'ma'diao'che'xiang'man'lu 宝马雕车香满路
'bao'sha'ou 报沙鸥
'bei'bai'fa'qi'ren'nai'he 被白发欺人奈何
'bei'dou'hui'nan'mian 北斗回南面
'bei'fan'hong'lang 被翻红浪
'bei'fei'shuang'yan'tie'yun'han 背飞双燕贴云寒
'bei'ge'ji'zhu 悲歌击筑
'bei'hen'xiang'xu 悲恨相续
'bei'huan'li'he'zong'wu'qing 悲欢离合总无情
'bei'ke'pian'ran 北客翩然
'bei'ren'hai'guo'mu'mo 背人还过木末
'bei'wang'shen'zhou'lu 北望神州路
'bei'wang'tiao'tiao 北望迢迢
'bei'xi'feng'jiu'qi'xie'chu 背西风酒旗斜矗
'bei'yin'liang'fu 悲吟梁父
'bi'jiang'kong 碧江空
'bi'jing'dong'liu'qu 毕竟东流去
'bi'jing'hai'wo'wan'fu'xiong 毕竟还我万夫雄
'bi'ni'hao'xin'lai'song'xi 比拟好心来送喜
'bi'shan'jin'shu'ming'qiu'ji 碧山锦树明秋霁
'bi'wu'qian'li'si'you'you 碧芜千里思悠悠
'bi'wu'shao'deng'zuo'hao'chun 比屋烧灯作好春
'bi'xing'ke 避行客
'bi'ye'zhu'qiao'dang'ri'shi 碧野朱桥当日事
'bi'yu'sao'tou'xie'zhui 碧玉搔头斜坠
'bi'yue'chu'qing 璧月初晴
'bi'yun'mu'he'kong'xiang'dui 碧云暮合空相对
'bi'yun'tian 碧云天
'bi'yun'tian'gong'chu'gong'yao 碧云天共楚宫遥
'bian'cao 边草
'bian'cao'jin'lai'bing'lao 边草尽来兵老
'bian'dou'dao'jiang'shen'kan'shi 便都道江神堪恃
'bian'fu'fan'deng'wu 蝙蝠翻灯舞
'bian'jiang'cu'shang'ru'shuang'yang 便将簇上如霜样
'bian'jiang'nan'jiang'bei 遍江南江北
'bian'jin'ren'jian 变尽人间
'bian'jiu'jia'men'xiang 遍旧家门巷
'bian'jiu'mo'tai'ping'xiao'gu 遍九陌太平箫鼓
'bian'lv'ye 遍绿野
'bian'ma'yuan'hu'jia 边马怨胡笳
'bian'qian'jin'yong'qu 便千金慵觑
'bian'sheng'que'ren'jian'wu'shu 便胜却人间无数
'bian'shui'liu 汴水流
'bian'si'de'ban'chao 便似得班超
'bian'tian'ya 遍天涯
'bian'tou'chun'wei'dao 边头春未到
'bian'tou'jiang'shi'gan'ge 边头将士干戈
'bian'wang'le'tian'ya'fang'xin 便忘了天涯芳信
'bian'xue'ge'wu 便学歌舞
'bian'you'tuan'yuan'yi 便有团圆意
'bian'zong'you'qian'zhong'feng'qing 便纵有千种风情
'bian'zuo'chun'jiang'dou'shi'lei 便作春江都是泪
'bian'zuo'wu'qing 便做无情
'biao'li'ju'cheng'che 表里俱澄澈
'bie'guan'han'zhen 别馆寒砧
'bie'guan'xian'ting'sui'fen'you 别馆闲亭随分有
'bie'hou'fang'liu'qiao'wu'xin 别后访六桥无信
'bie'hou'shu'ci 别后书辞
'bie'jiu'xiang'xiao'dai 别久香销带
'bie'jun'shi 别君时
'bie'lai'bu'ji'yi'xing'shu 别来不寄一行书
'bie'lai'chun'ban 别来春半
'bie'lai'ci'chu'zui'ying'qian 别来此处最萦牵
'bie'lai'ji'xiang'meng'zhong'kan 别来几向梦中看
'bie'lai'xian'zheng'diao'yu'gan 别来闲整钓鱼竿
'bie'lei'lin'qing'xiao 别泪临清晓
'bie'li'zi'wei'nong'yu'jiu 别离滋味浓于酒
'bie'shi'rong'yi'jian'shi'nan 别时容易见时难
'bie'shi'yi'ban'zi'wei'zai'xin'tou 别是一般滋味在心头
'bie'shi'zhen'xian 别时针线
'bie'ye'ru'he'ju 别也如何遽
'bie'ye'ying'nan'jian'ye'nan 别也应难见也难
'bie'you'shang'xin'wu'shu 别有伤心无数
'bie'yu'chou'nan'ting 别语愁难听
'bin'bian'qu 鬓边觑
'bin'ru'shuang 鬓如霜
'bin'shi'man'yu 豳诗漫与
'bin'si'liao'luan'guan'jin'zhe 鬓丝撩乱纶巾折
'bin'sui'can 鬓虽残
'bin'wei'shuang 鬓微霜
'bin'xian'qiu 鬓先秋
'bin'yi'xing'xing'ye 鬓已星星也
'bin'yun'yu'du'xiang'sai'xue 鬓云欲度香腮雪
'bin'zi'ci'shi'bai 鬓自此时白
'bing'chi'qing'lv'zhao'hai'kong 冰池晴绿照还空
'bing'dao'ru'shui 并刀如水
'bing'hu'liang'dian 冰壶凉簟
'bing'hun'chang'si'qiu'qian'suo 病魂常似秋千索
'bing'ji'yu'gu 冰肌玉骨
'bing'ning'lei'zhu 冰凝泪烛
'bing'si'rong'xie 冰凘溶泄
'bo'han'qing'yi'tou 薄汗轻衣透
'bo'jin'ni 拨金猊
'bo'qin'gu'zhen 薄衾孤枕
'bo'ri'hong'yun'ying 薄日烘云影
'bo'shang'han'yan'cui 波上寒烟翠
'bo'shen'liu'wo'kan'xie'yang 波神留我看斜阳
'bo'wu'nong'yun'chou'yong'zhou 薄雾浓云愁永昼
'bo'xin'dang 波心荡
'bo'xing'bu'lai'men'ban'yan 薄幸不来门半掩
