'ai'er'wen 艾尔文
'ai'ke'si'si'ka'li'bo 埃克斯斯卡利伯
'bian'yi'qi 编译器
'bian'yuan'ji'suan 边缘计算
'bing'xing'ji'suan 并行计算
'bing'xing'wen'jian'xi'tong 并行文件系统
'chao'ji'ji'suan'ji'zhong'xin 超级计算机中心
'cun'chu'xi'tong 存储系统
'da'gui'mo'bing'xing'chu'li 大规模并行处理
'da'shu'ju'fen'xi 大数据分析
'dai'en'te'feng 代恩特峰
'di'qiu'mo'ni'qi 地球模拟器
'ding'dian 顶点
'fen'bu'shi'ji'suan 分布式计算
'fen'bu'shi'nei'cun'jia'gou 分布式内存架构
'fen'zi'dong'li'xue 分子动力学
'feng'leng 风冷
'fu'dian'yun'suan 浮点运算
'fu'shi'tong 富士通
'fu'yue 富岳
'fu'zai'jun'heng 负载均衡
'gao'su'hu'lian'wang'luo 高速互联网络
'gao'xing'neng'ji'suan 高性能计算
'gao'xing'neng'ji'suan'zhong'xin 高性能计算中心
'gong'cheng'mo'ni 工程模拟
'gong'hao'guan'li 功耗管理
'gong'xiang'nei'cun'jia'gou 共享内存架构
'guang'hu'lian'ji'shu 光互连技术
'guo'jia'shi'yan'shi 国家实验室
'he'ju'bian'yan'jiu 核聚变研究
'hong'shan 红杉
'hun'he'jing'du'ji'suan 混合精度计算
'ji'qun'ji'suan 集群计算
'ji'suan'ji 计算机
'ji'suan'jie'dian 计算节点
'ji'suan'liu'ti'li'xue 计算流体力学
'ji'suan'mi'du 计算密度
'ji'yin'ce'xu 基因测序
'ji'zhun'ce'shi 基准测试
'jian'cha'dian'chong'qi 检查点重启
'jin'si'ji'suan 近似计算
'ke'kao'xing 可靠性
'ke'kuo'zhan'xing 可扩展性
'ke'xue'ji'suan 科学计算
'ke'yong'xing 可用性
'lang'chao 浪潮
'leng'que'xi'tong 冷却系统
'li'de 利德
'lian'xiang 联想
'liang'zi'mo'ni 量子模拟
'mi'la 米拉
'mi'ma'po'yi 密码破译
'neng'xiao'bi 能效比
'pai'ming 排名
'qi'xiang'yu'bao 气象预报
'qian'yan 前沿
'quan'ju'di'zhi'kong'jian 全局地址空间
'ren'gong'zhi'neng'xun'lian 人工智能训练
'rong'cuo'ji'zhi 容错机制
'san're'pian 散热片
'shan'ji 山脊
'shen'wei 神威
'shu'guang 曙光
'shu'xue'ku 数学库
'shui'leng'ji'shu 水冷技术
'tai'hu'zhi'guang 太湖之光
'tai'tan 泰坦
'ti'xi'jie'gou 体系结构
'tian'he 天河
'tian'ti'wu'li'xue 天体物理学
'tu'xing'chu'li'qi 图形处理器
'xiang'liang'chu'li'qi 向量处理器
'xiao'xi'chuan'di'jie'kou 消息传递接口
'xing'neng'fen'xi'gong'ju 性能分析工具
'xu'ni'hua 虚拟化
'yao'wu'yan'fa 药物研发
'ye'jin'leng'que 液浸冷却
'yi'gou'ji'suan 异构计算
'yi'tai'wang 以太网
'ying'te'er 英特尔
'you'jin 尤金
'you'qi'kan'tan 油气勘探
'you'xian'yuan'fen'xi 有限元分析
'yun'ji'suan 云计算
'zhong'he'jia'gou 众核架构
'zhong'ke'shu'guang 中科曙光
'zhong'yang'chu'li'qi 中央处理器
'zuo'ye'diao'du 作业调度
