'chuan'bo'jing'li'xue 船舶静力学
'chuan'bo'qiang'du'yu'jie'gou'she'ji 船舶强度与结构设计
'chuan'bo'she'ji'yuan'li 船舶设计原理
'chuan'bo'tui'jin 船舶推进
'chuan'bo'xue 传播学
'chuan'bo'yao'bai 船舶摇摆
'chuan'bo'yao'bai'yu'cao'zong 船舶摇摆与操纵
'chuan'bo'yu'hai'yang'gong'cheng 船舶与海洋工程
'chuan'bo'yu'hai'yang'jie'gou'wu'she'ji'zhi'zao 船舶与海洋结构物设计制造
'chuan'bo'zhen'dong 船舶振动
'chuan'bo'zu'li 船舶阻力
'chuan'dong'gai'lun 传动概论
'chuan'gan'ji'shu 传感技术
'chuan'gan'ji'shu'ji'ying'yong 传感技术及应用
'chuan'gan'qi'ji'ying'yong 传感器及应用
'chuan'gan'qi'yu'jian'ce'ji'shu 传感器与检测技术
'chuan'gan'qi'yuan'li 传感器原理
'chuan'gan'qi'yuan'li'ji'ying'yong 传感器原理及应用
'chuan're'xue 传热学
'chuan'ti'jian'zao'gong'yi 船体建造工艺
'chuan'ti'jie'gou 船体结构
'chuan'ti'jie'gou'tu 船体结构图
'chuan'ti'jie'gou'yu'zhi'tu 船体结构与制图
'chuan'ti'zhen'dong'xue 船体振动学
'chuan'ti'zhi'tu 船体制图
'chuan'yong'dian'qi'she'bei 船用电器设备
'chuang'zao'xin'li'xue 创造心理学
'ci'ce'liang'ji'shu 磁测量技术
'ci'chuan'gan'qi 磁传感器
'ci'cun'chu'she'bei'she'ji'yuan'li 磁存储设备设计原理
'ci'hui'xue 词汇学
'ci'ji'lu 磁记录
'ci'ji'lu'ji'shu 磁记录技术
'ci'ji'lu'wu'li 磁记录物理
'ci'lu'she'ji'yu'chang'ji'suan 磁路设计与场计算
'ci'pan'kong'zhi'qi 磁盘控制器
'ci'xing'cai'liao 磁性材料
'ci'xing'ce'liang 磁性测量
'ci'xing'wu'li 磁性物理
'ci'yuan'li'ji'ying'yong 磁原理及应用
'da'di'ce'liang'xue'yu'ce'liang'gong'cheng 大地测量学与测量工程
'da'dian'liu'ce'liang 大电流测量
'da'dian'yuan'ce'liang 大电源测量
'da'ji'zu'xie'tiao'kong'zhi 大机组协调控制
'da'kua'du'fang'wu'jie'gou 大跨度房屋结构
'da'qi'ke'xue 大气科学
'da'qi'wu'li'xue'yu'da'qi'huan'jing 大气物理学与大气环境
'da'xing'guo'lu'gai'kuang 大型锅炉概况
'da'xing'huo'dian'ji'zu'kong'zhi 大型火电机组控制
'da'xing'zuo'ye 大型作业
'da'xue'de'yu 大学德语
'da'xue'e'yu 大学俄语
'da'xue'fa'yu 大学法语
'da'xue'ri'yu 大学日语
'da'xue'sheng'xin'li'xue 大学生心理学
'da'xue'wu'li 大学物理
'da'xue'wu'li'shi'yan 大学物理实验
'da'xue'ying'yu 大学英语
'da'xue'yu'wen 大学语文
'da'zhong'chuan'bo'xue 大众传播学
'dai'yong'ran'liao 代用燃料
'dai'yong'yun'fang'dian'lu 代用运放电路
'dan'pian'ji'yu'jie'kou'ji'shu 单片机与接口技术
'dan'pian'ji'yuan'li 单片机原理
'dan'pian'ji'yuan'li'ji'ying'yong 单片机原理及应用
'dang'an'xue 档案学
'dang'dai'guo'ji'guan'xi 当代国际关系
'dang'dai'guo'wai'she'hui'si'wei'ping'jia 当代国外社会思维评价
'dang'dai'wen'xue 当代文学
'dang'dai'wen'xue'zhuan'ti 当代文学专题
'dang'dai'xi'fang'zhe'xue 当代西方哲学
'dang'dai'xi'ju'yu'dian'ying 当代戏剧与电影
'dang'dai'zi'ben'zhu'yi'jing'ji 当代资本主义经济
'dang'shi 党史
'dao'bo'guang'xue 导波光学
