'da'jian'xue 大间穴
'dan'xue 胆穴
'er'jiao'ming'xue 二角明穴
'fei'xin'xue 肺心穴
'fu'jian'xue 浮间穴
'fu'ke'xue 妇科穴
'fu'yuan'xue 复原穴
'hai'chao'xue 还巢穴
'huo'xi'xue 火膝穴
'mu'huo'xue 木火穴
'mu'xue 木穴
'mu'yan'xue 木炎穴
'pi'zhong'xue 脾肿穴
'san'yan'xue 三眼穴
'wai'jian'xue 外间穴
'wu'hu'xue 五虎穴
'xiao'jian'xue 小间穴
'xin'chang'xue 心常穴
'yan'huang'xue 眼黄穴
'zhi'qian'jin 指千金
'zhi'san'chong'xue 指三重穴
'zhi'shen'xue 指肾穴
'zhi'si'ma'xue 指驷马穴
'zhi'wu'jin 指五金
'zhi'wu'xue 制污穴
'zhi'xian'xue 止涎穴
'zhong'jian'xue 中间穴
