'chuan'dian 傳點
'dou'hui 都回
'fei'lin'hai 飛林海
'fei'yun'fu'you'shang 飛雲浮右上
'fei'yun'fu'you'xia 飛雲浮右下
'fei'yun'fu'zhong'jian 飛雲浮中間
'fei'yun'fu'zuo'xia 飛雲浮左下
'jin'mi'jing 進秘境
'ka'mo'di 卡無敵
'liang'yi 兩儀
'lin'hai 林海
'mo'nan 漠南
'tian'qi 天啟
'ya'dian 壓點
'ya'shang'qu 壓上去
'you'shang 右上
'you'xia 右下
'zhong'jian 中間
'zuo'biao 坐標
'zuo'shang 左上
'zuo'xia 左下
