'bai'ma'tan 白马探
'bai'niao 白鸟
'ben'tang'ying'hai 本堂瑛海
'ben'tang'ying'you 本堂瑛祐
'bo'shi 博士
'bu'mei 步美
'chi'jing'xiu'yi 赤井秀一
'fei'ying'li 妃英理
'gao'mu 高木
'gong'teng'xin'yi 工藤新一
'gong'teng'you'xi'zi 工藤有希子
'gong'teng'you'zuo 工藤优作
'guang'yan 光彦
'he'ye 和叶
'hong'zi 红子
'hui'yuan'ai 灰原哀
'ji'de 基德
'ji'er 基尔
'ka'mei'long 卡梅隆
'ke'nan 柯南
'ling'mu'ci'lang'ji 铃木次郎吉
'ling'mu'yuan'zi 铃木园子
'mao'li'lan 毛利兰
'mao'li'xiao'wu'lang 毛利小五郎
'mu'mu'jing'guan 目暮警官
'ping'ci 平次
'qian'ye'jing'guan 千叶警官
'qun'ma'xian'shan'cun'xing'jing 群马县山村刑警
'shi'liang'zhen'chun 世良真纯
'xiao'lin'lao'shi 小林老师
'xin'chu'yi'sheng 新出医生
'yuan'tai 元太
'zhan'mu'si 詹姆斯
'zhong'sen'jing'guan 中森警官
'zhong'sen'qing'zi 中森青子
'zhu'di 朱蒂
'zhu'xian'ren'wu 主线人物
'zuo'teng 佐藤
