'ba'tai 吧台
'bai'jie'bu 百洁布
'ban'gong'tai 办公台
'bao'wen'bei 保温杯
'bao'wen'hu 保温壶
'bao'wen'ping 保温瓶
'bao'wen'tong 保温桶
'bao'zi 刨子
'bei 杯
'bei'dan 被单
'bei'ru 被褥
'bei'tao 被套
'ben'ji 畚箕
'bi'deng 壁灯
'bing'dai 冰袋
'ca'xie'ji 擦鞋机
'can'yi 餐椅
'can'zhuo 餐桌
'ce'suo'shua 厕所刷
'chan'zi 铲子
'chang'yi 长椅
'chao'guo 炒锅
'chu'gui 橱柜
'chu'wu'gui 储物柜
'chu'yong'dao 厨用刀
'chuang'dan 床单
'chuang'dian 床垫
'chuang'tou'gui 床头柜
'chuang'zhao 床罩
'da'ban'yi 大班椅
'da'ban'zhuo 大班桌
'da'dan'ji 打蛋机
'dian'fan'bao 电饭煲
'dian'fan'guo 电饭锅
'dian'nao'zhuo 电脑桌
'dian're'bei 电热杯
'dian're'hu 电热壶
'dian'zi'biao 电子表
'diao'deng 吊灯
'die 碟
'ding'shi'qi 定时器
'dou'jiang'ji 豆浆机
'duo'shi'lu 多士炉
'fan'he 饭盒
'ge'shan'deng 格栅灯
'gong'yi'zhong 工艺钟
'gua'biao 挂表
'gua'zhong 挂钟
'guo'shua 锅刷
'huai'biao 怀表
'hui'yi'zhuo 会议桌
'huo'guo 火锅
'ji'xie'biao 机械表
'jia'ju'yong'pin 家居用品
'jiao'ban'ji 搅拌机
'jiu'gui 酒柜
'jun'biao 军表
'ka'fei'ji 咖啡机
'ka'tong'biao 卡通表
'kai'ping'qi 开瓶器
'kao'dian 靠垫
'kao'mian'bao'ji 烤面包机
'kao'xiang 烤箱
'ke'zhuo'yi 课桌椅
'kuai'zi 筷子
'la'ji'dai 垃圾袋
'la'ji'tong 垃圾桶
'luo'di'deng 落地灯
'nai'ping 奶瓶
'nai'zui 奶嘴
'nao'zhong 闹钟
'niao'dian 尿垫
'niao'pian 尿片
'pan'zi 盘子
'ping'feng 屏风
'qing'jie'qiu 清洁球
're'shui'dai 热水袋
're'shui'ping 热水瓶
'sao'zhou 扫帚
'sha'tan'yi 沙滩椅
'shao'zi 勺子
'shi'jin 湿巾
'shi'ting'gui 视听柜
'shi'ying'biao 石英表
'shu'zhuang'tai 梳妆台
'tai'deng 台灯
'tai'yang'san 太阳伞
'tang'guo 汤锅
'tong'chuang 童床
'tong'deng 筒灯
'tong'yi 童椅
'tong'zhuo 童桌
'tuo'ba 拖把
'wei'dou 围兜
'wei'sheng'jin 卫生巾
'wei'sheng'zhi 卫生纸
'wen'jian'gui 文件柜
'wen'zhang 蚊帐
'xi'ding'deng 吸顶灯
'xi'yi'shua 洗衣刷
'xi'zi 席子
'xiao'ye'deng 小夜灯
'xie'gui 鞋柜
'xie'jia 鞋架
'xie'shua 鞋刷
'xie'tao 鞋套
'xie'tao'ji 鞋套机
'xue'sheng'chuang 学生床
'ya'li'guo 压力锅
'yi'gui 衣柜
'yi'mao'jia 衣帽架
'yi'mao'shua 衣帽刷
'yu'gang'shua 浴缸刷
'yu'san 雨伞
'yu'xie 雨鞋
'yu'yi 雨衣
'zha'zhi'ji 榨汁机
'zhe'die'yi 折叠椅
'zhe'die'zhuo 折叠桌
'zhen'ban 砧板
'zhen'jin 枕巾
'zhen'tao 枕套
'zhen'xin 枕芯
'zheng'guo 蒸锅
'zheng'long 蒸笼
'zhi'jin 纸巾
'zhi'yuan'yi 职员椅
'zhu'dan'qi 煮蛋器
'zuo'zhong 座钟
