'bao'hu 保护
'bao'le 爆了
'bao'li 暴力
'bao'ling 爆零
'ben'di 本地
'bian'yi 编译
'bian'yi'cuo'wu 编译错误
'biao'zhun'ku'han'shu 标准库函数
'biao'zhun'shu'ru'shu'chu 标准输入输出
'cha'ru'pai'xu 插入排序
'chao'nei'cun 超内存
'chao'shi 超时
'cheng'xu 程序
'cheng'xu'bao'le 程序爆了
'cheng'xu'gua'le 程序挂了
'ci'duan'lu 次短路
'da'biao 打表
'da'gen'dui 大根堆
'di'gui 递归
'di'gui'chu'kou 递归出口
'di'jie'si'te'la 迪杰斯特拉
'di'tui 递推
'ding'yi 定义
'dong'gui 动规
'dong'tai'gui'hua 动态规划
'dui'lie 队列
'dui'pai 对拍
'er'cha'shu 二叉树
'er'fen 二分
'er'fen'tu 二分图
'er'wei'shu'zu 二维数组
'er'zi'jie'dian 儿子节点
'fu'lei 父类
'fu'luo'yi'de 弗洛伊德
'fu'qin'jie'dian 父亲节点
'gong'you 公有
'gua'le 挂了
'guang'du'you'xian'sou'suo 广度优先搜索
'guo'le 过了
'han'shu 函数
'hong'ding'yi 宏定义
'hong'yin'ru 宏引入
'hou'zi'pai'xu 猴子排序
'ji'cheng 继承
'ji'le 寄了
'ji'shu'pai'xu 基数排序
'ji'shu'pai'xu 计数排序
'jing'tai 静态
'kong'zhi'zhen 空指针
'ku'han'shu 库函数
'kuai'du 快读
'kuai'pai 快排
'kuai'xie 快写
'lan'ren'pai'xu 懒人排序
'lian'biao 链表
'lian'tong'kuai 连通块
'lian'tong'tu 连通图
'liu'wei'shu'zu 六维数组
'man'ha'dun 曼哈顿
'mang'jiao 盲交
'mao'pao'pai'xu 冒泡排序
'mian'xiang'dui'xiang 面向对象
'mian'xiang'yong'hu 面向用户
'mo'guo 没过
'mo'ni 模拟
'mu'ban 模板
'ou'la'tu 欧拉图
'ou'shi'shai'fa 欧氏筛法
'pai'xu 排序
'pao'yi'bian 跑一遍
'qie'bi'xue'fu 切比雪夫
'san'fen 三分
'san'lian'biao 散链表
'san'wei'shu'zu 三维数组
'shen'du'you'xian'sou'suo 深度优先搜索
'shi'li'hua 实例化
'shu'ru'shu'chu'liu 输入输出流
'shu'zu 数组
'si'di'gui 死递归
'si'wei'shu'zu 四维数组
'si'xun'huan 死循环
'si'you 私有
'sou'suo 搜索
'suan'fa'tou'wen'jian 算法头文件
'tan'xin 贪心
'tong'pai 桶排
'tou'wen'jian 头文件
'tu'ling 图灵
'wan'neng'tou 万能头
'wan'quan'er'cha'shu 完全二叉树
'wu'wei'shu'zu 五维数组
'wu'xiang'fei'lian'tong'tu 无向非连通图
'wu'xiang'lian'tong'tu 无向连通图
'wu'xiang'wu'huan'tu 无向无环图
'xi'tong 系统
'xiao'gen'dui 小根堆
'xu'han'shu 虚函数
'xun'huan 循环
'yan'ge'ci'duan'lu 严格次短路
'ye'zhi'zhen 野指针
'ye'zi'jie'dian 叶子结点
'yin'ru 引入
'you'xian'dui'lie 优先队列
'you'xiang'fei'lian'tong'tu 有向非连通图
'you'xiang'lian'tong'tu 有向连通图
'you'xiang'wu'huan'tu 有向无环图
'you'xiang'you'huan'tu 有向有环图
'you'yuan 友元
'you'yuan'lei 友元类
'yun'duan 云端
'zhi'zhen 指针
'zi'fu 字符
'zi'fu'chuan 字符串
'zi'fu'shu'zu 字符数组
'zi'lei 子类
'zi'ye'jie'dian 子叶节点
'zu'xian 祖先
'zui'duan'lu 最短路
