'an'lian 暗恋
'bai'chuan'guang'liu 白川光瑠
'bai'jin'shu'ju 白金数据
'bai'ma'shan'zhuang'sha'ren'shi'jian 白马山庄杀人事件
'bai'ye'xing 白夜行
'bai'yin'jie'ke 白银杰克
'bang'jia'you'xi 绑架游戏
'bao'luo'lie'nong 保罗列侬
'bei'tiao'ya'mei 北条雅美
'bi'ye'xue'yue'hua'sha'ren'you'xi 毕业雪月花杀人游戏
'bian'shen 变身
'bin'ben'xia'mei 滨本夏美
'bin'si'zhi'yan 濒死之眼
'bu'gu'niao'de'dan'shi'shui'de 布谷鸟的蛋是谁的
'cang'qiao'xiang'miao 仓桥香苗
'cao'zong'cai'hong'de'shao'nian 操纵彩虹的少年
'chao'sha'ren'shi'jian 超杀人事件
'chen'shui'de'sen'lin 沉睡的森林
'chuan'dao'jiang'li'zi 川岛江利子
'cun'qiao 村桥
'dan'lian 单恋
'dang'dai'shi'jie'chu'ban'gong'si 当代世界出版公司
'dong'ye'nv'lang 东野女郎
'du'xiao'xiao'shuo 毒笑小说
'dun'ye 敦也
'e'yi 恶意
'fang'xue'hou 放学后
'fen'shen 分身
'feng'xue'zhui'ji 风雪追击
'gao'gong'cheng 高宫诚
'gao'yuan'yang'zi 高原阳子
'gu'he'xing'shi 古贺刑事
'gua'sheng'huang'yan 瓜生晃彦
'guai'ren'men 怪人们
'guai'xiao'xiao'shuo 怪笑小说
'hei'xiao'xiao'shuo 黑笑小说
'hong'shou'zhi 红手指
'hu'pan 湖畔
'hua'gang'xi'zi 花冈夕子
'huan'ye 幻夜
'hui'lang'ting'sha'ren'shi'jian 回廊亭杀人事件
'ji'feng'hui'xuan'qu 疾风回旋曲
'jia'ben'hong 榎本宏
'jia'he'gong'yi'lang 加贺恭一郎
'jia'li'lue'de'ku'nao 伽利略的苦恼
'jia'mian'qian'ye 假面前夜
'jia'mian'wu'guan 假面舞馆
'jian'yuan'hui'li 菅原绘里
'jie'you'za'huo'dian 解忧杂货店
'jie'you'za'huo'pu 解忧杂货铺
'jin'zhi'zhi'si 今枝直巳
'ju'chi'wen'yan 菊池文彦
'la'pu'la'si'de'mo'nv 拉普拉斯的魔女
'lang'hua'shao'nian'zhen'tan'tuan 浪花少年侦探团
'lang'shi'gui'zhi 浪矢贵之
'lang'shi'jia'zu 浪失家族
'lang'shi'jun'wu 浪矢骏吾
'lang'shi'xiong'zhi 浪矢雄治
'li'ming'zhi'jie 黎明之街
'li'yuan'dian'zi 栗原典子
'lian'ai'de'gong'duo'la 恋爱的贡多拉
'liu'xing'zhi'ban 流星之绊
'lv'he 绿河
'mei'li'de'xiong'qi 美丽的凶器
'mei'you'xiong'shou'de'sha'ren'ye 没有凶手的杀人夜
'meng'huan'hua 梦幻花
'meng'hui'du'ling 梦回都灵
'mi'mi 秘密
'mi'tu'de'xiao'gou 迷途的小狗
'mian'ju'shan'zhuang'sha'ren'shi'jian 面具山庄杀人事件
'ming'zhen'tan'de'shou'ze 名侦探的守则
'ming'zhen'tan'de'zu'zhou 名侦探的诅咒
'mo'qiu 魔球
'na'ge'shi'hou'de'shui 那个时候的谁
'na'ge'shi'hou'wo'men'shi'sha'gua 那个时候我们是傻瓜
'ni'pang'bian'shi'shui 你旁边是谁
'niao'ren'ji'hua 鸟人计划
'niu'nai'xiang'de'hui'da 牛奶箱的回答
'pang'huang'zhi'ren 彷徨之刃
'ping'xing'shi'jie'de'ai'qing'gu'shi 平行世界的爱情故事
'qi'dao'luo'mu'shi 祈祷落幕时
'qi'lin'zhi'yi 麒麟之翼
'qian'dao 前岛
'qian'gang'wei'xu 浅冈未绪
'qiu'ji'xiong'yi 秋吉雄一
'ren'yu'chen'shui'de'jia 人鱼沉睡的家
