'a'lun 阿伦
'an'ye'xi'shi'nai 安野希世乃
'an'yi'lun'ye 安艺伦也
'an'yi'tong'xue 安艺同学
'bai'mu'ying'li 柏木英理
'bing'tang'mei'zhi'liu 冰堂美智留
'bo'dao'chu'hai 波岛出海
'bo'dao'yi'zhi 波岛伊织
'bu'lun'li'jun 不伦理君
'bu'qi'yan'nv'zhu'jue'pei'yu'fa 不起眼女主角培育法
'bu'si'chuan'shu'dian 不死川书店
'chi'qi'qian'xia 赤崎千夏
'da'di'ye 大地叶
'da'xi'sha'zhi 大西沙织
'ding'tian'yuan'zi 町田苑子
'feng'zhi'qi'xue'yuan 丰之崎学园
'fu'lun'li'jun 腐伦理君
'hong'ban'zhu'yin 红坂朱音
'jia'teng'gui'yi 加藤圭一
'jia'teng'hui 加藤惠
'lai'na'de'si'pan'sai 莱纳徳斯潘塞
'lan'zi 蓝子
'lian'ai'jie'pai'qi 恋爱节拍器
'ling'mu'hui'li 铃木绘理
'lu'ren'nv'zhu'de'yang'cheng'fang'fa 路人女主的养成方法
'lun'li'jun 伦理君
'lun'ye 伦也
'lun'ye'jun 伦也君
'lun'ye'xue'di 伦也学弟
'lun'ye'xue'zhang 伦也学长
'mao'ye'ai'yi 茅野爱衣
'mei'zhi'liu 美智留
'mi'ze'yuan 米泽圆
'nv'tong'xue'er'hao 女同学二号
'qi'teng'zhuang'ma 齐藤壮马
'rui'zhi'jia 叡智佳
'sang'dao'fa'zi 桑岛法子
'sen'qiu'lan'zi 森丘蓝子
'sha'you'jia 纱由佳
'shi'yu 诗羽
'shi'yuan'che'ye 柿原彻也
'shi'zi 诗子
'shi'zuo'sha'you'li 矢作纱友里
'shui'dao'da'zhou 水岛大宙
'shui'yuan'rui'zhi'jia 水原叡智佳
'si'pan'sai'bo'bo 斯潘塞伯伯
'song'gang'zhen'cheng 松冈祯丞
'tian'bian'liu'yi 田边留依
'wen'ku 文库
'xia'shi'zi 霞诗子
'xia'zhi'qiu'shi'yu 霞之丘诗羽
'xiao'shi 小时
'xiao'xiao'lian'qing'kuang'xiang'qu 小小恋情狂想曲
'yi'zhi 伊织
'yu'zhai'zu 御宅族
'ze'cun'si'pan'sai'ying'li'li 泽村斯潘塞英梨梨
'ze'cun'xiao'bai'he 泽村小百合
'zhen'chuan'shi'nai 姫川时乃
'zhen'wei 真唯
'zhi'ren 直人
'zhong'yuan'ma'yi 中原麻衣
