'huo'yan'shui're 火炎水热
'ji'chou 己丑
'ji'hai 己亥
'ji'hui 吉会
'ji'mao 己卯
'ji'nian 己年
'ji'ren 己人
'ji'shan'pian 继善篇
'ji'shen 吉神
'ji'shen 忌神
'ji'shi'xin 己食辛
'ji'si 己巳
'ji'su 吉宿
'ji'sui'li 纪岁历
'ji'tu 己土
'ji'wei 即为
'ji'wei 己未
'ji'yin 己阴
'ji'you 己酉
'ji'zhi 忌之
'jia'bing'geng'ren 甲丙庚壬
'jia'bing'wu'geng'ren 甲丙戊庚壬
'jia'chen 甲辰
'jia'geng'bing'ren 甲庚丙壬
'jia'ji 甲己
'jia'ling 假令
'jia'mu 甲木
'jia'nian 甲年
'jia'ren 甲人
'jia'shen 甲申
'jia'shi'bing 甲食丙
'jia'wu 甲午
'jia'wu'geng 甲戊庚
'jia'xu 甲戌
'jia'yang 甲阳
'jia'yi 甲乙
'jia'yi'bing'ding'wu'ji'geng'xin'ren'gui 甲乙丙丁戊己庚辛壬癸
'jia'yin 甲寅
'jia'zhong 夹锺
'jia'zi 甲子
'jian'chu 建除
'jian'de 建德
'jian'feng'jin 剑锋金
'jian'xia'shui 涧下水
'jian'zhen'xing 薦枕星
'jiang'xing 将星
'jiao'shen 交神
'jie'cai 劫财
'jie'lu 截路
'jie'lu'kong'wang 截路空亡
'jin'bo'jin 金泊金
'jin'duo'huo'xi 金多火熄
'jin'duo'shui'zhuo 金多水浊
'jin'duo'tu'bian 金多土变
'jin'ke'mu 金克木
'jin'kong 金空
'jin'lai'tu'sheng 金赖土生
'jin'mu'shui'huo'tu 金木水火土
'jin'neng'ke'mu 金能克木
'jin'neng'sheng'shui 金能生水
'jin'shen 进神
'jin'sheng'shui 金生水
'jin'shu'ming'jue 金书命诀
'jin'shuai'yu'huo 金衰遇火
'jin'wang'de'huo 金旺得火
'jin'yu 金舆
'jing'fang 京房
'jing'lan'cha 井栏叉
'jing'quan'shui 井泉水
'jiu'chou 九醜
'jue'yu 绝于
'kao'yuan 考原
'ke'shen 克身
'kong'shen'sha 控神煞
'kong'wang 空亡
'kui'gang 魁罡
'kun'dun 困敦
'lan'tai'miao'xuan 蘭臺妙選
'lao'nian 老年
'lei'po'sha 类破煞
'li'chun'feng 李淳风
'li'ding'zuo 李鼎祚
'li'hai'ji 蠡海集
'li'ji 历纪
'li'jia 李家
'li'li 历例
'li'ming 离明
'li'tong 李仝
'li'xu'zhong 李虚中
'li'yu'ge 理愚歌
'lian'zhu'cui'mei'ge 连珠粹美格
'liang'xiang'run 梁相润
'liang'yi 两仪
'liao'zhong 廖中
'lie'yu'kou 列御寇
'lin'guan 临官
'lin'kai 林开
'lin'kai'wu'ming 林开五命
'lin'zhong 林锺
'liu'ba'wei'zu 六八为足
'liu'chong 六冲
'liu'jia'qu'qian 六甲趋乾
'liu'ren'qu'gen 六壬趋艮
'liu'ren'yi'huan 六壬移换
'liu'shen 六神
'liu'shi'hua'jia'zi 六十花甲子
'liu'shi'jia'zi 六十甲子
'liu'wei'zhi'lun 六微指论
'liu'wei'zhi'lun 六微旨论
'liu'yi'shu'gui 六乙鼠贵
'liu'yin'zhao'yang 六阴朝阳
'lu'he 六合
'lu'he 禄合
'lu'ku 禄库
'lu'ma 禄马
'lu'ma'tong'xiang 禄马同乡
'lu'ming'shen 禄命身
'lu'pang'tu 路旁土
'lu'zhong'huo 炉中火
'luo'lu'zi 珞琭子
'luo'lu'zi'san'ming'xiao'xi'fu'zhu 珞琭子三命消息赋注
'lv'li'zhi 律历志
'mao'chen 卯辰
'mao'mu 卯木
'mao'si 卯巳
'mao'wei 卯未
'mao'xu 卯戌
'mao'yin 卯阴
'mao'you 卯酉
'ming'shi'zong'yao 明时总要
'ming'tong'fu 明通赋
'mu'cheng'shui'suo 木盛水缩
'mu'duo'huo'chi 木多火炽
'mu'huo'jin'shui 木火金水
'mu'jian'jin'que 木坚金缺
'mu'ke'tu 木克土
'mu'kong 木空
'mu'lai'shui'sheng 木赖水生
'mu'neng'ke'tu 木能克土
'mu'neng'sheng'huo 木能生火
'mu'ruo'feng'jin 木弱逢金
'mu'sheng'huo 木生火
'mu'wang'de'jin 木旺得金
'mu'yu 沐浴
'na'yin 纳音
'nan'lv 南吕
'nian'gan 年干
'nian'shang'qi'sha 年上七煞
'nian'yue'ri 年月日
'nian'yue'ri'shi 年月日时
'nian'yue'ri'shi'tai 年月日时胎
'pan'an 攀鞍
'peng'ying'shu 蓬瀛书
'pi'lei'huo 霹雷火
'pi'li'huo 霹雳火
'pian'cai 偏财
'pian'guan 偏官
'pian'lu 偏禄
'pian'yin 偏印
'ping'di'mu 平地木
'po'zi 破字
'qi'bo 歧伯
'qi'li 起例
'qi'ming'cong'cai 弃命从财
'qi'ming'cong'sha 弃命从煞
'qi'sha 七煞
'qi'yi 其义
'qi'yi 其意
'qian'kun'bao'dian 乾坤宝典
'qiang'huo'de'tu 强火得土
'qiang'jin'de'shui 强金得水
'qiang'mu'de'huo 强木得火
'qiang'shui'de'mu 强水得木
'qiang'tu'de'jin 强土得金
'qiang'yu 强圉
'qiong'tong'bao'jian 穷通宝鉴
'qiu'wu'shen 秋戊申
'qu'jiao 曲脚
'que'zi 阙字
'ren'chen 壬辰
'ren'gui 壬癸
'ren'gui'xin 壬癸辛
'ren'nian 壬年
'ren'qi'long'bei 壬骑龙背
'ren'ren 壬人
'ren'shen 壬申
'ren'shi'jia 壬食甲
'ren'shui 壬水
'ren'tie'qiao 任铁樵
'ren'wu 壬午
'ren'xu 壬戌
'ren'yang 壬阳
'ren'yin 壬寅
'ren'yuan'mi'shu'jing 人元秘枢经
'ren'zi 壬子
'ri'gan 日干
'ri'lu'gui'shi 日禄归时
'rong'shen 荣神
'rou'zhao 柔兆
'rui'bin 蕤宾
'rui'gui'tang'xia'lu 瑞桂堂暇录
'san'ba'wei'mu 三八为木
'san'chen 三辰
'san'li'hui'tong 三历会同
'san'ming'cuan'ju 三命篡局
'san'ming'cuan'yao 三命篡要
'san'ming'ling 三命铃
'san'ming'ti'yao 三命提要
'san'ming'tong'hui 三命通会
'san'ming'zhi'mi'fu 三命指迷赋
'san'ming'zhi'zhang 三命指掌
'san'qi'gui'ren 三奇贵人
'san'wu'lian'he'ge 三五连合格
'sang'diao 丧弔
'sang'men 丧门
'sang'zhe'mu 桑柘木
'sha'yin'xiang'sheng 煞印相生
'sha'zhong'jin 沙中金
'sha'zhong'tu 沙中土
'shan'shen 善神
'shan'tou'huo 山头火
'shan'xia'huo 山下火
'shang'guan 伤官
'shang'zhang 上章
'shao'nian 少年
'she'ti'ge 攝提格
'shen'bai'jing 神白经
'shen'cang'sha'mei'ge 神藏煞没格
'shen'chen 申辰
'shen'feng'tong'kao 神峰通考
'shen'hai 申亥
'shen'jin 申金
'shen'shu'jing 神枢经
'shen'xiao'zhan 沈孝瞻
'shen'xu 申戌
'shen'yang 申阳
'shen'you 申酉
'shen'you'xu 申酉戌
'shen'zhi 沈芝
'shen'zhi 神祗
'shen'zhi'yuan'sui 沈芝源髓
'shen'zi 申子
'shen'zi'chen 申子辰
'sheng'guang 胜光
'sheng'ma 生马
'sheng'nian 生年
'sheng'ri 生日
'sheng'shi 生时
'sheng'yue 生月
'shi'e'da'bai 十恶大败
'shi'er'chang'sheng 十二长生
'shi'er'di'zhi 十二地支
'shi'er'di'zhi'suo'shu'yin'yang 十二地支所属阴阳
'shi'gan 十干
'shi'gan 时干
'shi'gan'bu'za 十干不杂
'shi'gan'lu 十干禄
'shi'gan'shi'lu 十干食禄
'shi'liu'mu 石榴木
'shi'shen 食神
'shi'shen 十神
'shi'sheng'liang'yi 是生两仪
'shi'tan'ying 释昙莹
'shi'tian'gan 十天干
'shi'tian'gan'suo'shu'yin'yang 十天干所属阴阳
'shu'guang 曙光
'shu'yao'li 枢要历
'shuai'chu 衰处
'shuai'wei 衰位
'shui'duo'jin'chen 水多金沉
'shui'duo'mu'piao 水多木漂
'shui'duo'tu'liu 水多土流
'shui'ke'huo 水克火
'shui'kong 水空
'shui'lai'jin'sheng 水赖金生
'shui'neng'ke'huo 水能克火
'shui'neng'sheng'mu 水能生木
'shui'ruo'feng'tu 水弱逢土
'shui'sheng'mu 水生木
'shui'wang'de'tu 水旺得土
'shun'tiao'lian'he 顺挑连合
'si'chen 四辰
'si'chou 巳丑
'si'da'kong'wang 四大空亡
'si'fu 死符
'si'gui 四贵
'si'hai 巳亥
'si'huo 巳火
'si'ji 四季
'si'ji 四忌
'si'jiu'wei'jin 四九为金
'si'jue'bing'bai 死绝病败
'si'ma'ji'zhu 司马季主
'si'meng 四孟
'si'ping 四平
'si'qi 四气
'si'qi 死气
'si'sha 四煞
'si'shen 巳申
'si'shen 死神
'si'wei 巳未
