'ba'si'ba'zi 八思巴字
'fan'qie 反切
'gao'ben'han 高本汉
'gu'yin 古音
'gu'yun'luo'ma'zi 古韵罗马字
'guang'yun 广韵
'guo'ji'yin'biao 国际音标
'huang'yue'zhou 黄岳洲
'ji'yun 集韵
'jie'mu 介母
'lao'guo'yin 老国音
'li'rong 李荣
'liu'ban'nong 刘半农
'man'yu 满语
'ni'yin 拟音
'ning'ji'fu 宁继福
'nv'zhen'wen 女真文
'pan'wu'yun 潘悟云
'ping'shang'qu'ru 平上去入
'ping'shui'yun 平水韵
'ping'ze 平仄
'pu'li'ben 蒲立本
'qi'dan'da'zi 契丹大字
'qi'dan'wen 契丹文
'qi'dan'xiao'zi 契丹小字
'shang'gu'yin'xi 上古音系
'shao'rong'fen 邵荣芬
'sheng'mu 声母
'shuo'wen'jie'zi 说文解字
'si'hu 四呼
'tui'dao'xian'dai'han'yu 推导现代汉语
'wang'li 王力
'wang'nian'sun 王念孙
'wei'tuo'ma'pin'yin 威妥玛拼音
'wu'yu'zhang 吴玉章
'xi'xia'wen 西夏文
'xiao'yun 小韵
'xin'guo'yin 新国音
'ya'yan 雅言
'you'nv'luo'ma'zi 有女罗马字
'you'zheng'shi'pin'yin 邮政式拼音
'yun'mu 韵母
'yun'mu 韵目
'zheng'zhang'shang'fang 郑张尚芳
'zhou'you'guang 周有光
'zhu'yin'fu'hao 注音符号
'zi'tou 字头
