'an'jin 按劲
'ba'men'jin'bie 八门劲别
'ba'men'wu'bu 八门五步
'bai'he'liang'chi 白鹤亮翅
'bai'jiao'die'cha 摆脚跌叉
'bai'jiao'die'cha 摆脚跌岔
'bai'she'tu'xin 白蛇吐信
'bai'yuan'xian'guo 白猿献果
'ban'lan'chui 搬拦捶
'ban'lan'zhou 搬拦肘
'bao'hu'gui'shan 抱虎归山
'bao'tou'tui'shan 抱头推山
'bei'zhe'kao 背折靠
'beng'fa 绷法
'bi'shen'chui 庇身捶
'bing'jin 掤劲
'bing'luo'ji'an'cai'lie'zhou'kao 掤捋挤按采挒肘靠
'cai'jin 采劲
'ce'yang'zuo'wan 侧仰左腕
'chan'si 缠丝
'chan'si'jin 缠丝劲
'chen'jian'chui'zhou 沉肩垂肘
'chen'jian'zhui'zhou 沉肩坠肘
'chen'shi'tai'ji'dao 陈氏太极刀
'chen'shi'tai'ji'jian 陈氏太极剑
'chen'shi'tai'ji'quan 陈氏太极拳
'chen'shi'tai'ji'quan'lao'jia'er'lu 陈氏太极拳老架二路
'chen'shi'tai'ji'quan'lao'jia'yi'lu 陈氏太极拳老架一路
'chu'shou 初收
'chuan'xin'zhou 穿心肘
'chuan'zi'bu 川字步
'cui'gang'lian'rou 摧刚炼柔
'dan'bian 单鞭
'dan'dou 弹抖
'dang'tou'pao 当头炮
'dao'cha 倒插
'dao'juan'gong 倒卷肱
'dao'nian'hou 倒撵猴
'dao'qi'lin 倒骑麟
'dao'qi'long 倒骑龙
'deng'yi'gen 蹬一根
'ding'bian'diu'kang 顶匾丢抗
'ding'jin 顶劲
'dong'jin 懂劲
'duo'er'gong 夺二肱
'fan'hua'wu'xiu 翻花舞袖
'fan'shen'dan'bai'lian 翻身单摆莲
'fan'shen'er'qi 翻身二起
'fan'shen'er'qi'jiao 翻身二起脚
'fan'shen'san'yong'bei 翻身三甬背
'fei'bu'niu'luan'zhou 飞步拗鸾肘
'feng'bai'he'ye 风摆荷叶
'feng'sao'mei'hua 风扫梅花
'fu'hu 伏虎
'gai'bu'yun'shou 盖步云手
'gao'tan'ma 高探马
'gao'tan'ma'dai'chuan'zhang 高探马带穿掌
'guo'bian 裹鞭
'hai'di'fan'hua 海底翻花
'hai'di'zhen 海底针
'han'xiong 含胸
'han'xiong'ba'bei 含胸拔背
'han'xiong'ta'yao 含胸塌腰
'he'shou 合手
'he'tai'ji 合太极
'heng'xie'fei'shi 横斜飞式
'hou'jiao'shen'zhi 后脚伸直
'hou'zhao 后招
'huang'he'san'jiao'shui 黄河三搅水
'hui'shen'you'deng'jiao 回身右蹬脚
'hui'tou'dang'men'pao 回头当门炮
'ji'di'chui 击地锤
'ji'di'chui 击地捶
