'bi'guan 碧棺
'bi'guan'zuo'ma'ke 碧棺左马刻
'chi'dai'zu 池袋组
'cui'mian'mai'ke'feng 催眠麦克风
'di'tong 帝统
'du'bu 独步
'du'dao'mei'sen'li'ying 毒岛梅森理莺
'du'ji 独寂
'du'yi'er 独一二
'guan'yin'ban 观音坂
'guan'yin'ban'du'bu 观音坂独步
'heng'bin'zu 横滨组
'huan'tai'lang 幻太郎
'ji'du 寂独
'ji'lei 寂雷
'ji'luan 寂乱
'li'ying 理莺
'luan'ji 乱寂
'luan'shu 乱数
'ma'tian'lang 麻天狼
'meng'ye 梦野
'meng'ye'huan'tai'lang 梦野幻太郎
'meng'ye'lao'shi 梦野老师
'ru'jian'chong'tu 入间铳兔
'se'gu'zu 涩谷组
'shan'tian'er'lang 山田二郎
'shan'tian'san'lang 山田三郎
'shan'tian'xiong'di 山田兄弟
'shan'tian'yi'lang 山田一郎
'shen'gong'si 神宫寺
'shen'gong'si'ji'lei 神宫寺寂雷
'xin'su'zu 新宿组
'yi'cun 饴村
'yi'cun'luan'shu 饴村乱数
'yi'er'du 一二独
'yi'er'san 一二三
'yi'zang'ran 伊弉冉
'yi'zang'ran'yi'er'san 伊弉冉一二三
'yi'zuo'ma 一左马
'you'qi'chuan 有栖川
'you'qi'chuan'di'tong 有栖川帝统
'zuo'ma 左马
'zuo'ma'ke 左马刻
'zuo'ma'yi 左马一
