'an'shi'zhi'luan 安史之乱
'bai'di 白堤
'bai'ma'si 白马寺
'bu'nian'tu 步辇图
'bu'she'zhe'shuo 捕蛇者说
'chang'an 长安
'chang'hen'ge 长恨歌
'chun'wang 春望
'da'tang'xi'yu'ji 大唐西域记
'di'ren'jie 狄仁杰
'du'fu 杜甫
'du'gong'bu 杜工部
'du'ru'hui 杜如晦
'duo'a'meng 哆啦梦
'fang'xuan'ling 房玄龄
'fen'zhong 分钟
'guo'zi'yi 郭子仪
'han'yu 韩愈
'huai'su 怀素
'huang'chao 黄巢
'jia'dao 贾岛
'jian'guan'ying'yu'hua'di'hua 间关莺语花底滑
'jian'zhen 鉴真
'jiang'nan'chun 江南春
'jiao'hua 狡猾
'jiao'shi 教师
'jin'gang'jing 金刚经
'jue'ju 绝句
'lan'tian'ri'nuan'yu'sheng'yan 蓝田日暖玉生烟
'lang'tao'feng'bo'zi'tian'ya 浪淘风簸自天涯
'li'bai 李白
'li'chun'feng 李淳风
'li'ji 李绩
'li'lin'fu 李林甫
'li'long'ji 李隆基
'li'shang'yin 李商隐
'li'yuan 李渊
'ling'yan'ge 凌烟阁
'liu'gong'quan 柳公权
'liu'shu 柳树
'liu'yu'xi 刘禹锡
'liu'zong'yuan 柳宗元
'lu'dong'zan 禄东赞
'lu'shan 庐山
'luo'bin'wang 骆宾王
'luo'yang 洛阳
'mei'ge'yue 每个月
'pu'bu 瀑布
'qi'yan 七言
'qian'li'jiang'ling'yi'ri'huan 千里江陵一日还
'qiao'ke'li'bang 巧克力棒
'qin'qiong 秦琼
'qin'wang 秦王
'qiu'tian 秋天
'san'bie 三别
'seng'yi'xing 僧一行
'shang'guan'wan'er 上官婉儿
'shi'shuo 师说
'shu'bao 叔宝
'shui'jia'xin'yan'zhuo'chun'ni 谁家新燕啄春泥
'song'zan'gan'bu 松赞干布
'sun'si'miao 孙思邈
'tai'shan 泰山
'tang'shi 唐诗
'teng'wang'ge'xu 滕王阁序
'tian'ke'han 天可汗
'tu'bo 吐蕃
'tui'bei'tu 推背图
'wa'gang'zhai 瓦岗寨
'wan'tiao'chui'xia'lv'si'tao 万条垂下绿丝绦
'wang'wei 王维
'wei'cheng'chao'yu'yi'qing'chen 渭城朝雨邑轻尘
'wei'zheng 魏征
'wen'du'ji 温度计
'wu'dao'zi 吴道子
'wu'yan'jue'ju 五言绝句
'wu'ze'tian 武则天
'xi'an 西安
'xiang'dui'lun 相对论
'xiang'jian'shi'nan'bie'yi'nan 相见时难别亦难
'xiang'shan'ju'shi 香山居士
'xiao'bai'tu 小白兔
'xiao'xian'qie'qie'ru'si'yu 小弦切切如私语
'xiao'xiao'hu 小小虎
'xiao'yu 小雨
'xin'tang'shu 新唐书
'xuan'wu'men 玄武门
'xue'ren'gui 薛仁贵
'yan'ying 晏婴
'yan'zhen'qing 颜真卿
'yang'gui'fei 杨贵妃
'yang'yu'huan 杨玉环
'yi'dui 一堆
'yuan'shang'han'shan'shi'jing'xie 远上寒山石径斜
'zao'shu 枣树
'zhang'sun'wu'ji 长孙无忌
'zhang'xu 张旭
'zhen'guan 贞观
'zhu'sui'liang 褚遂良
'zhu'wen 朱温
'zi'jiang'mo'xi'ren'qian'chao 自将磨洗认前朝
