'a'wei 阿魏
'ai'di'cha 矮地茶
'ai'pian 艾片
'ai'pian'zuo'xuan'long'nao 艾片左旋龙脑
'ai'ye 艾叶
'an'nao'pian 安脑片
'an'tai'wan 安胎丸
'an'xi'xiang 安息香
'ba'dou 巴豆
'ba'dou'shuang 巴豆霜
'ba'huo'tian 巴或天
'ba'jiao'hui'xiang 八角茴香
'ba'zhen'wan'nong'suo'wan 八珍丸浓缩丸
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'fan 白矾
'bai'fu'zi 白附子
'bai'guo 白果
'bai'he 百合
'bai'ji 白及
'bai'mao'gen 白茅根
'bai'qian 白前
'bai'qu'cai 白屈菜
'bai'shao 白芍
'bai'wei 白薇
'bai'xian'pi 白鲜皮
'bai'you 白莜
'bai'zhi 白芷
'bai'zhu 白术
'bai'zi'ren 柏子仁
'ban'bian'lian 半边莲
'ban'kuan 斑款
'ban'lan'gen 板蓝根
'ban'mao 斑瞀
'ban'xia 半夏
'ban'zhi'lian 半枝莲
'ban'zhi'lian'ban'xia 半枝莲半夏
'bao'ma'zi'pi 暴马子皮
'bei'dou'gen 北豆根
'bei'liu'ji'nu 北刘寄奴
'bei'sha'shen 北沙参
'bi'cheng'qie 荜澄茄
'bi'ji 蓖蒺
'bi'long 荜茏
'bi'ma'zi 蓖麻子
'bing'lang 槟榔
'bing'pian 冰片
'bing'pian'he'cheng'long'nao 冰片合成龙脑
'bu'gu'zhi 补骨脂
'bu'shen'yi'jing'wan 补肾益精丸
'bu'xu'tong'yu'ke'li 补虚通瘀颗粒
'bu'zha'ye 布渣叶
'cang'er'zi 苍耳子
'cang'zhu 苍术
'cao'dou'kou 草豆蔻
'cao'guo 草果
'cao'wu 草乌
'cao'wu'ye 草乌叶
'ce'bai'ye 侧柏叶
'chai'hu 柴胡
'chai'hu'di'wan 柴胡滴丸
'chan'tui 蝉蜕
'chang'shan 常山
'chao'gua'wei'zi 炒瓜萎子
'che'qian'cao 车前草
'che'qian'zi 车前子
'chen'pi 陈皮
'chen'xiang 沉香
'chi'shao 赤芍
'chi'shi'zhi 赤石脂
'chi'xiao'dou 赤小豆
'chong'bai'la 虫白蜡
'chong'lou 重楼
'chou'she 臭射
'chu'shi'zi 楮实子
'chuan'bao'zi 川葆子
'chuan'bei'mu 川贝母
'chuan'mu'tong 川木通
'chuan'mu'xiang 川木香
'chuan'niu'xi 川牛膝
'chuan'shan'jia 穿山甲
'chuan'shan'long 穿山龙
'chuan'she'gan 川射干
'chuan'wu 川乌
'chuan'xin'lian 穿心莲
'chuan'xiong 川芎
'chui'pen'cao 垂盆草
'chun'chi'qing'wei'wan 唇齿清胃丸
'chun'pi 椿皮
'ci'shi 磁石
'ci'wu'jia 刺五加
'ci'yu'hu 刺郁虎
'cui'lao'zi 萃劳子
'da'dou'huang'juan 大豆黄卷
'da'fu'pi 大腹皮
'da'huang 大黄
'da'huang'li'dan'jiao'nang 大黄利胆胶囊
'da'ji 大蓟
'da'ji'tan 大蓟炭
'da'qing'yan 大青盐
'da'qing'ye 大青叶
'da'suan 大蒜
'da'xue'teng 大血藤
'da'ye'zi'zhu 大叶紫珠
'da'zao 大枣
'da'zao'jiao 大皂角
'dan'deng'tong'nao'jiao'nang 丹灯通脑胶囊
'dan'deng'tong'nao'ruan'jiao'nang 丹灯通脑软胶囊
'dan'dou'chi 淡豆豉
'dan'lu'tong'du'pian 丹鹿通督片
'dan'nan'xing 胆南星
'dan'shen 丹参
'dan'zhu'ye 淡竹叶
'dang'gui 当归
'dang'shen 党参
'dang'ya 党鸭
'dang'yao 当药
'dao'dou 刀豆
