'a'bi'di'yu 阿鼻地狱
'a'gou'a'mao 阿狗阿猫
'a'gu'a'weng 阿姑阿翁
'a'jia'a'weng 阿家阿翁
'a'jiao'jin'wu 阿娇金屋
'a'mao'a'gou 阿猫阿狗
'ai'ai'fu'mu 哀哀父母
'ai'ai'yu'jue 哀哀欲绝
'ai'bie'li'ku 爱别离苦
'ai'bing'bi'sheng 哀兵必胜
'ai'bo'er'qing'bu'zhuan 爱博而情不专
'ai'bu'ren'shi 爱不忍释
'ai'bu'shi'shou 爱不释手
'ai'cai'ru'ke 爱才如渴
'ai'cai'ru'ming 爱财如命
'ai'cai'ru'ming 爱才如命
'ai'cai'ruo'ke 爱才若渴
'ai'dong'shou'e 挨冻受饿
'ai'er'bu'shang 哀而不伤
'ai'feng'ji'feng 挨风缉缝
'ai'feng'ji'feng 捱风缉缝
'ai'fu'xian'pin 爱富嫌贫
'ai'gan'tian'di 哀感天地
'ai'gan'wan'yan 哀感顽艳
'ai'gan'zhong'nian 哀感中年
'ai'gao'bin'fu 哀告宾服
'ai'guo'ru'jia 爱国如家
'ai'he'shi'zhong 爱鹤失众
'ai'hong'bian'di 哀鸿遍地
'ai'hong'bian'ye 哀鸿遍野
'ai'hui'gu'li 哀毁骨立
'ai'hui'ji'li 哀毁瘠立
'ai'jia'ai'hu 挨家挨户
'ai'jian'bing'zu 挨肩并足
'ai'jian'ca'bang 挨肩擦膀
'ai'jian'ca'bei 挨肩擦背
'ai'jian'ca'lian 挨肩擦脸
'ai'jian'da'bei 挨肩搭背
'ai'jian'die'bei 挨肩叠背
'ai'kou'shi'xiu 碍口识羞
'ai'li'cun'yang 爱礼存羊
'ai'li'zheng'shi 哀梨蒸食
'ai'mao'fan'qiu 爱毛反裘
'ai'mei'bu'ming 暧昧不明
'ai'mei'zhi'qing 暧昧之情
'ai'men'zhu'hu 挨门逐户
'ai'min'ru'zi 爱民如子
'ai'mo'da'yu'xin'si 哀莫大于心死
'ai'mo'neng'zhu 爱莫能助
'ai'mo'zhi'zhu 爱莫之助
'ai'nan'cong'ming 碍难从命
'ai'nv'chi'er 騃女痴儿
'ai'nv'chi'nan 騃女痴男
'ai'qian'ru'ming 爱钱如命
'ai'ran'ke'qin 蔼然可亲
'ai'ran'ren'zhe 蔼然仁者
'ai'ren'guan'chang 矮人观场
'ai'ren'hao'shi 爱人好士
'ai'ren'kan'chang 矮人看场
'ai'ren'kan'xi 矮人看戏
'ai'ren'li'wu 爱人利物
'ai'ren'yi'de 爱人以德
'ai'ri'xi'li 爱日惜力
'ai'ru'ji'chu 爱如己出
'ai'ru'zhen'bao 爱如珍宝
'ai'san'ding'si 捱三顶四
'ai'san'ding'wu 挨三顶五
'ai'san'ding'wu 捱三顶五
'ai'shan'sai'hai 挨山塞海
'ai'sheng'tan'qi 哀声叹气
'ai'sheng'tan'qi 唉声叹气
'ai'sheng'wu'si 爱生恶死
'ai'shou'ai'jiao 碍手碍脚
'ai'si'hao'zhu 哀丝豪竹
'ai'si'ru'chao 哀思如潮
'ai'su'hao'gu 爱素好古
'ai'tian'jiao'di 哀天叫地
'ai'tong'dun'fu 騃童钝夫
'ai'tong'yu'jue 哀痛欲绝
'ai'wu'ji'wu 爱屋及乌
'ai'xi'yu'mao 爱惜羽毛
'ai'ze'jia'zhu'xi 爱则加诸膝
'ai'zeng'fen'ming 爱憎分明
'ai'zhi'yu'qi'sheng 爱之欲其生
'ai'zi'guan'chang 矮子观场
'ai'zi'kan'xi 矮子看戏
'an'an'wen'wen 安安稳稳
'an'bang'ding'guo 安邦定国
'an'bang'zhi'guo 安邦治国
'an'bing'bu'dong 按兵不动
'an'bing'shu'jia 按兵束甲
'an'bing'shu'jia 案兵束甲
'an'bu'dang'che 安步当车
'an'bu'jiu'ban 按部就班
'an'bu'jiu'ban 按步就班
'an'bu'li'ma 鞍不离马
'an'bu'li'ma'bei 鞍不离马背
'an'bu'wang'wei 安不忘危
'an'chang'chu'shun 安常处顺
'an'chang'lv'shun 安常履顺
'an'chang'shou'fen 安常守分
'an'chang'shou'gu 安常守故
'an'chang'xi'gu 安常习故
'an'che'pu'lun 安车蒲轮
'an'chui'da'ren 暗锤打人
