'an'da 安打
'an'quan'shang'lei 安全上垒
'bai'chang 败场
'bai'tou 败投
'bang'qiu 棒球
'bang'qiu'chang 棒球场
'bao'song 保送
'bao'song'shang'lei 保送上垒
'bao'tou 暴投
'ben'lei 本垒
'ben'lei'cai'pan 本垒裁判
'ben'lei'da 本垒打
'bi'sai'ting'zhi'qiu 比赛停止球
'bian'hua'qiu 变化球
'bu'shou 捕手
'bu'shou'mian'zhao 捕手面罩
'ca'bang'qiu 擦棒球
'can'lei'shu 残垒数
'chang'wai'qiu 场外球
'chu'ju 出局
'chu'sai'ci'shu 出赛次数
'chu'shen'qiu 触身球
'da'dai'pao 打带跑
'da'dian 打点
'da'ji'lv 打击率
'da'ji'shou 打击手
'da'ji'shun'xu 打击顺序
'da'ji'wei'zhi 打击位置
'da'kong 打空
'da'xi 打席
'dai'da 代打
'dan'shou'jie'qiu 单手接球
'dao'cao'ren'shi 稻草人式
'dao'lei 盗垒
'dao'lei'cheng'gong 盗垒成功
'dao'lei'shi'bai 盗垒失败
'de'dian'quan 得点圈
'de'fen 得分
'duan'da 短打
'er'lei 二垒
'er'lei'an'da 二垒安打
'er'lei'shou 二垒手
'feng'sha 封杀
'gao'fei'qiu 高飞球
'gao'fei'xi'sheng'da 高飞牺牲打
'gu'yi'si'huai'qiu 故意四坏球
'guan'jian'qiu 关键球
'gun'di'qiu 滚地球
'guo'ji'lian'meng 国际联盟
'hao'qiu 好球
'hao'qiu'dai 好球带
'hu'shen'yi 护身衣
'hu'tui 护腿
'hua'di'jie'qiu 滑地接球
'hua'lei 滑垒
'huai'qiu 坏球
'hui'bang 挥棒
'hui'bi 挥臂
'jia'sha 夹杀
'jie'hou'shi'shou 接后失手
'jie'nei'qiu 界内球
'jie'ti'tou'shou'lian'xi'qu 接替投手练习区
'jie'wai'qiu 界外球
'jin'ji'du'li'shi 金鸡独立式
'jiu'yuan'cheng'gong 救援成功
'jiu'yuan'dian 救援点
'jiu'yuan'shi'bai 救援失败
'jiu'yuan'tou'shou 救援投手
'kong'qiu 控球
'kuai'su'qiu 快速球
'lei'bao 垒包
'liang'lei'jian'de'lu 两垒间的路
'liang'zhi'shou'tao 两指手套
'lou'ji 漏击
'lou'jie 漏接
'man'lei 满垒
'man'qiu'shu 满球数
'man'su'bian'hua'qiu 慢速变化球
'man'su'qiu 慢速球
'mei'guo'da'lian'meng 美国大联盟
'mei'guo'lian'meng 美国联盟
'ming'ren'ting 名人厅
'nei'jiao'qiu 内角球
'nian'du'xin'ren'wang 年度新人王
'niu'peng 牛棚
'pao'lei 跑垒
'pao'lei'zhi'dao'yuan 跑垒指导员
'qian'zhi 牵制
'qiang'da'zhe 强打者
'qing'bang'lian'meng 青棒联盟
'qing'lei 清垒
'qiu'bang 球棒
'qiu'dui'zong'jiao'lian 球队总教练
'qiu'yuan'xiu'xi'shi 球员休息室
'qu'qiu 曲球
'qu'su'qiu 曲速球
'quan'lei'da 全垒打
'san'lei 三垒
'san'lei'an'da 三垒安打
'san'lei'shou 三垒手
'san'sha 三杀
'san'zhen 三振
'shang'lei'lv 上垒率
'shang'sheng'qiu 上升球
'shao'bang'lian'meng 少棒联盟
'sheng'chang 胜场
'sheng'li'ji'nian'qiu 胜利纪念球
'sheng'tou 胜投
'shi'jie'da'sai 世界大赛
'shi'wu 失误
'shou'bei 守备
'shou'bei'lv 守备率
'shou'shang'ming'dan 受伤名单
'shuang'dao'lei 双盗垒
'shuang'sha 双杀
'si'huai'qiu 四坏球
'suo'bang 缩棒
'tiao'qi'jie'qiu 跳起接球
'tou'bu'shou'zong'cheng 投捕手总称
'tou'qiu'ju'shu 投球局数
'tou'qiu'zi'shi 投球姿势
'tou'shou 投手
'tou'shou'fang'yu'lv 投手防御率
'tou'shou'jia'dong'zuo 投手假动作
'tou'shou'qiu 投手丘
'tou'shou'wan'feng 投手完封
'tou'shou'xian'fa'chang'ci 投手先发场次
'tou'shou'ze'ren'shi'fen 投手责任失分
'tui'hui'yuan'lei 退回原垒
'wai'jiao'qiu 外角球
'wai'ye'shou 外野手
'wu'an'da 无安打
'xi'sheng'da 牺牲打
'xia'zhui'qiu 下坠球
'xuan'qiu'li 选球力
'xuan'zhuan'qiu 旋转球
'yan'chang'ju 延长局
'yi'lei 一垒
'yi'lei'an'da 一垒安打
'yi'lei'shou 一垒手
'you'ji'shou 游击手
'you'ji'shou'shou'bei'fan'wei 游击手守备范围
'you'shou'da'zhe 右手打者
'you'shou'tou'shou 右手投手
'you'wai'ye'shou 右外野手
'zhi'ding'da'ji 指定打击
'zhi'jie 指节
'zhi'jie'bian'hua'qiu 指节变化球
'zhi'qiu 直球
'zhong'wai'ye'shou 中外野手
'zhu'sha 助杀
'zhu'shen 主审
'zi'you'qiu'yuan 自由球员
'zong'jiao'lian 总教练
'zu'bu'fan'gui 足部犯规
'zui'you'jia'zhi'qiu'yuan 最有价值球员
'zuo'shou'da'zhe 左手打者
'zuo'shou'tou'shou 左手投手
'zuo'wai'ye'shou 左外野手
