'chao'jing'cai'jia 朝井彩加
'chun'qiu'zhuang 春秋庄
'cun'tian'tai'zhi 村田太志
'dong'zai 冬哉
'jie'yuan'zhi'li 结缘之力
'jie'yuan'zhi'shen 结缘之神
'lu'zhi'hu 芦之湖
'mi'mi'xiang 秘密箱
'qiang'luo 强罗
'wen'quan'jie 温泉街
'wen'quan'jie'man'tou'dian 温泉街馒头店
'wen'quan'jing'ling 温泉精灵
'wen'quan'you'xiang'gen'jiang 温泉幼箱根酱
'xiang'gen 箱根
'xiang'gen'qi'jing 箱根七精
'xiao'ye'zao'xi 小野早稀
'ya'ji 亚季
'you'mu'bi 悠木碧
'zhen'ming 榛名
'zhu'da'cai'nai 竹达彩奈
