'a'tong'san'chi'chui 阿童三尺棰
'ai'zai'qi'ti'ren 哀哉齐体人
'an'an'chang'kong'xian'xue'lai 黯黯长空霰雪来
'an'chao'sheng'zhu'diao'han'yin 暗潮生渚吊寒蚓
'an'de'ci'shen'tuo'ju'luan 安得此身脱拘挛
'an'de'lao'hua'shi 安得老画师
'an'de'mu'fu'zi'bu'pin 安得母富子不贫
'an'de'shi'shang'ren 安得世上人
'an'de'xiang'cong'you 安得相从游
'an'de'zhu'lou'gao'bai'chi 安得朱楼高百尺
'an'neng'rou'ruan'sui'liang'mei 安能柔软随良媒
'an'pai'ju'fa'yi'nan'xun 安排句法已难寻
'an'shang'kong'huang'huo'ye'ming 岸上空荒火夜明
'an'xian'kui'lao'seng 安闲愧老僧
'an'xiang'wu'mi'chu 暗香无觅处
'an'xin'shi'yao'geng'wu'fang 安心是药更无方
'an'zhi'fei'qun'xian 安知非群仙
'ba'di'qing'cang'wu'qian'ren 拔地青苍五千仞
'ba'di'tu'wu'mo'cang'qiong 拔地突兀摩苍穹
'ba'jiu'jiang'tou'qie'yi'bei 把酒江头且一杯
'ba'jiu'xie'gao'han 把酒谢高翰
'ba'shan'lou'zhi'dong 巴山楼之东
'ba'shu'tong'gui'shi 巴蜀通归使
'bai'cheng'ren'yi'lao 柏成人已老
'bai'dong'pan'qi'zhong 百洞蟠其中
'bai'fa'qian'chao'jiu'shi'guan 白发前朝旧史官
'bai'fa'shang'chun'you'yi'nian 白发伤春又一年
'bai'fa'ti'shi'chou'song'chun 白发题诗愁送春
'bai'fu'chang'teng'zi'bu'xian 白拂长藤自不闲
'bai'hu'tiao'liang'qu 白狐跳梁去
'bai'hua'jie'hou'xiang 百花皆后香
'bai'nian'fu'gui'jin'shui'jian 百年富贵今谁见
'bai'nian'ling'que'lei'hen'zhong 百年陵阙泪痕中
'bai'niao'zhi'jia'rui 百鸟之嘉瑞
'bai'pin'man'zhao'gui'lai'wan 白蘋满棹归来晚
'bai'qi'he'tan'lie'sheng'qiu 百骑河滩猎盛秋
'bai'sheng'he'ku'jian 柏生何苦艰
'bai'yan'chi'jia'tian'xia'xiong 白盐赤甲天下雄
'bai'yi'wei'sheng'yi 拜揖未胜衣
'bai'yu'you'neng'xiao'yi'hui 白羽犹能效一挥
'bai'yun'ru'yu'cheng 白云如玉城
'bai'zhe'nan'zhi'yi'wo'you 百谪难知亦我忧
'ban'sheng'you'huan'li 半生忧患里
'ban'shi'dong'zhong'yun 半是洞中云
'ban'za'jiang'sheng'zuo'bei'jian 半杂江声作悲健
'bang'shu'ying'qie'bu'fu'bian 谤书盈箧不复辨
'bang'zhou'fa'su'gan'bu'mian 榜舟发粟敢不勉
'bao'chai'yan'wu'guang'zhao'xi 宝钗艳舞光照席
'bao'dang'gu'yan 鲍当孤雁
'bao'fu'you'mu'ci 抱负有母慈
'bao'shi'zheng'rong'fo'suo'lu 宝石峥嵘佛所庐
'bao'xian'qiu'jing 保暹秋径
'bao'zhu'bei'wu'shu 报主悲无术
'bao'zong'hu'ji'bu'gan'bi 豹踪虎迹不敢避
'bei'chou'tian'di'bai'ri'hun 悲愁天地白日昏
'bei'fa'xi'zheng'jin'sheng'mo 北伐西征尽圣谟
'bei'feng'chui'ri'zhou'duo'yin 北风吹日昼多阴
'bei'feng'hui'shou'hen'nan'cai 北风回首恨难裁
'bei'feng'wu'ri'chui'jiang'lian 北风五日吹江练
'bei'feng'zuo'shuang'qiu'yi'han 北风作霜秋已寒
'bei'gui'chen'tu'bian'yi'qiu 北归尘土变衣裘
'bei'lei'shu'shang'hua 蓓蕾树上花
'bei'qu'nan'lai'zi'zai'fei 北去南来自在飞
'ben'chao'yi'wu'bu'shi'suo 本朝一物不失所
'ben'lei'jian'yu'xue 奔雷溅玉雪
'ben'qi'bai'sui'en 本期百岁恩
'ben'zou'fan'you'li 奔走烦邮吏
'bi'feng'da'lei'kou 避风大雷口
'bi'han'bai'nang'hou 鼻鼾韛囊吼
'bi'jiu'shi'qing'yi'liang'bei 碧酒时倾一两杯
'bi'li'qing'deng'zha'you'wu 壁里青灯乍有无
'bi'liang'jiu'sui'liao'kan'xi 比量旧岁聊堪喜
'bi'men'ye'si'song'yin'zhuan 闭门野寺松阴转
'bi'mian'shang'yi'chuang 蔽面尚疑创
'bi'shi'wei'han'bu'chu'men 避湿违寒不出门
'bi'suo'wei'dao'qi'yi'tun 笔所未到气已吞
'bi'tao'hua'xie'shui'xi'liu 碧桃花谢水西流
'bian'chi'lei'ting'zou 鞭笞雷霆走
'bian'dang'deng'gao'bai'chi'tai 便当登高百尺台
'bian'kong'piao'ling'zuo'hong'yu 便恐漂零作红雨
'bian'mang'kong'huo'yan 编氓恐祸延
'bian'shen'luo'qi'zhe 遍身罗绮者
'bian'shui'you'chuan'gu'yuan'lai 汴水犹穿故苑来
'bian'yu'jue'shi'yi'fen'pang 便欲绝世遗纷厖
'bian'zhi'yuan'ji'zai'zhang'gu 便知元济在掌股
'bie'lai'er'bai'ri 别来二百日
'bie'lai'ji'du'jian'chun'gui 别来几度见春归
'bie'li'xin'xu'xiang'shui'yan 别离心绪向谁言
'bie'you'shen'xian'yu 别有神仙宇
'bie'you'zhong'xing'nian 别有中兴年
'bie'zhi'qi'wu'qing 别之岂无情
'bin'luan'chai'heng'te'di'han 鬓乱钗横特地寒
'bing'fu'chao'shui'zu 病夫朝睡足
'bing'fu'sang'xia'lian 病夫桑下恋
'bing'gu'sui'han'liao'mian'fu 病骨虽寒聊免缚
'bing'ji'shi'you'kuang 屏迹事幽旷
'bing'lai'bei'jiu'bu'xiang'bian 病来杯酒不相便
'bing'lai'na'fu'yi'fen'xin 病来那复一分心
'bing'qu'que'pa'jiu'hu'qing 病躯却怕酒壶倾
'bing'ru'xin'nian'gan'wu'hua 病入新年感物华
'bing'shen'zui'jue'feng'lu'zao 病身最觉风露早
'bing'tui'shen'chu'jian 病退身初健
'bing'zai'yi'su'wu'you'bian 病在一俗无由砭
'bing'zhu'deng'lin'kong'yu'jiu 秉烛登临空语旧
'bo'hen'jiao'she'yi'nan'wei 波痕交涉亦难为
