'an'na'shi'ta'xi'ya 安娜史塔西亚
'ben'tian'wei'yang 本田未央
'cheng'qi'li'jia 城崎莉嘉
'chi'cheng'mi'li'ya 赤城米莉亚
'da'kong'zhi'mei 大空直美
'da'ping'you'jia 大坪由佳
'da'qiao'cai'xiang 大桥彩香
'dao'cun'mao'yue 岛村卯月
'duo'tian'li'yi'cai 多田李衣菜
'fu'yuan'ling'xiang 福原绫香
'gao'sen'nai'jin'mei 高森奈津美
'hei'ze'zhi'ye 黑泽知叶
'hui'gu'niang'ji'hua 灰姑娘计划
'hui'gu'niang'nv'hai 灰姑娘女孩
'nei'tian'zhen'li 内田真礼
'ou'xiang'da'shi 偶像大师
'qian'chuan'wei'lai 前川未来
'qing'mu'liu'li'zi 青木琉璃子
'san'cun'jia'nai'zi 三村加奈子
'shan'ben'xi'wang 山本希望
'shang'ban'jin 上坂堇
'she'gu'lin 涉谷凛
'shen'qi'lan'zi 神崎兰子
'shuang'ye'xing 双叶杏
'song'qi'li 松嵜丽
'wu'shi'lan'yu'mei 五十岚裕美
'xin'tian'mei'bo 新田美波
'xu'fang'zhi'hui'li 绪方智绘里
'yuan'sha'you'li 原纱友里
'zhou'qi'ling 洲崎绫
'zhu'xing'qi'la'li 诸星琪拉莉
