'a'ji 阿济
'an'pin 安嫔
'an'shang'ren 安尚仁
'ba'qi'jing'lv 八旗劲旅
'bai'bi'qing'ying 白壁青蝇
'bai'hua'tiao'di 百花迢递
'ban'jie'yu 班婕妤
'ban'tuo 扳托
'bei'wu'suo 北五所
'bi'jing 跸警
'bi'luo 碧落
'bi'nv 嬖女
'bin'pan 鬓畔
'bu'bing'tong'ling 步兵统领
'cai'sang'zi 采桑子
'cai'yong 蔡邕
'cao'yun 漕运
'chang'chun'gong 长春宫
'chang'qing 长庆
'cheng'xiang 承香
'chi'jin'xiang'zhu 赤金镶珠
'chui'hua'men 垂华门
'chun'fu 春赋
'chun'gong 春贡
'ci'ning'gong 慈宁宫
'ci'shen'liang'ku 此身良苦
'cong'jiao'tie'shi 从教铁石
'cui'bang'ji 崔邦吉
'da'chang 大氅
'da'hua'ling'zi 大花翎子
'dai'mao 玳瑁
'dang'shi'zhi'dao 当时只道
'dao'chun'han 倒春寒
'dao'shi 倒势
'di'kang'huo'long 地炕火龙
'dong'feng'qi'zhu'li 东风齐著力
'dong'feng'san'yue 东风三月
'dong'lang 冬郎
'du'shun'chi 杜顺池
'duan'chong 短铳
'duan'pin 端嫔
'er'hua'ling'zi 二花翎子
'er'tai'tai 二太太
'fan'ji 樊姬
'fan'tai'jie 繁台街
'fang'jing 芳景
'fei'wo'si'cun 匪我思存
'feng'si'jing 冯四京
'feng'wei 冯渭
'feng'yan'guo'zi'li 风腌果子狸
'fu'cha'shi 富察氏
'fu'quan 福全
'gu'ming'ji'tie 古名姬贴
'guan'wei'da'chen 管围大臣
'guo'luo'luo 郭络罗
'guo'xing'hai 郭兴海
'han'lin'bian'xiu 翰林编修
'han'lin'zhang'ying'jin 翰林张英进
'he'bao 荷葆
'he'wu 河务
'he'ye'bei 荷叶杯
'hei'si'luo 黑丝络
'hong'de'dian 弘德殿
'hu'jun'ying 护军营
'hu'qiang'ying'shi'zu 虎枪营士卒
'hu'ye 狐腋
'hua'leng'hui'xin 花冷回心
'hua'tang'chun 画堂春
'hua'yi'qi 花衣期
'hua'zhu 画珠
'huan'xi'sha 浣溪纱
'huan'yi'fang 浣衣房
'huang'ling'li'zi 黄绫里子
'huang'tu'yong'dao 黄土壅道
'huang'zhang'rong'lu'pi'xue 黄獐绒鹿皮靴
'hui'zhu'zi 惠主子
'ji'fen 齑粉
'jian'qu'shen'meng 鉴取深盟
'jian'xiu 箭袖
'jian'zi'mu'lan'hua 减字木兰花
'jiang'chen'ying 姜辰英
'jiang'chou'shan'zi 江绸衫子
'jiang'er'xi 姜二喜
'jiang'ning'zhi'zao'fu 江宁织造府
'jin'lv'ba'qi 禁旅八旗
'jin'lv'qu 金缕曲
'jin'qiu 锦秋
'jin'zhi 巾栉
'jing'guan 京官
