'ban'yao 半妖
'ban'yin 伴音
'bang'mi 邦弥
'bi'an 彼岸
'cha'ba 靫巴
'chang'mi 唱弥
'chi'mei'wang'liang 魑魅魍魉
'cun'tian'tai'zhi 村田太志
'da'chuan'tou 大川透
'da'guo'zhu 大国主
'da'hei 大黑
'da'wu 大吾
'dao'biao 道标
'dao'si 道司
'ding'gong'li'hui 钉宫理惠
'dong'cheng'ri'sha'zi 东城日沙子
'dong'nei'ma'li'zi 东内麻里子
'feng'qi'ai'sheng 丰崎爱生
'feng'xue 风穴
'fu'shan'run 福山润
'fu'xie 祓楔
'gao'qiao'shen'ye 高桥伸也
'gao'tian'yuan 高天原
'gao'wei'xue 高尾雪
'gong'ze'qing'zi 宫泽清子
'huang'quan'zhi'di 黄泉之地
'huang'quan'zhi'yu 黄泉之语
'hui'bi'shou 惠比寿
'hui'bi'shou'xiao'fu 惠比寿小福
'huo'jin'shen 祸津神
'jia'feng'zhi'ju'min 夹缝之居民
'jian'yu'lei'shen 建御雷神
'jie'mi 截弥
'jin'jing'ma'mei 今井麻美
'jing'shang'he'yan 井上和彦
'lan'ba 蓝巴
'lian'yue'da 莲岳大
'ling'ba 岭巴
'ling'ba 铃巴
'liu'ba 瑠巴
'lu'ba 陆巴
'luo'bang 蠃蚌
'mei'yu 梅雨
'mian'yao 面妖
'ming'ban'cong'mei 明坂聪美
'nei'tian'zhen'li 内田真礼
'pi'sha'men 毘沙门
'pi'sha'men'tian 毘沙门天
'pian'bei'xun 片贝熏
'pin'qiong'shen 贫穷神
'qi'fu'shen 七福神
'qin'ze'you 芹泽优
'qiu'ba 秋巴
'qun'ba 囷巴
'ren'ba 纴巴
'shan'ben'jian'ping 山本兼平
'shan'gu'xiang'sheng 山谷祥生
'shao'ba 绍巴
'shen'gu'hao'shi 神谷浩史
'shen'qi 神器
'shen'yi 神议
'shi'chuan'jie'ren 石川界人
'shi'hua 时化
'shu'ba 数巴
'shuai'bu'guo'san'miao 帅不过三秒
'shuang'tai'dao 双太刀
'teng'qi'hao'ren 藤崎浩人
'tian'shen 天神
'wang'ling 亡灵
'wei'na 威娜
'wei'yu'gui 梶裕贵
'wei'yuan'zhong'guo 苇原中国
'wen'ba 文巴
'wu'ri'yuan 五日元
'wu'shen 武神
'xi'shan'hong'tai'lang 西山宏太朗
'xiao'ye'da'fu 小野大辅
'xiao'ze'ya'li 小泽亚李
'xing'ye'gui'ji 星野贵纪
'xue'yin 雪音
'xun'ma 询麻
'yan'mi 严弥
'ye'dou 夜斗
'ye'liang 野良
'yi'ba 刈巴
'yi'qi'ri'he 一岐日和
'yi'xian 一线
'ying'jing'xiao'hong 樱井孝宏
'zao'jian'sha'zhi 早见沙织
'ze'cheng'mei'xue 泽城美雪
'zhao'ma 兆麻
'zhen'yu 真喻
'zhi'ji 栉姬
'zhi'nian'long'tai'lang 置鲇龙太郎
'zhong'qi'dun'mei 种崎敦美
'zhu'qi 祝器
'zhu'yu'zhou 祝与咒
'zuo'teng'zou'mei 佐藤奏美
