'a'tai 阿泰
'an'zhong'diao'du 暗中调度
'ao'zhan 鏖战
'bai'yu'shi'jie 白玉石阶
'bao'mu'zhong'yang 宝木中阳
'bei'gu 北谷
'bei'yan 北燕
'bi'tan 碧潭
'bi'yan'jun 毕彦君
'bian'cheng'zhan'huo 边城战火
'bian'huan'yi'sheng 变换一生
'bing'gu'zhi'li 病骨支离
'bu'wei'tian'xia 不畏天下
'cao'peng'cha'liao 草棚茶寮
'chai'hao'wei 柴浩伟
'chang'ge'qi 长歌起
'chang'lin'er'gong'zi 长林二公子
'chang'lin'fu 长林府
'chang'lin'jun 长林军
'chang'lin'jun'fu'shuai 长林军副帅
'chang'lin'shi'zi 长林世子
'chang'lin'wang 长林王
'chang'lin'wang'ye 长林王爷
'chang'lin'xiong'di 长林兄弟
'chao'tang'jiang'hu'feng'yun'duo'bian 朝堂江湖风云多变
'chen'shu 臣属
'cheng'tai'shen 成泰燊
'chi'yu'ying'fu'jiang 赤羽营副将
'chou'yun'jian 愁云溅
'chu'guo'xing'bing 楚国兴兵
'cun'xin'cun'xue'wan'chang'jiang 寸心寸血挽长缰
'da'jiang'jun 大将军
'da'li'si 大理寺
'da'liang 大梁
'da'liang'di'yi'gao'shou 大梁第一高手
'da'liang'huang'di 大梁皇帝
'da'yu'can'bing 大渝残兵
'di'du 帝都
'di'lao 地牢
'di'nian 帝辇
'dong'gong 东宫
'dong'hai'bei'yan 东海北燕
'dong'hai'shi'tuan 东海使团
'dong'hai'zhu'jiao 东海朱胶
'duan'tong'zhou 段桐舟
'fei'zhan 飞盏
'fen'yan'wan 粉烟丸
'feng'qi'yun'yong 风起云涌
'feng'wei 封位
'feng'xi'gou 凤栖沟
'feng'zhuan'hui'lang 风转回廊
'fu'chi'ming'jun 扶持明君
'fu'feng'tang 扶风堂
'fu'shuai 父帅
'fu'yin 府尹
'gan'zhou 甘州
'gen'gu'zi'zai'hua'zhang 根骨自在华章
'gong'cheng'hu'cheng'he 宫城护城河
'gong'jiang 工匠
'gu'shan 孤山
'gui'yuan'zhou 桂圆粥
'guo'jing'fei 郭京飞
'han'jiao'jing'gu'chang'ying 寒角旌鼓长缨
'han'jing'shi 寒晶石
'han'yi 寒医
'han'zhong'guan 寒钟观
'han'zi'hao'fang 寒字号房
'he'cheng 何成
'hou'fu 侯府
'hou'gong 后宫
'hu'tian'wei'chang'cun 护天威长存
'hu'xian'xu 胡先煦
'hua'zheng'wei'ling 化整为零
'huan'nan'er'gui'lai'zhan'bei'fang 唤男儿归来战北方
'huang'cheng 皇城
'huang'hou 皇后
'huang'xiao'ming 黄晓明
'huang'zu'chun'lie 皇族春猎
'huo'lei 火雷
'ji'chen 纪琛
'ji'feng'tang 济风堂
'ji'feng'tang'tang'zhu 济风堂堂主
'jia'yuan'yuan 贾媛媛
'jin'jun'da'tong'ling 禁军大统领
'jin'jun'fu 禁军府
'jin'jun'tong'ling 禁军统领
'jin'ling 金陵
'jin'ling'cheng 金陵城
'jin'ling'di'du 金陵帝都
'jin'ling'fu'feng'tang 金陵扶风堂
'jin'ling'jie'shi 金陵街市
'jin'ye'jiu'yao'qi'feng'le 今夜就要起风了
'jin'yuan 禁苑
'jin'ze'hao 金泽灏
'jing'ceng'yun 惊层云
'jing'huan 景桓
'jing'wang 靖王
'jing'wang'fei 靖王妃
'jing'zhong 京中
'jiu'ge'mi'ju 纠葛迷局
'jun'wang 郡王
'kan'ceng'luan'die'zhang 看层峦叠嶂
'lai'yang'fu 莱阳府
'lai'yang'hou'jia 莱阳侯家
'lai'yang'tai'fu'ren 莱阳太夫人
'lai'yang'wang 莱阳王
