'ban'qian'bo 半潜驳
'chen'xiang 沉箱
'chui'tian 吹填
'dao'lv'ceng 倒滤层
'dian'ceng 垫层
'fang'bo'di 防波堤
'fu'bi'shi 扶壁式
'hai'gang 海港
'hou'fang'hui'tian 后方回填
'hu'an 护岸
'hun'ning'tu 混凝土
'ji'xie'he'zai 机械荷载
'leng'ti 棱体
'mao'ding'jie'gou 锚碇结构
'she'ji'di'shui'wei 设计低水位
'she'ji'gao'shui'wei 设计高水位
'shi'gong'gui'fan 施工规范
'tian'beng 天泵
'tuo'lun 拖轮
'xie'po'shi'hu'an 斜坡式护岸
'xiong'qiang 胸墙
'zhi'li'shi'hu'an 直立式护岸
