'ban'xing 伴行
'bao'mi'ding 胞嘧啶
'bian'yi'xu'lie 变异序列
'can'kao'xu'lie 参考序列
'ce'xu 测序
'dan'bai'zhi 蛋白质
'fan'zhuan'lu 反转录
'fan'zhuan'lu'mei 反转录酶
'he'gan'suan 核苷酸
'ji'yin 基因
'ji'yin'zuo 基因座
'jian'ji 碱基
'jian'ji'dui 碱基对
'mi'ding 嘧啶
'nei'han'zi 内含子
'ni'zhuan'lu 逆转录
'ni'zhuan'lu'mei 逆转录酶
'niao'piao'ling 鸟嘌呤
'piao'ling 嘌呤
'qiao'chu 敲除
'ran'se'ti 染色体
'shi'jian'li'xi'bao 嗜碱粒细胞
'shi'suan'li'xi'bao 嗜酸粒细胞
'tuo'yang'he'tang'he'suan 脱氧核糖核酸
'wai'xian'zi 外显子
'xian'piao'ling 腺嘌呤
'xiong'xian'mi'ding 胸腺嘧啶
'yin'wu 引物
'zhuan'lu'ben 转录本
'zhuan'lu'mei 转录酶
'zong'he'zheng 综合征
