'a'sa'mu 阿萨姆
'ai'chu'fa 爱出发
'bu'bu'gao'jia'jiao'ji 步步高家教机
'cun'hua 村花
'da'chang'tui 大长腿
'da'ge 大哥
'er'wen 二文
'er'yuan 二源
'hai'zhi'yan 海之言
'li'wo 梨涡
'meng'xiang'qi'hang 梦想起航
'mo'fa'cheng'bao 魔法城堡
'nai'yuan 奶源
'qian'zhi'he 千纸鹤
'qian'zong 千总
'qing'chun'xiu'lian'shou'ce 青春修炼手册
'san'xiao'zhi 三小只
'shi'nian'zhi'yue 十年之约
'shi'nian'zhi'yue'bu'bu'jian'ding 十年之约步步坚定
'shui'dong'le 水动乐
'si'ye'cao 四叶草
'si'ye'cao'zai'wei'lai'wei'mei'sheng'kai 四叶草在未来唯美盛开
'tao'hua'yan 桃花眼
'tu'ba 土霸
'tu'tu 屠屠
'wang'jun'kai 王俊凯
'wang'yuan 王源
'wei'meng'xiang'shi'ke'zhun'bei'zhe 为梦想时刻准备着
'xiao'hu'ya 小虎牙
'xiao'kai 小凯
'xiao'pang'xie 小螃蟹
'xiao'tang'yuan 小汤圆
'ya'ke'tang'guo 雅客糖果
'yi'ge 一哥
'yi'yang'qian'nan 易烊千楠
'yi'yang'qian'xi 易烊千玺
'zheng'tai'xiu'lian'mi'ji 正太修炼秘籍
