'a'zi'fu'chuang'qi 阿姊扶床泣
'fo'shan'ying'luo'jing'hu'qiu 佛山影落镜湖秋
'fu'chen'bu'zhi'shu 浮沉不知数
'fu'chu'qing'he'ji 复楚情何极
'fu'ci'zhu'jing'qi 复此驻旌旗
'fu'de'xin'shi'si'xie'zhen 赋得新诗似写真
'fu'jie'fei'pei'hai'yao'jing 复结飞珮还瑶京
'fu'ren'cheng'bei'zou'jiang'di 夫人城北走降氐
'fu'rong'se'jin'yu'lin'lao 芙蓉涩尽鱼鳞老
'fu'sang'fei'shang'jin'bi'bu 扶桑飞上金毕逋
'fu'shi'bu'gan'tuo 俯视不敢唾
'fu'shou'wu'qi'lu 俯首无齐鲁
'fu'tie'lian'cui'zhu'he'zu 府帖连催筑河卒
'fu'tu'zhe'shui'zi 浮屠者谁子
'fu'wei'lu 夫为虏
'fu'wei'tui 夫为推
'fu'wei'wan 妇为挽
'fu'xin'tou'bi'jing'he'yong 负薪投璧竟何用
'fu'yao'nan'ci'xing'ru'bin 服药难辞星入鬓
'gai'xia'mei'ren'qi'chu'ge 垓下美人泣楚歌
'gan'dan'wei'qu'zuo'ren'zha 敢惮微躯作人鲊
'gan'wei'dan'xin'jie'yi'zhi 敢为丹心借一枝
'gan'zhou'cheng'bei'hu'yun'chou 甘州城北胡云愁
'gan'zhou'cheng'xi'hei'shui'liu 甘州城西黑水流
'gang'luan'hui'he'zi'yun'tun 冈峦回合紫云屯
'gao'bing'de'zheng'er'xuan'hai'nan'shou'zha 高棅得郑二宣海南手札
'gao'bing'fu'de'luo'fu'shuang'yue'huai'er'yi'ren 高棅赋得罗浮霜月怀二逸人
'gao'cheng'bu'jin'san'ban'er 高城不浸三版耳
'gao'gang'wu'feng'ji'zhao'yang 高冈无凤集朝阳
'gao'ge'liu'ying'wai 高阁流莺外
'gao'jia'wei'lou'ying'bi'kong 高架危楼映碧空
'gao'jie'qi'ling'yue 高节栖灵岳
'gao'ju'ling'feng'fan 高居凌风幡
'gao'lou'ming'yue'sheng'ge'ye 高楼明月笙歌夜
'gao'mian'fan'ai'li'jiang'lu 高眠翻爱漓江路
'gao'ming'bai'dai'liu 高名百代留
'gao'pan'long'xia'ri'xian'ju 高攀龙夏日闲居
'gao'pan'tian'gen'tan'yue'ku 高攀天根探月窟
'gao'qi'deng'jin'ling'yu'hua'tai'wang'da'jiang 高启登金陵雨花台望大江
'gao'qi'jiang'cun'ji'shi 高启江村即事
'gao'qi'ke'zhong'yi'er'nv 高启客中忆二女
'gao'qi'mei'hua'xuan'liang'shou 高启梅花选两首
'gao'qi'meng'hu'xing 高启猛虎行
'gao'qi'qing'ming'cheng'guan'zhong'zhu'gong 高启清明呈馆中诸公
'gao'qi'qing'qiu'zi'ge'you'xu 高启青丘子歌有序
'gao'qi'qiu'liu 高启秋柳
'gao'qi'qiu'wang 高启秋望
'gao'qi'song'xie'gong 高启送谢恭
'gao'qi'ti'za'hua'xuan'yi'shou 高启题杂画选一首
'gao'qi'tu'yue'feng 高启吐月峰
'gao'qi'zheng'yue'shi'liu'ri'ye'zhi'jing'shi'guan'deng 高启正月十六日夜至京师观灯
'gao'qing'ying'nian'xi'ren'ceng 高情应念昔人曾
'gao'qiu'hen'bu'qian'chi 高丘恨不千尺
'gao'shu'si'jian'yuan'yong'zhi'yu'zhong 高叔嗣简袁永之狱中
'gao'su'chou'jia'guo 缟素酬家国
'gao'tai'wan'mu'feng 高台万木风
'gao'tang'bai'fa'sheng 高堂白发生
'gao'wo'bu'xu'kui'shi'jing 高卧不须窥石镜
'gao'zhai'jin'ye'yu 高斋今夜雨
'gao'zhai'xie'ri'bang'yu'qiao 高斋斜日傍渔樵
'ge'an'hong'tao'ban'zhu'hua 隔岸红桃半著花
'ge'chuan'jue'si'sheng 戈船决死生
'ge'duo'mian'shi'chuang'jie'ye 割夺面势创嶻嶪
'ge'guan'chun'sheng'dong 歌管春声动
'ge'jiang'ting'zi'shi'he'chu 隔江亭子是何处
'ge'lin'fa'mu'sheng 隔林伐木声
'ge'lin'ji'quan'ji'ren'jia 隔林鸡犬几人家
'ge'wu'wei'can'fei'qi'chu 歌舞未残飞骑出
'geng'nong'wang'wang'kua'yi'ji 耕农往往夸遗迹
'geng'yi'lian'cheng'ming'yue'dong 更倚连城明月动
'geng'yu'xiang'xie'shang'ye'hang 更欲相携上野航
'gong'feng'ceng'feng'wan'sheng'zhu 供奉曾逢万乘主
'gong'jia'wang'shi'you'cheng'qi 公家王事有程期
'gou'de'fei'yu'mu 苟得非予慕
'gou'de'hong'lin'ge'ge'xian 钩得红鳞个个鲜
'gou'jie'ni'jue'tian'xia'qiao 构结拟绝天下巧
'gou'su'su 狗觫觫
'gu'chen'wu'ji'chu'qin'guan 孤臣无计出秦关
'gu'ci'you'hao'huai 顾此有好怀
'gu'cun'sang'zhe'xi 孤村桑柘稀
'gu'deng'ke'si'chang 孤灯客思长
'gu'fan'ye'luo'shi'qiao'xi 孤帆夜落石桥西
'gu'fei'jia'hui'lie 故非嘉卉列
'gu'gu'ou'fei'zhao'bin'hua 故故鸥飞照鬓华
'gu'guo'piao'ling'shi'yi'fei 故国飘零事已非
'gu'guo'you'jing'hua'luo'hou 故国又经花落后
'gu'hong'ti'yue'you'wei'shuang 孤鸿啼月有微霜
'gu'jin'long'zhan'shi'zhong'zhou 古今龙战是中州
'gu'ju'mo'ya'liu'sui'yue 古句摩崖留岁月
'gu'ke'ji'hui'chou'li'ting 孤客几回愁里听
'gu'lin'fei'lai'shi 顾璘飞来石
'gu'ren'zun'jiu'gong'bei'ge 故人尊酒共悲歌
'gu'shi'yuan'cong'que'xia'zeng 故事元从阙下增
'gu'shu'ji'ren'xian 古戍几人闲
'gu'shu'lian'shan'huo 古戍连山火
'gu'shu'san'qiu'yan 古戍三秋雁
'gu'shu'you'hu'ming'ye'yue 古戍有狐鸣夜月
'gu'su'cheng'wai'yi'mao'wu 姑苏城外一茅屋
'gu'ta'song'tai'dui'ji'liao 古塔松台对寂寥
'gu'xiang'feng'wu'kong'hui'shou 故乡风物空回首
'gu'xiang'he'chu'bao'ping'an 故乡何处报平安
'gu'xiang'sui'hao'bu'si'gui 故乡虽好不思归
'gu'yuan'gui'lu'geng'mang'mang 故园归路更茫茫
'gu'yuan'ming'ri'you'chong'yang 故园明日又重阳
'gu'yuan'rong'ma'jin'ru'he 故园戎马近如何
'gu'yuan'xian'long'chi'er'nv 故园先陇痴儿女
'gu'zhou'ye'bo'dong'you'ke 孤舟夜泊东游客
'gu'zhou'yi'guo'wen'he'xi 孤舟已过汶河西
'gu'zhou'yue'geng'ming 孤舟月更明
'gua'zai'luo'fu'feng 挂在罗浮峰
'guan'gai'jing'hua'di 冠盖京华地
'guan'jia'si'jia'ge'you'wu 官家私家各有务
'guan'keng'xuan'shi'xi'shan'kong 官坑选石西山空
'guan'li'wei'yu'wu'liu'xing 官历惟馀五六行
'guan'men'zi'qi'lin'yan'man 关门紫气临燕满
'guan'qian'ceng'wei'lou'yu'man 官钱曾未漏鱼蛮
'guan'shan'tiao'di'xiang'lian'zhu 关山迢递相联属
'guan'shan'zheng'miao'mang 关山正渺茫
'guan'shu'zhong'zhe'wan'ling'xi 关树重遮万岭西
'guan'tou'wu'lu'bai'meng'meng 关头雾露白濛濛
'guan'xia'xie'yang'zhao'shu'hong 关下斜阳照树红
'guan'zhang'niao'du'chi 关长鸟度迟
'guang'han'gong'dian'shu'tian'jia 广寒宫殿属天家
'guang'jing'shan'shuo'shu'hu'yi 光景闪烁倏忽异
'guang'ling'cheng'li'xi'fan'hua 广陵城里昔繁华
'guang'yin'bei'wo'qu'tang'tang 光阴背我去堂堂
'guang'yu'xian'chi'zheng'jiao'ran 光浴咸池正皎然
'gui'huo'luan'huang'hun 鬼火乱黄昏
'gui'ji'qing'zhou'xia'yue'guan 桂楫轻舟下粤关
'gui'ji'shen'duo'bing 归计身多病
'gui'lai'chang'jia'shang'xu'dan 归来长铗尚须弹
'gui'lai'you'dai'bi'tao'xiang 归来犹带碧桃香
'gui'xiu'yi'zuo'ba'jiang'sou 归休已作巴江叟
'gui'ye'shu'fu'an'gao'chong 鬼也孰复安高崇
'gui'you'guang'jia'yin'shi'yue'ji'shi 归有光甲寅十月纪事
'gui'zi'mu'bei'di'xiao'zheng 归子慕北地晓征
'guo'deng'song'yue'ji'fang'hai'jing 郭登送岳季方还京
'guo'kai'mai'zhao'zhao'gao'chu 郭开卖赵赵高出
'guo'ke'shi'shi'er'shu'yuan 过客时时耳属垣
'guo'le'qiu'feng'hun'bu'jue 过了秋风浑不觉
'guo'po'jia'wang'yu'he'zhi 国破家亡欲何之
'guo'wai'qing'shan'cai'jian'shuang 郭外青山才荐爽
'hai'guo'mei'shi'bai 海国梅始白
'hai'nei'lun'shi'fu'liang'xiong 海内论诗伏两雄
'hai'pan'gu'chen'zhe'jiu'nian 海畔孤臣谪九年
'hai'qi'tong'san'dao 海气通三岛
'hai'shang'qing'shan'dui'ke'chou 海上青山对客愁
'hai'si'ye'yu'xi'chuang 还思夜雨西窗
'hai'wai'feng'guang'bie'yi'jia 海外风光别一家
'hai'yu'sheng'ping'ri 海宇升平日
'han'feng'chui'bai'ri 寒风吹白日
'han'jia'lang'zhu'xuan'fang'gong 汉家浪筑宣房宫
'han'jia'wu'shi'le'yan'ran 汉家无事勒燕然
'han'jiang'ming'yue'zhao'gui'ren 汉江明月照归人
'han'kong'dao'jin'lian'tian'bai 寒空倒浸连天白
'han'kong'yi'pian'yue 寒空一片月
'han'lai'shu'wang'wu'ren'hui 寒来暑往无人会
'han'qia'guan'shan'yue 韩洽关山月
'han'qia'tie'ma 韩洽铁马
'han'qia'wen'yan 韩洽闻雁
'han'qia'xue'xia'hong 韩洽雪下红
'han'quan'suo'bin'gong 寒泉锁殡宫
'han'se'shang'wu'tong 寒色上梧桐
'han'tang'qiu'ye'xi 寒塘秋叶稀
'han'wang'zhen'long'xiang'wang'hu 汉王真龙项王虎
'han'xia'yi'tian'kai 寒峡倚天开
'han'yang'cheng'shu'luan'wu'ti 汉阳城树乱乌啼
'han'yi'shu'ying'xiao'xiao'zhu 寒依疏影萧萧竹
'han'yong'xi'jiang'di'yi'lou 韩雍西江第一楼
'hao'dang'mu'lan'rao 浩荡木兰桡
'hao'hua'nan'zhong'bu'chang'kai 好花难种不长开
'hao'jing'bu'xu'duo 好景不须多
'hao'tan'zi'xing'mai 浩叹兹行迈
'he'bo'fu'shou'shou'yue'shu 河伯俯首受约束
'he'chu'fei'lai'man'zuo'sheng 何处飞来漫作声
'he'chu'hua'xiang'ru'ye'qing 何处花香入夜清
'he'chu'ke'an'qi 何处可安栖
'he'chu'lan'gong'geng 荷锄懒躬耕
'he'chu'shang'chuan'ge'shui'diao 何处商船歌水调
'he'chu'xing'ren'bu'duan'chang 何处行人不断肠
'he'gong'bu'juan'hu'chi'bei 何宫不镌护敕碑
'he'jing'ming'bie'xiang'jian'zhu'you 何景明别相饯诸友
'he'jing'ming'bing'ma 何景明病马
'he'jing'ming'da'wang'zhi'xuan'yi'shou 何景明答望之选一首
'he'jing'ming'huai'li'xian'ji'xuan'yi'shou 何景明怀李献吉选一首
'he'jing'ming'ji'huai'bian'zi 何景明寄怀边子
'he'jing'ming'luo'hua'tan 何景明落花叹
'he'jing'ming'mu'chun 何景明暮春
'he'jing'ming'shi'yu 何景明鲥鱼
'he'jing'ming'sui'yan'xing 何景明岁晏行
'he'jing'ming'wu'wei'jiang'shan'tu 何景明吴伟江山图
'he'jing'ming'xia'ke'xing 何景明侠客行
'he'jing'ming'yu'ye'si'qing'xi 何景明雨夜似清溪
'he'jing'ming'yue'yang 何景明岳阳
'he'jing'ming'zhu'zhi'ci 何景明竹枝词
'he'liu'qu'qu'zhuan 河流曲曲转
'he'nian'jiang'zhe'zai'shi'jian 何年降谪在世间
'he'qiao'chun'shui'sheng 河桥春水生
'he'qiao'feng'yu'ye'tui'peng 河桥风雨夜推篷
'he'ren'ba'jiu'lei'shi'hun 何人把酒酹诗魂
'he'ren'chuan'tou'ye'chui'di 何人船头夜吹笛
'he'ren'ye'chui'di 何人夜吹笛
'he'ri'jian'gui'lai 何日见归来
'he'ri'jin'ji'xia'ye'lang 何日金鸡下夜郎
'he'shang'chun'feng'chui'mu'sha 河上春风吹暮沙
'he'shang'qiu'feng'yan'ji'hang 河上秋风雁几行
'he'shi'le'chang'zheng 何事乐长征
'he'shi'zhong'yuan'che 河势中原坼
'he'si'zai'jia'zhang'kan'shan 何似在家长看山
'he'wo'ci'ge'chui'yue'ming 和我此歌吹月明
'he'yi'fu'yun'guo'tai'kong 何异浮云过太空
'he'you'gong'yao'xi 何由共瑶席
'he'zi'zheng'ke'li 何自征科吏
'hen'qie'ming'ru'ye 恨妾命如叶
'hen'sha'chang'jiang'bu'xiang'xi 恨杀长江不向西
'heng'men'qi'que'ding 衡门栖鹊定
'heng'xing'zhi'zai'shen'shan'li 横行只在深山里
'hong'si'guan'xiao'ying 红丝贯小缨
'hong'yan'bo'ming'kong'liu'shui 红颜薄命空流水
'hong'yan'zhao'qiu'shui 红颜照秋水
'hong'yang'ban'zi'ru'sheng'chu 弘羊半自儒生出
'hong'ye'bai'yun'qiu'man'lin 红叶白云秋满林
'hong'ye'wu'feng'luo'xiao'qiao 红叶无风落小桥
'hou'ba'shu'hang'lei 侯芭数行泪
'hou'liu'chao 后六朝
'hu'dui'chun'feng'nan'mo 忽对春风南陌
'hu'jia'qian'gu'hen 胡笳千古恨
'hu'jian'huang'hua'bei'chou'chang 忽见黄花倍惆怅
'hu'jian'qing'hui'ying'ye'lan 忽见清辉映夜阑
'hu'nong'yue'zhong'di 忽弄月中笛
'hu'ru'tou'mu'luo'yu'yuan 忽如投暮落虞渊
'hu'shang'kan'shan'cui'yu'liu 湖上看山翠欲流
'hu'ta'xiao'ting'guo'hu'qu 呼他小艇过湖去
'hu'tian'bai'yan'nan'fei'jin 胡天白雁南飞尽
'hu'yan'qing'pao'ti'zhan'xiu 忽掩青袍涕沾袖
'hu'yi'qi'zhe 忽忆弃者
'hu'yong'dai'zong'lai 忽拥岱宗来
'hua'ban'zhu'yan'zhe'qu'jin 画板朱檐遮取尽
'hua'cha'hui'shan'si'yu'shi'zi'yu'hua'bie 华察惠山寺与施子羽话别
'hua'fa'diao'ling'bu'dai'nian 华发凋零不待年
'hua'fei'yu'jing'qian 花飞玉镜前
'hua'kai'hua'luo'zong'ru'xian 花开花落总如闲
'hua'qian'ren'shi'qu'nian'shen 花前人是去年身
'hua'qian'zhuo'jiu'chang'gao'ge 花前酌酒唱高歌
'hua'qing'feng'yu'xiao'xiao'ye 华清风雨潇潇夜
'hua'shi'jun'chen'qi'guo'qiu 花石君臣弃国秋
'hua'wai'dong'feng'song'ma'ti 花外东风送马蹄
'hua'wai'xiao'zhou'chui'di'guo 花外小舟吹笛过
'hua'wai'zi'gui'yan'shi'yue 花外子规燕市月
'hua'xi'yao'yin'he 花溪遥隐壑
'hua'xiao'ren'sheng'ye'shi'dai 花笑人生也是呆
'hua'zhi'zao'yu'you'zao'feng 花枝遭雨又遭风
'hua'zuo'shan'tou'shi 化作山头石
'huai'gu'si'xiang'bai'gan'sheng 怀古思乡百感生
'huai'pai'huai'wang'shi 徊徘怀往事
'huai'shui'dong'liu'wan'gu'yuan 淮水东流万古冤
'huai'tu'qing'wu'ji 怀土情无己
'huan'sha'ren'zai'zhu'luo'jiang 浣纱人在苎萝江
'huang'chen'gu'du'mi'fei'wan 黄尘古渡迷飞挽
'huang'cheng'yi'qi'chu 荒城一骑出
'huang'cheng'zhu'ma'qian 荒城驻马前
'huang'chu'guang'lang'wan'jing'yan 黄触桄榔万井烟
'huang'chun'yao'tian'jia 黄淳耀田家
'huang'e'ji'wai 黄峨寄外
'huang'fu'pang'bai'yun'shan 皇甫汸白云山
'huang'fu'xia 黄符下
'huang'fu'xiao'zhe'yang'liu 皇甫涍折杨柳
'huang'he'an'shang'wan'bo'ping 黄河岸上晚波平
'huang'he'lou'qian'ri'yu'di 黄鹤楼前日欲低
'huang'he'shui'rao'han'gong'qiang 黄河水绕汉宫墙
'huang'jin'san'jin'zhen'kan'xi 黄金散尽真堪惜
'huang'jin'tai'shang'cao'li'li 黄金台上草离离
'huang'ju'jiu'xiang'ren'bing'hou 黄菊酒香人病后
'huang'kan'yu'hou'he'liu'ji 黄看雨后河流急
'huang'li'ku'yu'liu'chun'zhu 黄鹂苦欲留春住
'huang'lou'gao'qi'cheng'zhi'dong 黄楼高起城之东
'huang'mei'xi'yu'an'jiang'guan 黄梅细雨暗江关
'huang'qi'ru'luo'jing'he'xiang 黄旗入洛竟何祥
'huang'tou'lang'si'niao 黄头郎似鸟
'huang'xin'ken'zhao'wei 皇心肯照微
'huang'yan'ping'chu'cang'mang'chu 荒烟平楚苍茫处
'huang'ye'dan'feng'ke'li'guo 黄叶丹枫客里过
'huang'yu'gao'bu'ji 黄榆高不极
'hui'chuan'zheng'zhi'zhong'jiu'jie 回船正值重九节
'hui'han'ru'yu'jin'cheng'feng 挥汗如雨斤成风
'hui'rao'gui'zhao'ling'hui'lan 蕙桡桂棹凌回澜
'hui'shi'wo'wa'sheng 会是渥洼生
'hui'shou'ruo'xiang'dai 挥手若相待
'hui'yi'xin'zi'qing 会意心自清
'hun'you'jing'tie'qi 魂犹惊铁骑
'huo'luan'chu'ping'shi'xiu'xi 祸乱初平事休息
'huo'you'song'nan'chong'dao'tong 或有送男充道童
'ji'chu'ye'yuan'ming 几处夜猿鸣
'ji'du'zhan'xue'liu'han'chao 几度战血流寒潮
'ji'he'fan'fei'bu'wei'ren 饥鹤翻飞不畏人
'ji'huai'qiang'xiao'huan 羁怀强笑欢
'ji'jia'cha'ji'gao'zuo'men 几家插棘高作门
'ji'jia'you'zai'zhu'huang'cheng 几家犹在住荒城
'ji'jin'rao'qun'dao 饥馑饶群盗
'ji'kan'gu'ying'di'huai'chu 几看孤影低徊处
'ji'li'qiu'jiang'yu'huo'xi 寂历秋江渔火稀
'ji'li'wen'you'qiong 寂历闻幽蛩
'ji'ling'fang'shuo'jiao'qi'san 即令方朔浇岂散
'ji'men'ci'ri'zhan'yi'xiang 蓟门此日瞻遗像
'ji'men'dan'zhao'zhong'pai'huai 蓟门丹旐重徘徊
'ji'ming'fei'shang'wu 鸡鸣飞上屋
'ji'mo'yun'lin'tang'xia'lu 寂寞云林堂下路
'ji'mu'jiang'nan'zong'shi'qiu 极目江南总是秋
'ji'nian'huai'xiu'rui'guang'meng 几年淮秀瑞光萌
'ji'nian'meng'rao'jin'shan'si 几年梦绕金山寺
'ji'ri'yan'liu'na'bu'ji 几日淹留那不极
'ji'shi'que'yu'chan'yuan'tong 积石却与澶渊通
'ji'wu'dai'yan'fei 积雾带岩扉
'ji'xia'dong'qi'hai'men'lou 霁霞东起海门楼
'ji'xiang'zhong'xiao'fa 急响中宵发
'ji'xin'yi'gong'sha'ou'jing 机心已共沙鸥静
'ji'yu'jing'shi'huang'zhu'duan 积雨经时荒渚断
'ji'yu'ying'sheng'xiu'bian'lao 寄语莺声休便老
'jia'an'ren'jia'han'wei'qi 夹岸人家寒未起
'jia'an'ren'jia'ying'liu'tiao 夹岸人家映柳条
'jia'bing'tian'xia'zui 甲兵天下最
'jia'jing'mei'yu'jiang'shan'zheng 佳景每与江山争
'jia'ling'hui'shou'zhuan'you'you 嘉陵回首转悠悠
'jia'qi'cong'cong'zhi'jin'wang 佳气葱葱至今王
'jia'ren'fan'kun'ji'xun'xuan 价人藩阃寄旬宣
'jia'ren'ji'cheng'yuan 家人计程远
'jia'shi'bu'ji'ying 家事不及营
'jia'shu'shi'wu'xing 家书十五行
'jia'yao'zhi'jiu'bu'neng'can 佳肴旨酒不能餐
'jia'zhou'ting'guan'qi'chang'sha 夹洲亭馆跂长沙
'jian'ci'luo'hua'san'tan'xi 见此落花三叹息
'jian'jue'tian'ji'xiao 渐觉天鸡晓
'jian'qie'wan'ren'lian 贱妾万人怜
'jian'ruo'wan'ma'tun 坚若万马屯
'jian'shu'shui'kai'qin'miao'yan 荐熟谁开寝庙筵
'jian'shui'liu'ren'ying 涧水流人影
'jian'shui'wan'wan'rao'jun'cheng 涧水弯弯绕郡城
'jian'shuo'chou'ding'duo'bu'ju 见说抽丁多不惧
'jian'shuo'ping'an'shou'ti'lei 见说平安收涕泪
'jian'sui'xun'yang'guan 饯岁浔阳馆
'jian'yin'you'fang'gu 涧饮犹防蛊
'jian'yu'yu'jie'ping 渐与玉阶平
'jian'yue'si'xiang'sao'bai'shou 见月思乡搔白首
'jian'zhe'guo'zuo'chang 见者国祚昌
'jiang'bei'jiang'nan'wu'xian'qing 江北江南无限情
'jiang'bian'mao'wu'feng'yu'qing 江边茅屋风雨晴
'jiang'bian'wan'ge'yi'shi'fa 江边万舸一时发
'jiang'bian'xiao'ting'pin'yi'dao 江边小艇频移道
'jiang'cheng'qiu'se'jing'kan'lian 江城秋色净堪怜
'jiang'cheng'ri'ri'zuo'xiang'si 江城日日坐相思
'jiang'ci'bai'di'cheng 江辞白帝城
'jiang'dong'di'sui'xiao 江东地虽小
'jiang'guang'he'hai'qi 江光合海气
'jiang'han'san'yue'yu 江寒三月雨
'jiang'hu'geng'yao'luo 江湖更摇落
'jiang'hua'bian'yue'xiao'ping'sheng 江花边月笑平生
'jiang'jiong'fu'rong'du'cai'yun 江迥芙蓉度彩云
'jiang'jun'tao'jian'she'tian'lang 将军弢箭射天狼
'jiang'jun'yi'jian'gu'shi'duo 将军一见孤矢堕
'jiang'jun'ying'wai'yue'lun'gao 将军营外月轮高
'jiang'kong'xue'fu'sha 江空雪覆沙
'jiang'kong'yue'han'lu'hua'bai 江空月寒露华白
'jiang'liu'qian'qing'cu'yun'yan 江流千顷蹙云烟
'jiang'nan'er'yue'shi'luo'yi 江南二月试罗衣
'jiang'nan'sui'hao'shi'ta'xiang 江南虽好是他乡
'jiang'nan'wan'li'bu'gui'jia 江南万里不归家
'jiang'nan'yan'yu'hua'ping'zhong 江南烟雨画屏中
'jiang'que'zhu'deng'wan'shu'luo 绛阙珠灯万树罗
'jiang'shan'xiang'xiong'bu'xiang'rang 江山相雄不相让
'jiang'shang'wu'mao'shui'she'shui 江上乌帽谁涉水
'jiang'sheng'che'ye'jiao'li'chou 江声彻夜搅离愁
'jiang'sheng'yue'se'na'kan'shuo 江声月色那堪说
'jiang'shui'dong'liu'wan'li'chang 江水东流万里长
'jiang'shui'san'qian'li 江水三千里
'jiang'shui'you'you'xing'lu'chang 江水悠悠行路长
'jiang'wei'deng'huo'sa'han'biao 绛帷灯火飒寒飚
'jiang'xing'yuan'bo'kuai'kan'shan 江行怨泊快看山
'jiang'xuan'mu'tong 姜玄牧童
'jiang'yue'hu'yan'wan'bie'chou 江月湖烟绾别愁
'jiang'zhu'feng'gao'jiu'zha'xing 江渚风高酒乍醒
'jiao'ke'xiu'ting'ying'wu'bei 教客休停鹦鹉杯
'jiao'shou'guan'fei'yun 矫首观飞云
'jiao'tu'bian'jiang'cun 焦土遍江村
'jiao'tuo'gan'yu'tian'zi'jing 矫托敢与天子竞
'jie'an'ming'ri'wen'gui'rao 解鞍明日问归桡
'jie'jun'qi'ru'hong 嗟君气如虹
'jie'ming'yan'jiu'shang'liu'deng 节名燕九尚留灯
'jie'qu'ji'gu'qu'nuo'chu 街衢击鼓驱傩出
'jie'shi'dong'fu'san'jiang'se 碣石东浮三绛色
'jie'wen'chun'guang'shui'guan'ling 借问春光谁管领
'jie'xia'bai'yun'xu'yong'sao 阶下白云须用扫
'jie'xu'jin'xi'qi'yi'qing 嗟吁今昔岂异情
'jin'bi'huang'yang'yin'he'tong 金碧滉漾银河通
'jin'ci'yi'bai'lu 今此已白露
'jin'dao'ji'chen'xin'zhuan'xi 近道计臣心转细
'jin'dong'you'ren'zi'jing'zhi 今冬有人自京至
'jin'fan'gui'qu'yi'wu'jia 锦帆归去已无家
'jin'gu'lian'tian'shuo'yan'hui 金鼓连天朔雁回
'jin'guan'cheng'xia'shi'ri'liu 锦官城下十日留
'jin'jian'jin'luo'fen'fen'qu 锦鞯金络纷纷去
'jin'jiao'pao'zhi'dong'feng'li 尽教抛掷东风里
'jin'jing'hua'yue'sheng 金茎华月生
'jin'ju'dou'ji'han'shi'hou 金距斗鸡寒食后
'jin'juan'bo'tao'shang'xiao'gang 尽卷波涛上小岗
'jin'luan'bo'huai'shang 金銮泊淮上
'jin'nian'you'shi'yi'qing'ming 今年又是一清明
'jin'niu'hu'jian'hu'zhong'ying 金牛忽见湖中影
'jin'ren'you'ge'li'bai'shi 今人犹歌李白诗
'jin'ri'guan'tou'cheng'du'xiao 今日关头成独笑
'jin'ri'hua'kai'you'yi'zhi 今日花开又一枝
'jin'ri'ming'nian'shui'de'zhi 今日明年谁得知
'jin'ri'you'nan'guan 今日又南冠
'jin'sui'ren'jia'fan'bu'zu 今岁人家饭不足
'jin'ting'yang'liu'bi'san'san 津亭杨柳碧毵毵
'jin'wen'hu'tu'yi'zheng'ji 近闻狐兔亦征及
'jin'xi'wei'he'xi 今夕为何夕
'jin'xi'yuan'xiao'xue'geng'qing 近喜元宵雪更晴
'jin'xiao'han'jiao'zuo'xiao'duo 今宵寒较昨宵多
'jin'yao'shou'hua'lu'yi'tuo 紧摇手滑橹易脱
'jin'ye'shi'tou'cheng'xia'yue 今夜石头城下月
'jin'ye'yang'zhou'yue 今夜扬州月
'jin'yi'yu'shi'yi'dao'qie 锦衣玉食已叨窃
'jin'yin'wei'tang'yu'bu'di 金银为堂玉布地
'jin'you'dao'huan'xiang'lu'tong 近有盗换香炉铜
'jin'zeng'du'ji'he'rong'ri 金缯杜稷和戎日
'jin'zhao'hua'luo'cheng'qiu'cao 今朝花落成秋草
'jin'zhao'ye'shi'wei'guan'ri 今朝也是为官日
'jin'zhen'diao'po'chuang'er'zhi 金针雕破窗儿纸
'jin'zhi'jie'cha'yu'yan'hua 金支皆插御筵花
'jin'zi'he'you'ji'yong'chang 锦字何由寄永昌
'jing'guo'bing'xian'hou 经过兵燹后
'jing'hai'yao'tong'yi'shui'chang 鲸海遥通一水长
'jing'nian'bu'gui'qu 经年不归去
'jing'qi'chun'yan'bai'long'dui 旌旗春偃白龙堆
'jing'qi'dang'ye'sai'yun'kai 旌旗荡野塞云开
'jing'she'cang'shan'ce 精舍仓山侧
'jing'sheng'xin'shen'shi 境胜忻神适
'jing'shi'hao'gui'jing'ying'zhi 京师豪贵竞迎致
'jing'zhe'quan'yi'jin 径折全疑尽
'jiu'chuan'jin'yao'qi'zhong'men 旧传金钥启重门
'jiu'han'luo'bi'shen'gu'lu 酒酣落笔神骨露
'jiu'han'zou'shang'cheng'nan'tai 酒酣走上城南台
'jiu'jiu'ji'ji'bu'de'bu 啾啾唧唧不得哺
'jiu'lan'fen'shou'zeng'shu'sheng 酒阑分手赠书生
'jiu'pai'chang'jiang'jiu'die'shan 九派长江九叠山
'jiu'shi'chun'guang'yi'zhi'suo 九十春光一掷梭
'jiu'shi'wang'xie'jian'ying'xi 旧时王谢见应稀
'jiu'sui'yi'yan'xin'sui'bi 旧岁已晏新岁逼
'jiu'you'qing'xing'ji'shi'tong 旧游清兴几时同
'jiu'zhou'you'hu'bao 九州犹虎豹
'ju'bei'lei'shui'lin'chang'feng 举杯酹水临长风
'ju'qu'hao'dang'bo'wu'ji 具区浩荡波无极
'ju'tou'bu'jian'chang'an'ri 举头不见长安日
'ju'tou'guan'tian'kong'tian'lou 举头观天恐天漏
'ju'wei'de'da'geng 咀味得大羹
'ju'wei'xuan'mian'wu 俱为轩冕误
'juan'fu'qiong'zhang'qie'xian'xing 倦扶筇杖且闲行
'jue'sai'shu'nan'de 绝塞书难得
'jun'bu'jian'shu'shang'hua 君不见树上花
