'he'fa'shi'ren 何法示人
'he'shang'yu'chan'shi 和尚与禅师
'he'shang'yu'da'shi 和尚与大师
'he'wu'yong'yuan'bu'bian 何物永远不变
'he'ze'shen'hui 荷泽神会
'hu'tou'zhang'jiao 虎头长角
'hu'zei'du'zei 护贼度贼
'hua'bing'chong'ji 画饼充饥
'hua'meng'ren'sheng 话梦人生
'hua'ren'shuo'fa 化人说法
'hua'yuan 化缘
'hua'yuan'du'zhong 化缘度众
'huo'cong'kou'chu 祸从口出
'huo'de'kuai'le 活得快乐
'huo'shui'long 活水龙
'ji'cheng'mi'fu 继承密付
'ji'lai'chi'fan'kun'lai'ji'mian 饥来吃饭困来即眠
'ji'xing 畸形
'jian'dan'shi'chong'fu'zuo 简单事重复做
'jian'feng'xiang'zhu 箭锋相拄
'jian'li'zi 捡栗子
'jian'nan'yi'wang 艰难一忘
'jian'yu'bu'jian 见与不见
'jiang'jun'de'chan'hui 将军的忏悔
'jiang'shou'fang'kai 将手放开
'jiang'xi'jing'an'gu'cha'chuan'qi 江西靖安古刹传奇
'jie'pi 洁癖
'jie'zhu'yu'ni 借住与你
'jie'zi'na'xu'mi 芥子纳须弥
'jin'bo'bu'shi 金箔布施
'jin'ru'shen'shan 进入深山
'jin'tian'bu'fang'bian 今天不方便
'jin'tian'mei'ren'lai 今天没人来
'jing'hui'yi'ru 净秽一如
'jing'zhong'ru'fo 敬钟如佛
'jiu'shi'zhe'yang'ma 就是这样吗
'jue'wu'de'nuo'yan 觉悟的诺言
'kai'he'chan'ji 开阖禅机
'kan'tou'luo'di 砍头落地
'ken'ding'zi'ji 肯定自己
'kong'bei'xin'tai 空杯心态
'kong'se'ben'lai'tong 空色本来同
'ku'mu'chan 枯木禅
'ku'xiao'wu'chang 哭笑无常
'ku'xin'du'zhong 苦心度众
'ku'yin'yu'ku'guo 苦因与苦果
'kuai'huo'lie'han 快活烈汉
'kuai'le'yu'tong'ku 快乐与痛苦
'kuai'le'zhi'dao 快乐之道
'kui'dui'qin'shou 愧对禽兽
'lao'fu'ren'xi'jiao 老妇人洗脚
'lao'po'xin'qie 老婆心切
'lao'zuo'xiao 老做小
'leng'nuan'zi'zhi 冷暖自知
'li'di'cheng'fo 立地成佛
'liang'ge'zheng'qiang'hao'dou'zhe 两个争强好斗者
'liang'zong'chan'zong'gong'an 两宗禅宗公案
'liang'zuo'miao'shan'yong'bie'ren'de'zhi'hui 两座庙善用别人的智慧
'liao'wu'gong'de 了无功德
'lin'ji'chan'shi'fa'yu 临济禅师法语
'ling'li'dao'ren 灵利道人
'lu'yu'jian'cha 陆羽煎茶
'ma'san'jin 麻三斤
'ma'zu'chan'shi'fa'yu 马祖禅师法语
'ma'zu'dao'yi 马祖道一
'mai'lai'de'zhi'hui 买来的智慧
'mai'you'weng 卖油翁
'man'le'ma 满了吗
'mang'ren'dian'deng 盲人点灯
'mei'shi'jian'lao 没时间老
'mei'tian'chi'shen'me 每天吃什么
'mian'shang'wu'hui 面上污秽
'mo'zhuan'cheng'jing 磨砖成镜
'mo'zhuan'zuo'jing 磨砖做镜
'na'jiu'shi'chan 那就是禅
'na'li'mei'you'fo 哪里没有佛
'nan'quan'jiu'e 南泉救鹅
'nan'yang'hui'zhong 南阳慧忠
'neng'da'neng'xiao 能大能小
'ni'dian'de'shi'na'ge'xin 你点的是哪个心
'ni'gu'yuan'shi'nv'ren'zuo 尼姑原是女人做
'ni'huan'bao'zhe'ma 你还抱着吗
'ni'jiu'shi'fo 你就是佛
'ni'ning'lu'shang 泥泞路上
'ni'wu'fu'xing 你无怫性
'nian'hua'wei'xiao 拈花微笑
'nian'jing'yu'cheng'fo 念经与成佛
'nv'zi'chu'ding 女子出定
'pa'shan 爬山
'pin'nv'shi'deng 贫女施灯
