'bai'zei 白贼
'ban'tou'qing 半头青
'bi'hen 必痕
'bi'kai 必开
'bi'liu'bi'di 鼻流鼻滴
'cha'mou 查某
'chen'qian 趁钱
'chou'tou'ji'zai 臭头鸡仔
'chu'men'ren 出门人
'chu'shan 出山
'ci'tou'lu 辞头路
'da'bian'gu 打边鼓
'da'bu 打捕
'da'mian'shen 大面神
'da'xi'mu 大细目
'da'xi'xin 大细心
'dai'gou 歹狗
'dai'pu 歹谱
'dai'zhi 代志
'dai'zui 歹嘴
'dai'zui'dou 歹嘴斗
'dan'bo'jiu 淡薄久
'dao'shou'ping 倒手平
'diao'zhi 刁直
'dou'nao're 斗闹热
'dou'zhen'zou 斗阵走
'fan'fan'guo 泛泛过
'fang'shui'deng 放水灯
'gou'yao'mao'shu 狗咬猫鼠
'gu'zao'ce 古早册
'gu'zao'ren 古早人
'gu'zao'shi 古早时
'gu'zao'wu 古早物
'gu'zhui 古锥
'hao'kang 好康
'hao'xing'di 好性地
'hei'bai'jiang 黑白讲
'hou'jiu 厚酒
'hou'tou'shu'mu 猴头鼠目
'hu'shen 胡神
'hua'xian 话仙
'huo'tiao'tiao 活跳跳
'ji'niu'rou'zhang 记牛肉账
'jia'fan 甲饭
'jian'gong'mu 见公母
'jiao'guan'qiong'jiao'gui'si 交官穷交鬼死
'jiao'xiu'cai'tiao'dan 叫秀才挑担
'jing'gui'kan'mu'lian 惊鬼看目连
'jing'sheng'fen 惊生粉
'kan'da'zhu 坎大猪
'kan'ren'wu 看人无
'kao'bei 靠杯
'lan'zui'she 拦嘴舌
'lao'man 佬鳗
'lei'gong'xing 雷公性
'mao'shu'tuo'cheng'chui 猫鼠拖称锤
'meng'zai 蠓仔
'mie'dai'zhi 乜代志
'mu'shi 目屎
'nei'shen'tong'wai'gui 内神通外鬼
'ou'ming'sheng 沤名声
'peng'feng 彭风
'pie'bu 撇步
'qi'tao 七桃
'qian'hou 牵猴
'qian'wu'er'ge'bu'xiang 钱无二个不响
'qing'ming'kan'gao'shi 青瞑看告示
'qing'ming'niu 青冥牛
'san'qi'jiang'si'liu'ting 三七讲四六听
'san'zhi'shou 三只手
'shan'hou 山猴
'shi'fan 食饭
'shi'mi 食糜
'shi'ti'mian 失体面
'shi'ti'tong 失体统
'shu'ren'wu'shu'zhen 输人勿输阵
'shuang'tou'mu 双头母
'shui'gui'sheng'cheng'huang 水鬼升城隍
'tan'zi'pin'zi'ke 贪字贫字壳
'tong'kuan'dai 同款代
'tou'pie'bu 偷撇步
'wa'a'cai 瓦阿裁
'wu'ban'pie 无半撇
'wu'jiao'xi'zhu'du 乌脚细蛛肚
'wu'mi'jian'run'yue 无米兼闰月
'wu'mou'wu'hou 无某无猴
'wu'tou'shen 无头神
'xia'mi 虾米
'xian'gong'bu 仙公步
'xian'si'si 限死死
'xing'duan'lu 行短路
'xiong'jie'jie 凶戒戒
'yao'gui 夭鬼
'yao'shou 夭寿
'yao'shou'gui 夭寿鬼
'yin'mao 印卯
'you'dan'bo 有淡薄
'you'liang'bu 有两步
'zao'san'dai 噪三代
'zheng'shou'ping 正手平
'zuo'shou'da'you'shou 左手打右手
