'cai'bin 蔡斌
'chen'a'sheng 陈阿生
'chen'hai'rong 陈海荣
'chen'jian'cheng 陈建成
'chen'jian'jun 陈建军
'chen'jian'wen 陈建文
'chen'kai'jian 陈开建
'chen'shao'hui 陈少晖
'chen'wen'sheng 陈温生
'dai'a'chuan 戴阿川
'dai'a'li 戴阿利
'dai'a'long 戴阿龙
'dai'bin 戴斌
'dai'fu'quan 戴福全
'dai'ji'cheng 戴基成
'dai'jin'hai 戴金海
'dai'kun'bo 戴坤波
'dai'kun'hua 戴昆华
'dai'kun'hui 戴昆辉
'dai'qing'song 戴清松
'dai'shui'bao 戴水宝
'dai'xiao'ping 戴小平
'dai'zhang'cheng 戴长成
'dai'zheng'jian 戴正建
'dai'zi'zhong 戴子忠
'dong'li'bin 董丽滨
'guo'rui'quan 郭瑞全
'hong'a'jiang 洪阿江
'hong'a'qing 洪阿青
'hong'lian'ji 洪连基
'huang'bing'neng 黄炳能
'huang'jin'long 黄金龙
'huang'mu'qiu 黄木秋
'huang'song'min 黄松民
'huang'wen'jiang 黄文江
'huang'ying'xiong 黄英雄
'li'xian'ming 李现明
'liao'cheng'fu 廖成福
'lin'jin'lian 林金链
'lin'li'wen 林丽文
'lin'lian'fu 林连福
'liu'jiang'nan 刘江南
'liu'jiang'xi 刘江西
'liu'shao'jie 刘少杰
'su'yuan'chuan 苏元川
'tang'jin'tai 唐金泰
'wang'a'cheng 王阿成
'wang'feng'zhong 王凤忠
'wang'jian'tai 王建太
'wang'jin'ming 王锦明
'wang'long'quan 王龙全
'wang'ming'chao 王明朝
'wang'ming'yong 王明勇
'wang'qing'gen 王清根
'wang'quan'cai 王泉财
'wang'wei'bin 王伟彬
'wang'xiao'ming 王小明
'wang'yu'fei 王玉飞
'wu'guan'wen 吴冠文
'xu'a'jian 徐阿尖
'xue'lai'fa 薛来发
'xue'shui'sheng 薛水盛
'yang'guan'hui 杨冠辉
'yang'jin'fu 杨金福
'yang'long'shun 杨龙顺
'yang'qi 杨麒
'yang'wan'qing 杨万清
'yang'wen'fu 杨文福
'zhang'bing'hui 张炳辉
'zhang'jiang'ming 张江明
'zhang'jin'qing 张金清
'zhang'nan'qing 张南清
'zhang'wen'xing 张文兴
'zhang'yin'long 张银龙
'zheng'jin'de 郑金德
'zheng'jin'quan 郑金全
'zheng'qing'shou 郑庆寿
'zhuang'a'qiang 庄阿强
