'bai'shi 百式
'bao'feng'gan'da 暴风敢达
'bao'fu'da'bao'fu 包袱打包袱
'bao'fu'da'jian'dao 包袱打剪刀
'bao'fu'da'quan'tou 包袱打拳头
'bao'fu'ji 包袱机
'bi'ke'zha'mu 比克扎姆
'bie'chong 别冲
'bu'da'bu 布打布
'bu'da'jian'dao 布打剪刀
'bu'da'quan'tou 布打拳头
'bu'ji 布机
'chi'se'hui'xing 赤色彗星
'chu'ji'fu'wu'qi 初级服务器
'chu'shi'xin'shou 出世新手
'da'hou'bei 打后背
'da'jia'shen 打假身
'da'mo 大魔
'da'zha 大扎
'da'zha'mu 大扎姆
'di'jie 迪杰
'dui'zhan'pin'dao 对战频道
'feng'che'gan'da 风车敢达
'fu'guan 副官
'gan'da 敢达
'gan'da'da'shi 敢达大师
'gang'jia'nong 钢加农
'gao'ji'fu'wu'qi 高级服务器
'gao'zha'gu 高扎古
'gao'zhan'xie 高战蟹
'gong'hui'da'ting 公会大厅
'gong'hui'zhan'fu'wu'qi 公会战服务器
'gou'wu'zhong'xin 购物中心
'hei'se 黑色
'hong'yi'duan 红异端
'huang'pai'ji'shi 黄牌机师
'huang'yi'duan 黄异端
'hui'se 灰色
'ji'mu 吉姆
'ji'mu'ju'ji'te'zhuang'xing 吉姆狙击特装型
'jia'shen 假身
'jian'dao'da'bu 剪刀打布
'jian'dao'da'jian'dao 剪刀打剪刀
'jian'dao'da'quan'tou 剪刀打拳头
'jian'dao'ji 剪刀机
'jin'en 金恩
'jin'en'gao'ji'dong'xing 金恩高机动型
'jin'shu'pao'guang'ji 金属抛光剂
'jin'yi'duan 金异端
'jin'yi'duan'gai 金异端改
'jing'bao'fan 京宝樊
'jiu'you'wang 久游网
'jue'dou'gan'da 决斗敢达
'kai'jing 开镜
'kong'zhan'qiang'xi'gan'da 空战强袭敢达
'lan'yi'duan 蓝异端
'lan'yi'duan'gai 蓝异端改
'lan'zi'se 蓝紫色
'lao'hu 老虎
'lao'hu'te'zhuang'xing 老虎特装型
'lu'zhan'xing'gan'da'she'ji'tu 陆战型敢达设计图
'mo'xie 魔蟹
'niu'dan'shang'cheng 扭蛋商城
'pen'she'xing'fei'dan'zhuang 喷射型飞弹装
'qiang'xi'duan'jian 强袭短剑
'qiang'xi'gao'da 强袭高达
'qie'huan'pin'dao 切换频道
'quan'tou'da'bu 拳头打布
'quan'tou'da'jian'dao 拳头打剪刀
'quan'tou'da'quan'tou 拳头打拳头
'quan'tou'ji 拳头机
'quan'zhuang'jia'gan'da 全装甲敢达
'ren'wu'pin'dao 任务频道
'shan'guang 闪光
'shan'guang'gan'da 闪光敢达
'she'ji'tu 设计图
'sheng'dun'gan'da 圣盾敢达
'shuai'dao 甩刀
'si'wang'jing'sai 死亡竞赛
'ti'tan'si'wen'zhang 提坦斯纹章
'tu'huang 土黄
'tu'zhuang 涂装
'tui'jin'li'xia'jiang 推进力下降
'wo'de'fang'jian 我的房间
'xi'gu 西古
'xin'ren'lei'jue'xing 新人类觉醒
'xun'lian'fu'wu'qi 训练服务器
'yi'duan 异端
'yi'duan'gan'da 异端敢达
'yi'duan'gan'da'hong'se'ji 异端敢达红色机
'yi'duan'gan'da'lan'se'ji 异端敢达蓝色机
'yi'duan'hong 异端红
'yi'duan'lan 异端蓝
'yi'duan'lan'gai 异端蓝改
'yong'shi 勇士
'you'gu'shi'yang 幽谷式样
'you'xi'da'ting 游戏大厅
'zang'qing 藏青
'zha'di'ban 炸地板
'zhan'dou'zhuan'jia 战斗专家
'zhu'huang'se 朱黄色
'zi'shen'lao'bing 资深老兵
'zuo'ying'you'shu 左赢右输
