'an'bai 安柏
'an'song 安松
'bai'yu 白宇
'bao'lao'san 包老三
'bian'yi'zhe 变异者
'bo'bi 波比
'chang'rui 常芮
'chang'sheng'gui 长生晷
'chang'zhe'kuan 常喆宽
'chen'dai'hei 陈黛黑
'chen'qian'duo 陈芊朵
'chen'wei'dong 陈伟栋
'chen'xue'ran 陈雪燃
'chen'yun'hao 陈韵好
'cheng'wei 程魏
'cheng'xin'yan 成心妍
'chu'shu'zhi 楚恕之
'chu'xin 初心
'cong'bo 丛波
'da'ji 大吉
'da'qing 大庆
'dan'dan 丹丹
'di'jie 地界
'di'jie'kan'shou'zhe 地界看守者
'di'jie'ren 地界人
'di'jun'dian'ding'dun 地君殿丁顿
'di'xing'ren 地星人
'di'yi'jie'mi'zhe 第一揭秘者
'dian'li'zhi 电力值
'ding'dun 丁顿
'dong'fan 董钒
'dong'nan 东南
'dou'quan'zhong 窦全忠
'dui'kang'xie'e 对抗邪恶
'feng'qu'bing 冯去病
'fu'you 浮游
'gao'gui'gen 高贵根
'gao'jing'feng 高劲风
'gao'tian'yu 高天宇
'gao'yu'er 高雨儿
'gao'zhan'peng 高占鹏
'gu'ban 古班
'guai'ka'ju'ji'di 怪咖聚集地
'guo'chang'cheng 郭长城
'guo'ying 郭英
'hai'xing'ren 海星人
'han'ga'zu 瀚噶族
'hao'shuang 郝爽
'hei'an'ji'yin 黑暗基因
'hei'mao'da'qing 黑猫大庆
'hei'neng'liang 黑能量
'hei'pao'shi 黑袍使
'hu'bo 胡博
'hua'yu'zhu 华玉柱
'huang'shuo 黄烁
'huang'ya'jie 黄雅洁
'huang'zhao'yang 黄朝阳
'ji'shu'da'shen 技术大神
'ji'xian'sheng 季先生
'ji'xiang 吉祥
'ji'xiao'bai 季小白
'ji'zhi'wei 吉志威
'jia'dong'dong 贾东东
'jia'hui 家辉
'jiang'ming'yang 江明洋
'jin'hao 金浩
'jin'long 金龙
'ju'xiao'yun 鞠小云
'kong'jing 孔鲸
'kong'ju'zhi 恐惧值
'kui'lei'shi 傀儡师
'lai'su 来苏
'lao'li 老李
'li'hui'xia 李慧侠
'li'jia'qi 李佳琪
'li'jia'wei 李佳伟
'li'qi 李琦
'li'qian 李茜
'li'qian'nai'nai 李茜奶奶
'li'si'qi 李思琪
'li'xin'peng 李信鹏
'li'yan 李严
'li'yan 李砚
'lin'chen 林忱
'lin'jing 林静
'lin'yu'sen 林玉森
'liu'guo'ji 刘国际
'liu'jia'chen 刘家辰
'liu'lang 刘浪
'liu'min'ting 刘泯廷
'liu'ya'dong 刘亚东
'liu'ya'peng 刘亚鹏
'long'cheng 龙城
'long'cheng'da'xue 龙城大学
'long'cheng'di'yi'da'liang'zai 龙城第一大靓仔
'long'cheng'di'yi'xiao'ke'ai 龙城第一小可爱
'luo'de'he 骆德何
'luo'lei 骆磊
'lv'zhi 吕织
'ma'gui 麻龟
'ma'jia'diao'xian 马甲掉线
'ma'liang 马靓
