'a'nai'ji'jia 阿耐鸡架
'bai'hua 白粿
'bei'shi'chang'niu'rou'wan 北市场牛肉丸
'bian'rou 扁肉
'bing'lang'yu 槟榔芋
'cai'jiao 菜饺
'chao'mi'fen 炒米粉
'chen'shang'yi'niu'rou'fen 陈上屹牛肉粉
'chu'ji'ji'chi 褚记鸡翅
'di'gua'wan 地瓜丸
'fan'tuan 饭团
'fu'ding'rou'pian 福鼎肉片
'fu'ding'xiao'long'bao 福鼎小笼包
'gua'shuang'yu 挂霜芋
'guo'bian'hu 锅边糊
'hong'gui 红龟
'hua'yin 粿印
'huang'ji'hun'tun'wang 黄记馄饨王
'hun'tun 馄饨
'ji'jia 鸡架
'jian'bao 煎包
'jie'cai'fan 芥菜饭
'liu'liu 溜溜
'ma'ti'su 马蹄酥
'mi'zhi'ji'chi 蜜汁鸡翅
'mian'cha'gao 面茶糕
'niu'rou'fen 牛肉粉
'niu'rou'wan 牛肉丸
'qi'gao 汽糕
'rou'pian 肉片
'rou'yan 肉燕
'san'jiao'jiao 三角饺
'shu'qu'hua 鼠曲粿
'shui'zhu'rou'pian 水煮肉片
'tai'wan'fan'tuan 台湾饭团
'xiao'long'bao 小笼包
'you'zha'rou'pian 油炸肉片
'yu'pian 鱼片
'zha'rou'pian 炸肉片
