'a'he'ye 阿贺野
'ai'sai'ke'si 埃塞克斯
'an'shan 鞍山
'ao'ma'ha 奥马哈
'ba'er'de'mo 巴尔的摩
'ba'fa'li'ya 巴伐利亚
'bei'ka'luo'lai'na 北卡罗来纳
'bei'zhai 北宅
'ben'sen 本森
'ben'zi 本子
'bi'si'mai 俾斯麦
'bo'ge 博格
'bu'lu'ke'lin 布鲁克林
'bu'lu'mo 布鲁默
'chang'men 长门
'chao'da'he 超大和
'chi'huo 吃货
'chu'chun 初春
'chuan'nei 川内
'chui'xue 吹雪
'da'dian 大淀
'da'feng 大凤
'da'he 大和
'da'sha 大傻
'dao'feng 岛风
'de'gun 德棍
'de'lei'si'dun 德累斯顿
'de'mei'yin 得梅因
'du'li 独立
'er'sha 二傻
'fa'ge 法戈
'fa'la'ge'te 法拉格特
'fei'long 飞龙
'feng'feng 峰风
'feng'xiang 凤翔
'fu'lai'qie 弗莱切
'fu'sang 扶桑
'gao'xiong 高雄
'ge'nai'sen'nao 格奈森瑙
'gu'ying 古鹰
'guo'wang 国王
'hang'mu 航母
'he'nei 河内
'huai'e'ming 怀俄明
'ji'lin 基林
'jia'he 加贺
'jin'gang 金刚
'ka'er'lu'e 卡尔鲁厄
'kai'sa 凯撒
'ke'die 克爹
'ke'er'bei'ge 科尔贝格
'ke'lai'meng'sen 克莱蒙森
'ke'li'lan'fu 克里兰夫
'ke'luo'la'duo 科罗拉多
'ke'ni'si'bao 柯尼斯堡
'kuai'zhan'dian 快站点
'lan'li 兰利
'lei'xun 雷巡
'li'gen 利根
'li'jie 黎姐
'li'sai'liu 黎塞留
'li'zi 梨子
'lie'ke'xing'dun 列克星敦
'long'xiang 龙骧
'ma'han 马汉
'ma'sa'zhu'sai 马萨诸塞
'mei'di 美帝
'meng'da'na 蒙大拿
'miao'gao 妙高
'mu'yue 睦月
'na'sao 拿骚
'nan'pang 南胖
'niu'lun'bao 纽伦堡
'niu'yue 纽约
'pang'ci 胖次
'peng'sa'ke'la 彭萨克垃
'qi'bo'lin'bo'jue 齐柏林伯爵
'qi'ye 企业
'qiao'li 桥立
'qie'si'te 切斯特
'qing'ye 青叶
'qiu'mo 球磨
'qiu'yue 秋月
'qu'zhu'jian 驱逐舰
'rui'feng 瑞凤
'ruo'zhu 若竹
'sang'pu'sen 桑普森
'sheng'lu'yi'si 圣路易斯
'shi'pei'bo'jue 施佩伯爵
'ti'er'pi'ci 提尔皮茨
'ti'zi 提子
'tian'cheng 天城
'tian'long 天龙
'tu'ji'zhe 突击者
'wei'ke'si 维克斯
'wei'nei'tuo 维内托
'xi'mu'si 西姆斯
'xi'pei'er'hai'jun'shang'jiang 希佩尔海军上将
'xiang'feng 翔凤
'xiang'he 翔鹤
'xiang'qu 香取
'xin'ao'er'liang 新奥尔良
'xin'mo'xi'ge 新墨西哥
'xin'nong 信浓
'xun'yang'jian 巡洋舰
'ya'gun 亚棍
'ya'te'lan'da 亚特兰大
'yang'yan 阳炎
'yi'a'hua 衣阿华
'yi'chui 伊吹
'yi'li 伊利
'yin'shen'pao 隐身炮
'yu'lei 鱼雷
'zhan'lie'jian 战列舰
'zhan'xun'jian 战巡舰
'zhong'tu'dao 中途岛
'zui'shang 最上
