'a'mu'zai'pang'zuo 阿母在旁坐
'a'xian'cong'wo'shi'ri'you 阿咸从我十日游
'ai'du'wu'huang'chuan 爱读武皇传
'ai'hong'shi'qi'qun 哀鸿失其群
'ai'ping'shan'cu'luo'wen 矮屏山蹙罗纹
'ai'que'xing'ren'lu 碍却行人路
'ai'ta'ming'yue'hao 爱他明月好
'ai'yue'heng'guo'ren 哀乐恒过人
'an'de'cong'jun'qu 安得从君去
'an'de'shu'you'bu'jin'zhi'hua'geng'yu'xin'hao'zhe 安得树有不尽之花更雨新好者
'an'de'yan'qian'ke'gui'jing'gui'yi 安得眼前可归竟归矣
'an'jue'qing'ling'shi 暗觉青绫湿
'an'neng'ban'qing'o'si'chou 安能伴卿哦四愁
'an'pai'xie'ji'san'qian'juan 安排写集三千卷
'an'shu'liu'guang'dao'mai'tang 暗数流光到卖饧
'an'ting'pei'ting 鞍停辔停
'an'xiang'piao'jin'zhi'he'chu 暗香飘尽知何处
'an'yi'huan'qi'zhen'si'meng 暗忆欢期真似梦
'ba'lun'qi 罢论起
'ba'shan'zhong'zhen'dian'shen'jing 霸山重镇奠神京
'ba'shi'li'ji'han 八十罹饥寒
'ba'tu'shui'fu'xiong 霸图谁复雄
'ba'wan'si'qian'hao 八万四千好
'ba'ye'deng'xian'xiu 霸业等闲休
'ba'zhai'xiong'tu'jin'geng'gu 八砦雄图今更固
'bai'gan'dou'sui'liu'shui'qu 百感都随流水去
'bai'jie'xiu'cheng'ren'ru'gong 百劫修成忍辱功
'bai'juan'shu'cheng'nan'du'sui 百卷书成南渡岁
'bai'lang'he'bei'qiu'pian'zao 白狼河北秋偏早
'bai'nian'cui'li'dian'guang'kai 百年淬厉电光开
'bai'nian'qi'zhe'di'huai'bian 百年綦辙低徊遍
'bai'nian'shou'shi'luo 百年守尸罗
'bai'ri'qing'tian'fen'bi'xing 白日青天奋臂行
'bai'you'zi'zan'huo 百忧兹暂豁
'bai'yun'chu'chu'cong'wu'li 白云出处从无例
'bai'zang'fa'suan'lei 百脏发酸泪
'bai'ze'pan'pi'ren'bu'xi 拜则槃辟人不喜
'ban'chuang'hong'ri'luo'hua'chou 半窗红日落花愁
'ban'di'xiang'cao 半堤香草
'ban'xiang'jian'liang'liang'chou'ren'gui'qu 办香鞯两两愁人归去
'ban'yue'qian'tou'fu'bing 半月前头扶病
'ban'zhui'yi'xi'wu'xun'chu 斑骓一系无寻处
'bao'ci'kui'huo'gu 抱此葵藿孤
'bao'dao'shuang'cheng 报道双成
'bao'en'ru'ci'jiu'xin'duo 报恩如此疚心多
'bei'deng'he'yue'jiu'hua'yin 背灯和月就花阴
'bei'gao'cheng 背高城
'bei'gu'geng'chou'chu 北顾更踌躇
'bei'jiu'mo'jing'chun'shui'zhong 被酒莫惊春睡重
'bei'jun'si'gu'nan'si'sao 北军似姑南似嫂
'bei'nong'liu'de'xiang'hun'zhu 被侬留得香魂住
'bei'ren'gao'zuo'zhu'tian'yi 背人高坐著天衣
'bei'shan'meng'hu'bu'shi'ren 北山猛虎不食人
'ben'chao'tai'chang'wu'bai'bei 本朝太常五百辈
'ben'wu'yi'zi'shi'wu'shi 本无一字是吾师
'bi'bao'er'xuan'sun 俾饱而玄孙
'bi'bi'bo'bo 腷腷膊膊
'bi'chuang'cha'zao'tai'cong'rong 笔床茶灶太从容
'bi'fu'jiao'liang'yu'zhi'jian 鄙夫较量愚智间
'bi'jing'sui'feng'he'chu 毕竟随风何处
'bi'li'chang'wei'ku'zhu'yi 薜荔常为苦竹衣
'bi'sha'chu'hu'a'fu'rong 碧纱幮护阿芙蓉
'bi'ti'yi'chi'he'qi'chan 鼻涕一尺何其孱
'bi'tian'ning'zhu 碧天凝伫
'bi'xi'wei'wen'wen'zi'yu 避席畏闻文字狱
'bi'yan'su'qi'po 笔研苏其魄
'bi'yan'yu'xiang'diao 笔砚欲相吊
'bi'yi'lian'zhi'dang'ri'yuan 比翼连枝当日愿
'bi'yue'san'yuan 璧月三圆
'bian'jiao'chun'hao'bu'kai'men 便教春好不开门
'bian'ren'jian'tian'shang 便人间天上
'bian'shuo'xun'chun'wei'ru'gui 便说寻春为汝归
'bian'wu'feng'xue'ye'cui'can 便无风雪也摧残
'bian'yu'er'sun'zuo'wu'liang 便与儿孙作屋梁
'bian'zhu'yan 变朱颜
'bie'hou'xian'qing'he'suo'ji 别后闲情何所寄
'bie'li'gang'sui'huan 别离刚岁换
'bie'li'zhi'wei'duo'qing'she 别离只为多情设
'bie'xu'ru'si'meng'bu'cheng 别绪如丝梦不成
'bie'you'gen'ya 别有根芽
'bie'yu'hui'fen'ming 别语悔分明
'bie'yu'tei'fen'ming 别语忒分明
'bin'ke'piao'liu'ban'si'sheng 宾客漂流半死生
'bin'peng'qian'wei'hao 宾朋佥谓好
'bin'yun'song'ling'zhen'han'xiang 鬓云松令枕函香
'bing'chui'hong'yu 并吹红雨
'bing'qi'xin'qing'e 病起心情恶
'bing'wei'chou'cheng 病为愁成
'bing'yu'chang'shi'qie'shu'tou 病余常是怯梳头
'bing'zhu'xiang'jian'wu'ke'shuo 并著香肩无可说
'bo'chen'yang'xiao'dao 薄嗔佯笑道
'bo'fu'jian'qing'cheng 薄福荐倾城
'bo'jiao'ceng'ceng'kong 剥蕉层层空
'bo'lin'fei'bai'xue 拨鳞飞白雪
'bo'ming'ru'si 薄命如斯
'bo'qian'de'xiao'zhai 播迁得小宅
'bo'qing'zhuan'shi'duo'qing'lei 薄情转是多情累
'bo'tuo'da'ru'qian 馎饦大如钱
'bo'tuo'ru'yue'yuan 馎饦如月圆
'bo'tuo'yao 馎饦谣
'bo'tuo'yu'yue 馎饦语月
'bo'wen'si'lian 波纹似练
'bo'xun'er'wu'chou 波旬尔勿愁
'bo'xun'wei'wo'chou 波旬为我愁
'bo'zhuang'qian'dai'yi'feng'liu 薄妆浅黛亦风流
'bo'zhuo'tao'wu'zu 剥啄讨屋租
'bu'bo'qin'huang'yu'wu'huang 不薄秦皇与武皇
'bu'bo'zhu'ru'bao 不博侏儒饱
'bu'chang'ming'ke'li 不长鸣珂里
'bu'cheng'feng'yue'zhuan'cui'can 不成风月转摧残
'bu'ci'bing'xue'wei'qing're 不辞冰雪为卿热
'bu'dao'ren'jian'you'you'wei'zhao'hun 不道人间犹有未招魂
'bu'dao'xing'wang'ming'ye 不道兴亡命也
'bu'de'bu'bei'xin 不得不悲辛
'bu'de'liu'jun'chuo 不得留君啜
'bu'di'tong'xin'yi'che 不敌童心一车
'bu'feng'shang'qie'qi'xin'shen 不风尚且凄心神
'bu'gan'wen'xing'e 不敢问星娥
'bu'gong'zhi'zhi'sheng 不共郅支生
'bu'hen'tian'ya'xing'yi'ku 不恨天涯行役苦
'bu'ji'fu'rong 不及芙蓉
'bu'ji'ye'tai'chen'tu'ge 不及夜台尘土隔
'bu'ji'zhu'gong'gun'gun'xiang'feng'chen 不及诸公衮衮向风尘
'bu'jie'zhui'mai'er 不结椎埋儿
'bu'jin'xin'ku'kuang'xiang'guan 不禁辛苦况相关
'bu'ju'yi'ge'jiang'ren'cai 不拘一格降人材
'bu'lun'yan'tie'bu'chou'he 不论盐铁不筹河
'bu'luo'wen'zi'zhong 不落文字中
'bu'nai'zhi'yan'ye'yong'quan 不奈卮言夜涌泉
'bu'neng'jin'shu'han'chao'qian'bai'xin 不能尽书汉朝千百心
'bu'qiu'gui'shen'liang 不求鬼神谅
'bu'ran'ming'he'wu 不然命何物
'bu'ran'ming'ming'hong 不然冥冥鸿
'bu'ren'fu'yu'shang 不忍覆馀觞
'bu'rong'ming'yue'chen'tian'qu 不容明月沉天去
