'chen'jing'lun 陈经纶
'ding'xiang'sai 定向赛
'fa'chan'chu 法产处
'gui'cai'chu 规财处
'hang'ti'ji'tuan 杭体集团
'hang'ti'ju 杭体局
'hang'zhou'shi'chen'jing'lun'ti'yu'xue'xiao 杭州市陈经纶体育学校
'hang'zhou'shi'mo'xing'wu'xian'dian'yun'dong'zhong'xin 杭州市模型无线电运动中心
'hang'zhou'shi'she'ji'she'jian'yun'dong'zhong'xin 杭州市射击射箭运动中心
'hang'zhou'shi'shui'shang'yun'dong'zhong'xin 杭州市水上运动中心
'hang'zhou'shi'ti'yu'cai'piao'guan'li'zhong'xin 杭州市体育彩票管理中心
'hang'zhou'shi'ti'yu'fa'zhan'ji'tuan 杭州市体育发展集团
'hang'zhou'shi'ti'yu'fa'zhan'ji'tuan'ti'yu'guan 杭州市体育发展集团体育馆
'hang'zhou'shi'ti'yu'fa'zhan'ji'tuan'ti'yu'zhong'xin 杭州市体育发展集团体育中心
'hang'zhou'shi'ti'yu'ju 杭州市体育局
'hang'zhou'shi'ti'yu'zong'hui 杭州市体育总会
'jing'sai'zhong'xin 竞赛中心
'ju'ban 局办
'liang'ying'san'da 两迎三大
'pao'ma'chang'lu 跑马场路
'quan'min'jian'shen 全民健身
'qun'ti 群体
'qun'ti'chu 群体处
'ti'xiao 体校
'ti'yu'da'hui 体育大会
'ti'zong 体总
'xun'jing 训竞
'xun'jing'chu 训竞处
'yi'xing'da'hui 毅行大会
