'bu'sheng'huan'jia 不省还家
'bu'shi'tu'mi'xiang'ban 不是酴醾相伴
'bu'shi'wu'qing 不是无情
'bu'shou'shi'jian'ju'shu 不受世间拘束
'bu'si'jie'shao'jin 不死解烧金
'bu'si'zai'ren'jian 不似在人间
'bu'wei'jiu'kun 不为酒困
'bu'wen'ren'xun'tao 不问人寻讨
'bu'xi'xu'zhou'qu'xing'dian 不系虚舟取性颠
'bu'xia'shan'lai'bu'chu'xi 不下山来不出溪
'bu'xu'ci 不须辞
'bu'xu'heng'e'ge'wu 不许姮娥歌舞
'bu'xu'ji'jiao'ku'lao'xin 不须计较苦劳心
'bu'xu'ji'jiao'yu'an'pai 不须计较与安排
'bu'xu'peng'lai'jin 不许蓬莱近
'bu'xu'yang'hua'shang'jin'yin 不许杨花上锦茵
'bu'xue'xi'xi'kong'zi 不学栖栖孔子
'bu'yang'dan'sha 不养丹砂
'bu'yin'xiang'lao'chang'si'zui 不饮香醪常似醉
'bu'yong'ku'si'liang 不用苦思量
'bu'yong'xie'er'xin'ji'suan 不用些儿心计算
'bu'zhi'fei'dao'shui'jia 不知飞到谁家
'bu'zhi'jin'xi'yan'shui 不知今夕烟水
'bu'zhi'yin'shen'lai'chen'shi 不知因甚来尘世
'bu'zui'he'wei 不醉何为
'bu'zui'ru'he'xiu'de 不醉如何休得
'cai'de'jiang'mei'xin 才得江梅信
'cai'si'chuan'qu'dang'yin'zheng 彩丝穿取当银钲
'cai'zi'jia'ren'xiang'jian'nan 才子佳人相见难
'can'an'man'xi'gui'dong'han 惨黯蛮溪鬼峒寒
'can'meng'bu'xu'shen'nian 残梦不须深念
'can'rui'pei'ming'dang 粲蕊佩鸣珰
'cang'yan'hua'fa 苍颜华发
'cao'cao'bei'pan'yin'ji'bei 草草杯盘饮几杯
'cao'cao'yuan'lin'zuo'luo'chuan 草草园林作洛川
'cao'xun'ya'bu 草熏鸭步
'ce'chi'ceng'bang'kan 侧翅曾傍看
'ce'mao'ting'bei'lei'man'jin 侧帽停杯泪满巾
'ce'zhang'yin'er'tong 策杖引儿童
'ceng'gong'qun'xian'xie'shou'dou'chui'sheng 曾共群仙携手斗吹笙
'ceng'pi'gei'yu'zhi'feng'quan 曾批给雨支风券
'ceng'shi'liu'lang 曾识刘郎
'ceng'wei'mei'hua'zui'bu'gui 曾为梅花醉不归
'ceng'zhan'hui'tian'li 曾展回天力
'ceng'zui'wu'ling'xi 曾醉武陵溪
'cha'tian'cui'liu 插天翠柳
'chan'hui'cai'lu 蟾辉采露
'chang'an'ke 长安客
'chang'bao'bing'tan'li'ming'xin 长抱冰炭利名心
'chang'dao'heng'e'lian'dai'mei 唱到姮娥敛黛眉
'chang'de'li'yuan'jue'dai'sheng 唱得梨园绝代声
'chang'duan'hong'jiao'hua'wan 肠断红蕉花晚
'chang'dui'ri'tuan'yuan 长对日团圆
'chang'ge'kuai'huo'ge 唱个快活歌
'chang'gong'a'lang'xiang'jian 长共阿郎相见
'chang'hen'xi'yang'xi'qu'wan'chao'hui 长恨夕阳西去晚潮回
'chang'jiang'bu'zhu'dong'liu 长江不住东流
'chang'jiang'shui 长江水
'chang'ri'yan'zhong'men 长日掩重门
'chang'sheng'feng'yue 长生风月
