'cai'piao'gong'yi'jin'shou'ru 彩票公益金收入
'fa'mo'shou'ru 罚没收入
'guo'you'zi'ben'jing'ying'shou'ru 国有资本经营收入
'guo'you'zi'yuan'you'chang'shi'yong'shou'ru 国有资源有偿使用收入
'juan'zeng'shou'ru 捐赠收入
'te'xu'jing'ying'quan'shou'ru 特许经营权收入
'xing'zheng'shi'ye'xing'shou'fei'shou'ru 行政事业性收费收入
'zheng'fu'shou'ru'de'li'xi'shou'ru 政府收入的利息收入
'zheng'fu'xing'ji'jin'shou'ru 政府性基金收入
'zhong'yang'yin'hang'shou'ru 中央银行收入
'zhu'guan'bu'men'ji'zhong'shou'ru 主管部门集中收入
