'an'quan'men 安全门
'bai'mi'biao 百米标
'bao'dai'lu 宝带路
'bao'dai'qiao'nan 宝带桥南
'bao'hu'dong'zuo 保护动作
'bao'lie 爆裂
'bei'che'ti'kai 备车替开
'bei'gang'lu 北港路
'bei'si'ta 北寺塔
'bei'yong'che 备用车
'bi'he 闭合
'bi'se 闭塞
'bian'ya'qi'gu'zhang 变压器故障
'bin'he'lu 滨河路
'cha'dong 差动
'cha'dong'bao'hu 差动保护
'cha'yuan'chang 察院场
'chang'ting 长亭
'chao'xian'che 超限车
'che'chang 车场
'che'chang'xian 车场线
'che'liang'xian'jie 车辆限界
'che'men'gu'zhang 车门故障
'che'zhan'sui'dao 车站隧道
'che'zu 车组
'chong'dian'ping 充电屏
'chong'dong 冲动
'chong'tu 冲突
'chou'ti'kai'guan'gui 抽屉开关柜
'chou'xian 抽线
'chu'chang 出场
'chu'li'cuo'shi 处理措施
'chui'zhi'dian'ti'po'jiang 垂直电梯迫降
'cun'che'xian 存车线
'da'dan'bian'gong'dian 大单边供电
'da'dian'liu'tuo'kou'bao'hu 大电流脱扣保护
'da'shuang'bian'gong'dian 大双边供电
'da'wan 大湾
'da'xi'tong 大系统
'dan'bian'gong'dian 单边供电
'dao'cha'duan'shan 道岔短闪
'dian'chi'ping 电池屏
'dian'dong'feng'fa 电动风阀
'dian'kang'qi 电抗器
'dian'lan 电缆
'dian'li'ji'dian'bao'hu'zhuang'zhi 电力继电保护装置
'dian'li'tong'xin'zhuang'zhi 电力通信装置
'dian'liu'hu'gan'qi 电流互感器
'dian'liu'su'duan'bao'hu 电流速断保护
'dian'liu'zeng'liang'bao'hu 电流增量保护
'dian'ya'bo'dong 电压波动
'dian'ya'guo'liu'bao'hu 电压过流保护
'dian'ya'hu'gan'qi 电压互感器
'diao'che 调车
'diao'che'yuan 调车员
'diao'du'tai 调度台
'diao'xuan 吊悬
'dong'fang'zhi'men 东方之门
'dong'huan'lu 东环路
'dong'li'bian 动力变
'dong'li'bian'ya'qi 动力变压器
'dong'zhen'lu 东振路
'du'shu'hu'lin'li'zhong'xin 独墅湖邻里中心
'du'shu'hu'nan 独墅湖南
'duan'lu'qi 断路器
'duan'lu'qi'xiao'che 断路器小车
'duan'lu'qi'xiao'che'ge'li'wei 断路器小车隔离位
'duan'lu'qi'xiao'che'shi'yan'wei 断路器小车试验位
'duan'lu'qi'xiao'che'yun'xing'wei 断路器小车运行位
'er'lei'fu'he 二类负荷
'fan'xiang'yun'xing 反向运行
'fang'huo'fa 防火阀
'fang'huo'juan'lian'men 防火卷帘门
'fang'jia 防夹
'fang'qi'wu'ru'deng'liang 放气勿入灯亮
'fang'wan'jie 方湾街
'fang'yan'men 防淹门
'fei'xiao'fang'dian'yuan 非消防电源
'fen'hu'lu 汾湖路
'fen'lu'bu'liang 分路不良
'feng'he'lu 丰和路
'feng'ting'da'dao 葑亭大道
'fu'he'qie'huan 负荷切换
'fu'ti 扶梯
'fu'xiang'lu 富翔路
'fu'yuan'lu 富元路
'fu'zhu'ni'bian'qi 辅助逆变器
'fu'zhu'xian 辅助线
'gan'wen'dian'lan 感温电缆
'gan'wen'guang'xian 感温光纤
'gan'wen'huo'zai'tan'ce'qi 感温火灾探测器
'gan'yan'huo'zai'tan'ce'qi 感烟火灾探测器
'gang'gui 钢轨
'gang'gui'zhe'duan 钢轨折断
'gang'xing'jie'chu'wang 刚性接触网
'gao'tie'su'zhou'bei 高铁苏州北
'ge'li'kai'guan 隔离开关
'ge'xiang'jie 戈巷街
'gong'dian 供电
'gong'jiao'jie'bo 公交接驳
'gong'qi'ju 工器具
'gong'wang'gu'zhang 弓网故障
'gong'zuo'zhao'ming'shi'dian 工作照明失电
'gu'jia'dang 顾家荡
'gu'zhang'yuan'yin 故障原因
'guan'men'che 关门车
'guang'ji'nan'lu 广济南路
'gui'dao'dian'lu 轨道电路
'guo'fu'he'bao'hu 过负荷保护
'guo'xian 过线
'guo'xiang 郭巷
'guo'yuan'lu 郭苑路
'he'shan'lu 何山路
'heng'shan 横山
'heng'tang 横塘
'hong'guang'dai 红光带
'hong'zhuang 红庄
'hou'bei'bao'hu 后备保护
'hua'gang 花港
'huan'wang'kai'guan 环网开关
'hui'chang 回场
'hui'chang'lu 惠昌路
'hui'fu 恢复
'hui'pai'feng'ji 回排风机
'huo'li'dao 活力岛
'huo'zai'mo'shi 火灾模式
'ji'cha 挤岔
'jia'kong'di'xian 架空地线
'jia'shi'mo'shi 驾驶模式
'jian'xiu'che 检修车
'jian'zhu'xian'jie 建筑限界
'jiang'ling'xi'lu 江陵西路
'jiang'xing'xi'lu 江兴西路
'jiao'lu 交路
'jiao'lu'tiao'zheng 交路调整
