'a'ke 阿轲
'an'qi'la 安琪拉
'bai'li'shou'yue 百里守约
'bai'li'xuan'ce 百里玄策
'bai'qi 白起
'bao'hu'wo'fang 保护我方
'bao'jun 暴君
'bian'que 扁鹊
'bu'zhi'huo'wu 不知火舞
'cai'wen'ji 蔡文姬
'cao'cao 曹操
'cheng'ji'si'han 成吉思汗
'cheng'yao'jin 程咬金
'ci'ke 刺客
'da'ji 妲己
'da'long 大龙
'da'long 打龙
'da'mo 达摩
'da'qiao 大乔
'da'tuan 打团
'da'ye 打野
'di'ren'jie 狄仁杰
'dian'wei 典韦
'diao'chan 貂蝉
'dong'huang'tai'yi 东皇太一
'du'jie 渡劫
'dun'cao'cong 蹲草丛
'er'ji 二技
'er'ta 二塔
'fa'kang 法抗
'fa'shi 法师
'fa'tan 法坦
'fan'hong 反红
'fan'lan 反蓝
'fan'ye 反野
'fu'zhu 辅助
'gan'jiang'mo'ye 干将莫邪
'gao'di 高地
'gao'jian'li 高渐离
'gong'ben'wu'zang 宫本武藏
'guan'yu 关羽
'gui'gu'zi 鬼谷子
'han'xin 韩信
'hou'yi 后羿
'hou'zi 猴子
'hua'mu'lan 花木兰
'huang'zhong 黄忠
'jiang'zi'ya 姜子牙
'jin'gong'di'fang 进攻敌方
'ju'you'jing 橘右京
'kai'da 开大
'kai'hei 开黑
'lan'ling'wang 兰陵王
'lao'fu'zi 老夫子
'li'bai 李白
'li'yuan'fang 李元芳
'lian'po 廉颇
'liu'bang 刘邦
'liu'bei 刘备
'liu'shan 刘禅
'lu'ban'qi'hao 鲁班七号
'lu'na 露娜
'lv'bu 吕布
'ma'ke'bo'luo 马可波罗
'mai'fu 埋伏
'mi'yue 芈月
'mo'zi 墨子
'na'hong 拿红
'na'ke'lu'lu 娜可露露
'na'lan 拿蓝
'ne'zha 哪吒
'niu'mo 牛魔
'quan'shui 泉水
'san'pai 三排
'shang'dan 上单
'she'shou 射手
'shui'jing 水晶
'su'lie 苏烈
'sun'bin 孙膑
'sun'shang'xiang 孙尚香
'sun'wu'kong 孙悟空
'tai'yi'zhen'ren 太乙真人
'tan'ke 坦克
'wang'zhao'jun 王昭君
'wu'kang 物抗
'wu'pai 五排
'wu'ze'tian 武则天
'xia'dan 下单
'xia'hou'dun 夏侯惇
'xiang'yu 项羽
'xiao'qiao 小乔
'ya'dian'na 雅典娜
'ya'se 亚瑟
'yang'jian 杨戬
'yi'ji 一技
'yi'ta 一塔
'ying'zheng 嬴政
'you'zou 游走
'yu'ji 虞姬
'zhan'shi 战士
'zhang'fei 张飞
'zhang'liang 张良
'zhao'yun 赵云
'zhen'ji 甄姬
'zhi'yuan 支援
'zhong'dan 中单
'zhong'kui 钟馗
'zhong'wu'yan 钟无艳
'zhou'yu 周瑜
'zhu'ge'liang 诸葛亮
'zhu'zai 主宰
'zhuang'zhou 庄周
