'ai'ku'de'mao'mao'chong 爱哭的毛毛虫
'bai'zhi'di 白志迪
'bei'guo'xia 背锅侠
'bei'guo'xia'li'da'kang 背锅侠李达康
'bu'wei'chu'zhang 部委处长
'cai'cheng'gong 蔡成功
'cai'zhu'xi 蔡主席
'chai'cheng 柴城
'chen'hai 陈海
'chen'yan'shi 陈岩石
'cheng'du 程度
'chu'zhang 处长
'da'feng'chang 大风厂
'da'feng'fu'zhuang'chang 大风服装厂
'da'kang'fen 达康粉
'da'kang'shu'ji 达康书记
'dang'dai'fan'fu'di'yi'da'ju 当代反腐第一大剧
'ding'hai'feng 丁海峰
'ding'yi'zhen 丁义珍
'du'bo'zhong 杜伯仲
'fan'fu 反腐
'fan'fu'bai 反腐败
'fan'fu'ju 反腐剧
'fan'fu'ti'cai 反腐题材
'fan'fu'zui'qiang'yin 反腐最强音
'fan'tan'ju'chang 反贪局长
'fan'tan'zong'ju 反贪总局
'fan'zi'wen 范子文
'feng'huang'chuan'qi'ying'ye 凤凰传奇影业
'feng'lei 冯雷
'fu'shi'zhang 副市长
'gao'jian'ying'shi'zhong'xin 高检影视中心
'gao'xiao'qin 高小琴
'gao'ya'lin 高亚麟
'gao'yu'liang 高育良
'gao'yu'min 高育民
'gong'an'ju'ju'zhang 公安局局长
'gong'an'ting'ting'zhang 公安厅厅长
'gong'hui'zhu'xi 工会主席
'gong'sheng'ming 公生明
'guan'chang'sha'bai'tian 官场傻白甜
'guan'chang'sheng'tai 官场生态
'guan'li'ji'shi'fu'wu 管理即是服务
'guang'ming'hu'xiang'mu 光明湖项目
'han'dong 汉东
'han'dong'sheng 汉东省
'hou'chu'zhang 侯处长
'hou'ju 侯局
'hou'liang'ping 侯亮平
'hou'yong 侯勇
'hu'jing 胡静
'hu'nan'wei'shi 湖南卫视
'hu'yu'gui 胡玉贵
'hua'ban'hu 花斑虎
'hua'shi'dian'chao 花式点钞
'huang'jun'peng 黄俊鹏
'huang'pin'yuan 黄品沅
'ji'chang'ming 季昌明
'ji'jian 季检
'ji'jian'cha'zhang 季检察长
'ji'shuai 纪帅
'jian'cha'guan 检察官
'jian'cha'ti'cai 检察题材
'jian'cha'zhang 检察长
'jiang'ying'rong 江映蓉
'jie'fang'jun'jin'dun'ying'shi'zhong'xin 解放军金盾影视中心
'jin'ying'du'bo'ju'chang 金鹰独播剧场
'jing'zhou 京州
'jing'zhou'shi 京州市
'kan'ben'ben 阚犇犇
'kan'kuai'jin 阚快进
'kan'li'niao 阚利尿
'ke'lan 柯蓝
'lao'hei'qian 捞黑钱
'lao'xi'gu 老戏骨
'li'da'kang 李达康
'li'guang'fu 李光复
'li'jian'yi 李建义
'li'lu 李路
'li'xue'zheng 李学政
'lian'sheng'wei 廉生威
'lin'hua'hua 林华华
'liu'xin'jian 刘新建
'lu'yi 陆毅
'lu'yi'ke 陆亦可
'mi'shu'bang 秘书帮
'ou'yang'jing 欧阳菁
'qi'tong'wei 祁同伟
'qian'fu'hou'ji 前腐后继
'qun'xiang'da'xi 群像大戏
'ran'ran 然然
'ren'min'jian'cha'yuan'ying'shi'zhong'xin 人民检察院影视中心
'sha'rui'jin 沙瑞金
'shan'mian'dian'chao 扇面点钞
'shan'shan 姗姗
'shan'shui'zhuang'yuan 山水庄园
'she'an'ju 涉案剧
'shen'teng 沈腾
'shen'teng'er'shu 沈腾二叔
'shi'jiu'da'xian'li'ju 十九大献礼剧
'shi'li'pai 实力派
'shi'li'yan'yuan 实力演员
'shi'wei'shu'ji 市委书记
'tan'fu 贪腐
'tan'fu'fen'zi 贪腐分子
'tang'mu'ding 汤姆丁
'tang'wan 唐菀
'tao'hui'min 陶慧敏
'tian'guo'fu 田国福
'tian'jin'jia'hui 天津嘉会
'wang'fu'zhen 王馥真
'wang'li'yun 王丽云
'wei'ren'min'fu'wu 为人民服务
'wo'shi'nong'min'de'er'zi 我是农民的儿子
'wu'gang 吴刚
'wu'hui'fang 吴惠芳
'wu'hui'fen 吴惠芬
'wu'hui'fen 吴慧芬
'wu'lao'shi 吴老师
'wu'xin'yi 吴心仪
'xiao'gang'yu 肖钢玉
'xiao'guan'ju'tan 小官巨贪
'xu'guang'yu 徐光宇
'xu'wen'guang 许文广
'xu'ya'jun 许亚军
'yi'ren'min'de'ming'yi 以人民的名义
'yi'xue'xi 易学习
'you'quan'bu'neng'ren'xing 有权不能任性
'you'quan'ke'yi'mou'si 有权可以谋私
'yu'liang'shu'ji 育良书记
'yue'xiu'qing 岳秀清
'zhai'wan'chen 翟万臣
'zhang'feng'yi 张丰毅
'zhang'kai'li 张凯丽
'zhang'shu'li 张树立
'zhang'xi'lin 张晞临
'zhang'zhi'jian 张志坚
'zhao'chu'zhang 赵处长
'zhao'de'han 赵德汉
'zhao'dong'lai 赵东来
'zhao'li'chun 赵立春
'zhao'rui'long 赵瑞龙
'zhao'zi'qi 赵子琪
'zheng'fa'xi 政法系
'zheng'kuai'jin 郑快进
'zheng'li'niao 郑利尿
'zheng'sheng'li 郑胜利
'zheng'xi'po 郑西坡
'zhong'guo'ding'ji'zheng'zhi'ju'biao'gan 中国顶级政治剧标杆
'zhong'guo'nong'min'na'me'dao'mei 中国农民那么倒霉
'zhong'guo'zheng'zhi'xiao'shuo'di'yi'ren 中国政治小说第一人
'zhong'xiao'ai 钟小艾
'zhong'zhu'ren 钟主任
'zhou'mei'sen 周梅森
'zhou'zheng 周正
