'a'yi 阿易
'ai'chu'fa 爱出发
'ai'wo'jia'kai'ye 爱我家凯爷
'ai'wo'jia'qian'qian 爱我家千千
'ai'wo'jia'san'zhi 爱我家三只
'ai'wo'jia'yuan'yuan 爱我家源源
'ba'dao'zong'cai 霸道总裁
'ban'xiao'song 班小松
'bu'wan'mei'xiao'hai 不完美小孩
'cang'jing'kong 苍井空
'cao'mei 草妹
'chang'an'shi'er'shi'chen 长安十二时辰
'chao'shao'nian'mi'ma 超少年密码
'cheng'jia 橙家
'cheng'ming'zai'wang 成名在望
'cheng'qie 橙妾
'chong'ai 宠爱
'da'ge 大哥
'da'meng'xiang'jia 大梦想家
'da'wang 大王
'da'yuan 大源
'di'mi 弟迷
'du'du 嘟嘟
'du'zong 嘟总
'er'yuan 二源
'feng'kuang'de'mai'ji 疯狂的麦咭
'gao'ke'ji'shao'nv'miao 高科技少女喵
'he'bei'cai'hua 河北彩花
'hu'tian'zhen'qin 户田真琴
'hu'ya'kai 虎牙凯
'hua'tai'zheng'quan 华泰证券
'huo'yang'bao 火羊宝
'jia'miao'liu'hua 佳苗瑠华
'jue'ji 爵迹
'jun'jun 俊俊
'jun'kai 俊凯
'kai'bao 凯宝
'kai'huang 凯皇
'kai'kai 凯凯
'kai'xue'di'yi'ke 开学第一课
'kai'ye 凯爷
'kai'yuan 凯源
'kai'yuan'sheng'shi 凯源盛世
'kai'yuan'wang 凯源汪
'kuai'le'huan'dao 快乐环岛
'kuai'le'shi'zhe 快乐使者
'li'mi 李泌
'lian'xi'you 恋西游
'lin'jing'yu 林惊羽
'ma'si'yuan 马思远
'mei'li'zhong'guo'nian 美丽中国年
'meng'xi'nan'shen 萌系男神
'meng'xiang'qi'hang 梦想起航
'ming'li'chou 明里紬
'mo'fa'cheng'bao 魔法城堡
'nai'yuan 奶源
'nan'nan 楠楠
'nan'sheng'xue'yuan'zi'xi'shi 男生学院自习室
'ou'xiang'shou'ji 偶像手记
'qian'qian 千千
'qian'xi 千玺
'qian'zhi'he 千智赫
'qian'zhi'he 千纸鹤
'qian'zong 千总
'qiao'ben'you'cai 桥本有菜
'qin'ai'de'ke'zhan 亲爱的客栈
'qing'chun'lv'she 青春旅社
'qing'chun'xiu'lian'shou'ce 青春修炼手册
'qing'kong'guang 青空光
'qu'yuan 屈原
'quan'yuan'jia'su'zhong 全员加速中
're'li'sai'che 热力赛车
'sa'bao'bao 仨宝宝
'san'shang'you'ya 三上悠亚
'san'xiao'zhi 三小只
'san'zhi 三只
'shan'an'feng'hua 山岸逢花
'shao'nian'shuo 少年说
'shao'nian'zhong'guo'qiang 少年中国强
'shen'hao'xuan 谌浩轩
'shen'tian'yong'mei 深田咏美
'sheng'xia'de'sheng'xia 剩下的盛夏
'shi'ke'zhun'bei'zhe 时刻准备着
'shi'ni 是你
'shi'nian'zhi'yue 十年之约
'shou'hu'jia 守护家
'shui'jun'yi 水均益
'si'mei'ren 思美人
'si'ye'cao 四叶草
'si'ye'cao'ying'yuan'zhan 四叶草应援站
'si'zi'di'di 四字弟弟
'sui'yu 隋玉
'tao'nai'mu'xiang'nai 桃乃木香奈
'tong'kong'li'de'tai'yang 瞳孔里的太阳
'tong'yi'miao'kuai'le 同一秒快乐
'tu'ba'cheng 土霸橙
'wan'wan'mei'xiang'dao 万万没想到
'wang'bai'bai 王摆摆
'wang'jun'kai 王俊凯
'wang'jun'kai'tong'kuan 王俊凯同款
'wang'jun'tui 王俊腿
'wang'pai'dui'wang'pai 王牌对王牌
'wang'yuan 王源
'wang'yuan'qi'shi'zhan 王源骑士站
'wang'yuan'tong'kuan 王源同款
'wei'lai'de'jin'ji 未来的进击
'wei'lai'zhi'hui'guan 未来指挥官
'wei'meng'xiang 为梦想
'wei'meng'xiang'shi'ke'zhun'bei'zhe 为梦想时刻准备着
'wo'jiu'shi'wo 我就是我
'wo'men'de'shao'nian'shi'dai 我们的少年时代
'wo'men'de'shi'guang 我们的时光
'wu'tong 邬童
'xi'yang'yang 玺烊烊
'xi'zi'ge 玺子哥
'xia'chang'an 夏常安
'xiang'chang'jiu'chang 想唱就唱
'xiao'jing'ling 小精灵
'xiao'kai 小凯
'xiao'pang'xie 小螃蟹
'xiao'qi 小七
'xiao'qian'qian 小千千
'xiao'tang'yuan 小汤圆
'xiao'wang 小王
'xiao'wang'zi 小王子
'xiao'yuan 小源
'xiao'ze'ma'li'ya 小泽玛利亚
'xin'yang'zhi'ming 信仰之名
'xing'fu'cheng'zhang 幸福成长
'xing'yun'fu'hao 幸运符号
'xuan'shi'ji'zu'he 炫世纪组合
'yan'shi'fan'zhi'xin'qing'nian 艳势番之新青年
'yang'shao 烊少
'yang'wu'ye 烊五爷
'yang'yang 烊烊
'yi'xia'ke'ji 一下科技
'yi'yang'qian'xi 易烊千玺
'yi'yang'qian'xi'tong'kuan 易烊千玺同款
'yi'zhen'feng 易阵风
'yi'zong 易总
'yin'ke 尹柯
'yin'wei'yu'jian'ni 因为遇见你
'ying'huo 萤火
'yong'shi 勇士
'yuan'bao 源宝
'yuan'ge 源哥
'yuan'yuan 源源
'zhang'xiao'fan 张小凡
'zhi'ming'zhui'ji 致命追击
'zhi'yu'xi'wei'xiao 治愈系微笑
'zhu'xian'qing'yun'zhi 诛仙青云志
'zui'qiang'da'nao 最强大脑
