'a'wei 阿纬
'ao'quan 敖犬
'bang'bang'tang 棒棒堂
'ben'xun 本薰
'cai'di'tong 蔡玓彤
'da'ya 大牙
'gui'gui 鬼鬼
'gui'wang 鬼王
'guo'jie'qi 郭婕祁
'hei'se'hui'mei'mei 黑涩会美眉
'hei'se'jiu'niu'niu 黑涩九妞妞
'hei'tang'ma'qi'duo 黑糖玛奇朵
'hei'tang'qun'xia'zhuan 黑糖群侠传
'huang'cheng'yi 黄瀞怡
'huang'wei'ting 黄暐婷
'jiu'niu'niu 九妞妞
'liao'jun'jie 廖俊杰
'liao'yi'yin 廖亦崟
'liu'jun'wei 刘俊纬
'man'ma 蛮马
'qiu'sheng'yi 邱胜翊
'quan'ya 犬牙
'rong'wei 容威
'shi'ba'jin'bu'jin 十八禁不禁
'tong'tong 彤彤
'wang'gui 王鬼
'wang'shu'xuan 王淑萱
'wang'xun 王薰
'wang'ya 王丫
'wang'zi 王子
'wei'lian 威廉
'wei'rong 威容
'wei'ya 纬丫
'wu'ying'jie 吴映洁
'xiao'jie 小婕
'xiao'jie 小杰
'xiao'jie 筱婕
'xiao'jie 筱杰
'xiao'man 小蛮
'xiao'xun 小薰
'xiao'yu 小煜
'xun'yu 薰煜
'ya'quan 牙犬
'ya'tou 丫头
'ya'wei 丫纬
'yang'qi'yu 杨奇煜
'yi'jie 翊洁
'zhan'ya'wen 詹雅雯
'zhan'zi'qing 詹子晴
'zhang'xiao'jie 张筱婕
'zhou'yi'jun 周怡君
'zhou'yi'pei 周宜霈
'zhuang'hao'quan 庄濠全
