'a'na'qu 阿那曲
'kong'feng'xie'tiao'cai'gui'lai 恐凤鞋挑菜归来
'kuang'tian'qi'zhuang'dian'qing'ming 况天气妆点清明
'lai'nian'zao'dao'mei'shao 来年早到梅梢
'lan'yi'hai'qie'dan'bo 揽衣还怯单薄
'lang'zhan'tian'pu'tao'zhang'lv 浪粘天葡萄涨绿
'lei'xi'can'zhuang'wu'yi'ban 泪洗残妆无一半
'lei'xiang'chou'zhong'jin 泪向愁中尽
'lei'yan'qing'zhu'hu 泪眼倾珠斛
'liang'yuan'yan'ke 梁园燕客
'liao'gu'yuan'bu'juan'zhong'lian 料故园不卷重帘
'liu'hua'jian'jiu 六花翦就
'liu'wo'xu'yu'zhu 留我须臾住
'liu'zai'guang'han'gong'que 留在广寒宫阙
'lou'wai'chui'yang'qian'wan'lv 楼外垂杨千万缕
'luan'hong'wu'shu 乱红无数
'luo'hua'he'yu'ye'tiao'tiao 落花和雨夜迢迢
'lv'man'shan'chuan'wen'du'yu 绿满山川闻杜宇
'lv'yang'ying'li 绿杨影里
'lv'ye'yan'chou'lu'qi 绿野烟愁露泣
'man'lu'tao'hua'chun'shui'xiang 满路桃花春水香
'man'ning'bi'wa'nan'liu 谩凝碧瓦难留
'man'yuan'luo'hua'lian'bu'juan 满院落花帘不卷
'mei'hua'yi'jiu 梅花依旧
'mei'rui'gong'zhuang'kun 梅蕊宫妆困
'meng'hui'jiu'xing'chun'chou'qie 梦回酒醒春愁怯
'mo'ye'chou'ren'ku 莫也愁人苦
'mu'han'wu'nai'qin'luo'mu 暮寒无奈侵罗幕
'nao'e'xue'liu'tian'zhuang'shu 闹蛾雪柳添妆束
'nao'ren'guang'jing'you'qing'ming 恼人光景又清明
'nao'yan'liao'lu 恼烟撩露
'nen'xiao'suo 恁萧索
'ni'yu'liu'lian'ji'wu'ji 拟欲留连计无及
'nian'nian'yu'jing'tai 年年玉镜台
'pa'jian'jiang'nan'xin 怕见江南信
'piao'luo'shen'yan'dong 飘落深岩洞
'pu'sa'man 菩萨蛮
