'an'qi'hei'yan'wu 暗器黑演舞
'an'sha'po'jie'seng 暗杀破戒僧
'an'ya'xiao'seng 岸涯小僧
'ao'di'zang 鏖地藏
'ba'shi'ba'gui'ye'xing 八十八鬼夜行
'ba'shi'liu'ping'gui'shu 八十流凭鬼术
'ba'zhan'yi'nv'yan'wu 魃战乙女演舞
'bai'cang'zhu 白藏主
'bai'gui'ye'xing 百鬼夜行
'bai'wu'yu'zu 百物语组
'bi'rui'shan 比叡山
'bing'li 冰丽
'cang'tian 仓田
'cha'zhi'ni 茶枳尼
'chang'zhou'de'xian'sha'shi 常州的弦杀师
'chi'he'tong 赤河童
'chi'mei'wang'liang'zhi'zhu 魑魅魍魉之主
'chuang'zao'shi'shen'shi 创造式神使
'ci'mu'tong'zi 茨木童子
'da'tian'gou 大天狗
'da'yuan'fei'fei'de'da'tai'dao 大猿狒狒的大太刀
'dai'wen 代纹
'dan'dao 淡岛
'dao'er'lang 岛二郎
'dong'bei'yuan'ye 东北远野
'er'shi'qi'mian'qian'shou'bai'zu 二十七面千手百足
'er'tiao'cheng 二条城
'er'wei'zhi'tie'shan 二尾之铁扇
'fei'fei 狒狒
'fei'fei'zu 狒狒组
'feng'sheng'he'li 风声鹤唳
'fu'jian'dao'he'da'she 伏见稻荷大社
'fu'shi'hui'ding 浮世绘町
'gang'li'li'zan 刚力礼赞
'guan'dong'da'yuan'hui 关东大猿会
'gui'chan 鬼缠
'gui'chan'du'yu 鬼缠毒羽
'gui'chan'ming'jing'zhi'shui'bai'huo'liao'luan 鬼缠明镜止水百火撩乱
'gui'chan'nong'hong'da'shen'zhao 鬼缠浓红大申爪
'gui'chan'wei'pao'liu'xing'tian'xia 鬼缠畏炮流星天下
'gui'chan'xi'se'zi'wan'zhi'lian 鬼缠袭色紫菀之镰
'gui'chan'xue'xia'hong'mei 鬼缠雪下红梅
'gui'li'gong 桂离宫
'gui'shen'zhi'ping'wan'quan'fu'xing'yi'zang'nuo 鬼神之凭完全父性伊奘诺
'gui'tong'wan 鬼童丸
'he'tong 河童
'he'tong'ren'fa'mi'chuan 河童忍法秘传
'he'tong'ren'fa'mi'chuan'jiao'qiu'qiu 河童忍法秘传蛟虬球
'he'tong'ren'fa'tong'dao'ren'chi 河童忍法通道忍池
'hei'tian'fang 黑田坊
'hei'yu'wan 黑羽丸
'hua'kai'yuan 花开院
'hua'kai'yuan'bu 花开院布
'hua'kai'yuan'fen'jia'ai'hua'liu 花开院分家爱华流
'hua'kai'yuan'fen'jia'ba'shi'liu 花开院分家八十流
'hua'kai'yuan'fen'jia'fu'shou'liu 花开院分家福寿流
'hua'kai'yuan'hao'luo 花开院豪罗
'hua'kai'yuan'hui'wu 花开院灰吾
'hua'kai'yuan'long'er 花开院龙二
'hua'kai'yuan'po'hu 花开院破户
'hua'kai'yuan'qiu'fang 花开院秋房
'hua'kai'yuan'shi'ren 花开院是人
'hua'kai'yuan'xiu'er 花开院秀尔
'hua'kai'yuan'xiu'yuan 花开院秀元
'hua'kai'yuan'ya'ci 花开院雅次
'hua'kai'yuan'you'luo 花开院柚罗
'hua'tou'gui 滑头鬼
'hua'tou'gui'zhi'sun 滑头鬼之孙
'hua'tou'gui'zhi'sun'qian'nian'mo'jing 滑头鬼之孙千年魔京
'huan'ye'xing 幻夜行
'huang'ku'lou 荒骷髅
'huang'se'hong'mo 黄色虹膜
'huo'jian'chong'ru'dao 火间虫入道
'ji'chuan'bing'li 及川冰丽
'ji'guan'wan 鸡冠丸
'ji'nai 纪乃
'jia'zhang'jia'nai 家长加奈
'jian'zhao'ding'sheng 菅沼定盛
'jin'sheng'shui 金生水
'jin'sheng'shui'zhi'hua 金生水之花
'jin'sheng'shui'zhi'liu'xing 金生水之流星
'jin'sheng'shui'zhi'zhen 金生水之阵
'jing'hua'shui'yue 镜花水月
'jing'li'zhi'tu'yan 经立之土彦
'juan'sha'zhi 卷沙织
'kai'lang'tai 凯郎太
'ke'lian'jing'wu'zi'yi'li 可怜竟无子一粒
'kuang'gu 狂骨
'lian'you'zhi'zhu'duo 镰鼬之铸铎
'lie'yan'shan 捩眼山
'ling'luo'mo'zhan 凌罗魔斩
'liu'tian 柳田
'long'an'si 龙安寺
'lou'gu'zhong 蝼蛄众
'lu'sheng 陆生
'lu'yuan'si 鹿苑寺
'luan'fa'you'nv'zhi'wu 乱发游女之舞
'luo'xin'fu 络新妇
'ma'tou'wan 马头丸
'mao'chang'ji 毛倡妓
'mei'ruo'wan 梅若丸
'mi'mi'qie'wan 弥弥切丸
'ming'jing'zhi'shui 明镜止水
'ming'jing'zhi'shui'ying 明镜止水樱
'mo'mei'liu 魔魅流
'na'dou'xiao'seng 纳豆小僧
'niao'ju'xia'shi 鸟居夏实
'niu'gui 牛鬼
'niu'tou'wan 牛头丸
'niu'tou'yin'mo'zhao 牛头阴魔爪
'nu'liang'hua'piao 奴良滑瓢
'nu'liang'jia'yi'mai'xiang'chuan'wu'hui'zhuan'hei'dao'fei'ti 奴良家一脉相传无回转黑道飞踢
'nu'liang'jia'yi'zi'xiang'chuan'wu'yong'yao'guai'tui'san'ti 奴良家一子相传无用妖怪退散踢
'nu'liang'li'ban 奴良鲤伴
'nu'liang'lu'sheng 奴良陆生
'nu'liang'ruo'cai 奴良若菜
'nu'liang'zu 奴良组
'pi'pa'hu 琵琶湖
'ping'gui'qiang 凭鬼枪
'qi'ren'tong'hang 七人同行
'qian'yu'da'ren 千羽大人
'qie'lie'tong'lu'de'xiao'seng 切裂通路的小僧
'qing'ji 清继
'qing'shi'zi 清十字
'qing'shi'zi'guai'qi'zhen'tan'tuan 清十字怪奇侦探团
'qing'shi'zi'qing'ji 清十字清继
'qing'shui'si 清水寺
'qing'tian'fang 青田坊
'quan'feng'huang 犬凤凰
'quan'shen 犬神
'san'dai'mu 三代目
'san'wei'zhi'tai'dao 三尾之太刀
'san'yu'ya 三羽鸦
'sha'qu'luo'xuan'ren 杀取螺旋刃
'sha'qu'she'xing'ren 杀取蛇行刃
'shan'ben'wu'lang'zuo'wei'men 山本五郎左卫门
'shan'chui'hua'kai'qi'ba'zhong 山吹花开七八重
'shan'chui'yi'nv 山吹乙女
'shao'zhu 少主
'shi'shen'e'lang 式神饿狼
'shi'shen'kuang'yan 式神狂言
'shi'shen'qiang'mao'luo'wan 式神强毛裸丸
'shi'shen'wu'mao'wan 式神五毛丸
'shi'shen'yan'yan 式神言言
'shi'shen'yang'yan 式神仰言
'shou'wu 首无
'shou'xi'gui 手洗鬼
'shou'zhi'nian'zhu 兽之念珠
'shui'dan'yu 水弹玉
'shui'shi'shen 水式神
'si'fen'zhi'yi'de'yao'guai'xue'tong 四分之一的妖怪血统
'si'guo 四国
'si'guo'ba'shi'ba'gui'ye'xing 四国八十八鬼夜行
'si'wei'zhi'qiang'hu'tui'zhi 四尾之枪虎退治
'song'shan'shan'kou'ling'tang'mian 松山山口灵堂面
'tian'nv'zhi'ping'wan'quan'mu'xing'yi'zang'ran 天女之凭完全母性伊奘冉
'tian'xie'gui 天邪鬼
'tian'xie'gui'dan'dao 天邪鬼淡岛
'tu'zhi'zhu 土蜘蛛
'wei'de'fa'dong'ba'zhi'yi'dong'ping 畏的发动魃之移动凭
'wu'tou'gui 无头鬼
'wu'yong'yao'guai'tui'san'ti 无用妖怪退散踢
'wu'zhi'jin'hua 五枝金花
'xi'fang'si 西芳寺
'xian'sha'sha'qu'suo'zhi'zhu 弦杀杀取锁蜘蛛
'xiang'guo'si 相国寺
'xie'mei 邪魅
'xing'ying 猩影
'xiu'dao'fan 秀岛藩
'xiu'dao'fan'fan'zhu'jian'zhao'ding'sheng 秀岛藩藩主菅沼定盛
'xiu'yi'shen 袖衣神
'xiu'yuan 秀元
'xue'hua'zhuang 雪化妆
'xue'jie'jing 雪结晶
'xue'li 雪丽
'xue'nv'leng'li 雪女冷丽
'xue'shan'sha 雪山杀
'xue'wei'meng'bai'gui'ye'xing 血畏梦百鬼夜行
'ya'tian'gou 鸦天狗
'yan'yan 言言
'yao'dao'ba'shi'liu'yao'qiang'qi'yi 妖刀八十流妖枪骑亿
'yao'guai'shao'ye 妖怪少爷
'yao'ming'jiu 妖铭酒
'ye'an'bei'qing'ming 鵺安倍晴明
'ye'que 夜雀
'yin'shen'xing'bu'li 隐神刑部狸
'ying'ji 珱姬
'you'ren'li'xian'sheng 游人鲤先生
'yu'yi'hu 羽衣狐
'yu'zhang 玉章
'yuan'ye'yao'guai 远野妖怪
'yun'wai'jing 云外境
'zhan'lue'yao'sai 战略妖塞
'zhao'he'tong'ren'fa'ni'zhao'di'yu 沼河童忍法泥沼地狱
'zhao'he'tong'zhi'yu'zao 沼河童之雨造
'zhen'nv 针女
'zhen'sang 鸩桑
'zhen'yi'pai 鸩一派
'zhu'duo 铸铎
'zhu'zhu'mei 竹竹美
'zhui'qiao'kuan 椎桥宽
'zong'da'jiang 总大将
'zu'zhou'zhi'chui'xue 诅咒之吹雪
'zu'zhou'zhi'piao'xue 诅咒之飘雪
