'ai'er'deng'fa'huan 艾尔登法环
'an'hei'po'huai'shen 暗黑破坏神
'bu'ke'neng'de'yu'zhou 不可能的宇宙
'ci'ke'xin'tiao 刺客信条
'fan'kong'jing'ying 反恐精英
'gui'qi 鬼泣
'hao'han'qian'xi 浩瀚前夕
'he'jin'zhuang'bei 合金装备
'ji'pin'fei'che 极品飞车
'jie'tou'ba'wang 街头霸王
'ming'yun'fang'zhou 命运方舟
'mo'shou'zheng'ba 魔兽争霸
'san'guo'zhi 三国志
'shang'gu'juan'zhou 上古卷轴
'sheng'hua'wei'ji 生化危机
'shi'ming'zhao'huan 使命召唤
'shi'ming'zhao'huan'xian'dai'zhan'zheng'zhong 使命召唤现代战争重
'tao'sheng'shi'lian 逃生试炼
'wen'ming 文明
'wo'de'shi'jie 我的世界
'xia'dao'fei'che 侠盗飞车
'xin'ling'sha'shou 心灵杀手
'xing'ji'zheng'ba 星际争霸
'xing'ji'zheng'ba'zi'you'zhi'yi 星际争霸自由之翼
'yong'jie'wu'jian 永劫无间
'yun'ding'zhi'yi 云顶之弈
'zhi'wu'da'zhan'jiang'shi 植物大战僵尸
'zui'hou'de'sheng'huan'zhe 最后的生还者
'zui'zhong'huan'xiang 最终幻想
