'ai'de'hua'niu'gai'te 爱德华纽盖特
'bai'hu'zi 白胡子
'bu'lu'ke 布鲁克
'bu'si'niao 不死鸟
'cao'mao 草帽
'guang'nan 光男
'hai'zei'wang'wo'dang'ding'le 海贼王我当定了
'hong'fa 红发
'ka'ba'ji 卡巴基
'lao'die 老爹
'luo'bin 罗宾
'luo'luo'nuo'ya'zhuo'luo 罗罗诺亚卓洛
'na'mei 娜美
'qiao'ba 乔巴
'shan'ji'shi 山吉士
'shan'zhi 山治
'shi'cun'zai'de 是存在的
'wan'li'yang'guang'hao 万里阳光号
'xiang'ke'si 香克斯
'xiang'yao'wo'de'cai'bao'ma'qu'zhao'ba 想要我的财宝吗去找吧
'xiao'chou'ba'ji 小丑巴基
