'an'huang 暗黄
'ba'bai 八白
'bai'ai'bai 白艾白
'bai'hua'tou 白花头
'bai'huang 白黄
'bai'ma'tou 白麻头
'bai'qing 白青
'bai'sha'qing 白砂青
'bai'wu'tou 白乌头
'bai'ya'qing 白牙青
'bai'ye'qing'ma'tou 柏叶青麻头
'bai'zi 白紫
'bai'zi'du 白紫笃
'cao'se'bai 草色白
'cao'se'bai'qing 草色白青
'cao'se'qing 草色青
'cao'zi'huang 草紫黄
'chi'ke'bai 螭壳白
'chi'tou'qing 赤头青
'chu'lu'yin'hong 出炉银红
'chun'bai 纯白
'chun'hong 纯红
'chun'zi 纯紫
'da'bai 大白
'da'tou'huang 大头黄
'dan'bai 淡白
'dan'bai'qing 淡白青
'dan'huang 淡黄
'dan'huang'bai 淡黄白
'dan'qing 淡青
'dan'zi 淡紫
'dao'ye'qing 稻叶青
'gou'ying'huang 狗蝇黄
'he'ni'qing 河泥青
'he'shui'qing 河水青
'he'xia'qing 河虾青
'hei'huang 黑黄
'hei'ma'wu'qing 黑麻乌青
'hei'qing 黑青
'hei'se'bai 黑色白
'hei'zi 黑紫
'hei'zi'du 黑紫笃
'hei'zi'hei'hong'qian 黑紫黑红钳
'hei'zi'wu'tou 黑紫乌头
'hong'bai 红白
'hong'huang 红黄
'hong'ma'tou 红麻头
'hong'qing 红青
'hong'sha'qing 红砂青
'hong'tou'bai 红头白
'hong'tou'bai'chi 红头白翅
'hong'tou'huang 红头黄
'hong'tou'qing 红头青
'hong'tou'qing'chi 红头青翅
'hong'tou'zi 红头紫
'hong'xian'qing 红线青
'hong'ya'qing 红牙青
'hong'zi 红紫
'hu'bai'tou'qing 琥柏头青
'hua'ding'dan'zi 花顶淡紫
'hua'pu'tao'zi 滑葡萄紫
'hua'zi 滑紫
'huang'chang'yi 黄长衣
'huang'da'tou 黄大头
'huang'du 黄笃
'huang'hua'tou 黄花头
'huang'ma'tou 黄麻头
'huang'tou'hong 黄头红
'huang'wu'tou 黄乌头
'huang'yi'xian 黄一线
'hui'qing 灰青
'ji'xie'qing 鸡血青
'jia'pi'zi 茄皮紫
'jian'chi'bai 尖翅白
'jian'tou'qing 尖头青
'jian'tou'zi 尖头紫
'jiang'ban'zi 酱瓣紫
'jin'bei'du 金背笃
'jin'bei'zi 金背紫
'jin'qing'huang'ma'tou 金青黄麻头
'jin'xian'huang 金线黄
'lan'yi 烂衣
'lao'bai 老白
'le'ling'huang 乐陵黄
'li'qing 栗青
'li'zi 栗紫
'lu'hua'bai 芦花白
'lu'hua'qing 芦花青
'luo'xia'hong 落霞红
'ma'nao'hong 玛瑙红
'ma'pi'huang 麻皮黄
'ma'tie'se'qing 麻铁色青
'ma'tou'zi 麻头紫
'ma'zhen'qing 麻真青
'ma'zi 麻紫
'mai'ju'huang 麦橘黄
'mai'zi'qing 麦紫青
'mei'gui'zi 玫瑰紫
'mi'la'tou 蜜蜡头
'mi'la'tou 密蜡头
'mi'qing'bei 蜜青背
'pao'ma'huang 跑马黄
'pi'pa'du 琵琶笃
'pu'tao'qing 葡萄青
'qi'cai'zhu'sha'e 七彩朱砂额
'qi'tun 齐臀
'qing'chang'yi 青长衣
'qing'da'tou 青大头
'qing'du 青笃
'qing'huang 青黄
'qing'huang'bai 青黄白
'qing'ma'qing 青麻青
'qing'ma'tou 青麻头
'qing'san'se'du 青三色笃
'qing'tie'xian'qing 青铁线青
'qing'wu 青乌
'qing'xiang'bai 青项白
'sha'huang 沙黄
'sha'huang 砂黄
'shan'zha'hong 山查红
'she'gong'hong 射弓红
'shen'huang 深黄
'shen'zi 深紫
'shi'liu'hong 石榴红
'shu'ou'zi 熟藕紫
'shu'xia'qing 熟虾青
'shui'hong 水红
'shui'li'bai 水梨白
'shui'mo'hei 水墨黑
'su'ye'huang 苏叶黄
'su'ye'qing 苏叶青
'su'zi 粟紫
'tan'se'zi'huang 谈色紫黄
'teng'hua'zi 藤花紫
'tian'lan'qing 天蓝青
'tie'sha'qing 铁砂青
'tong'tou'tie'bei 铜头铁背
'tong'tou'tie'bei'zi 铜头铁背紫
'wu'bei'bai 乌背白
'wu'bei'huang 乌背黄
'wu'jiang'mei'zi 乌酱煤紫
'wu'ma'tou 乌麻头
'wu'qing 乌青
'wu'tou'jin'chi 乌头金翅
'wu'tou'yin'chi 乌头银翅
'xia'qing 虾青
'xie'huang 蟹黄
'xie'qing 蟹青
'ya'bai 哑白
'ya'qing 鸦青
'yin'bei'zi 银背紫
'yin'ya'dan'zi 银牙淡紫
'yin'yang'chi 阴阳翅
'you'huang 油黄
'you'qing 油青
'you'ting'qing 蚰蜓青
'yu'gu'bai 玉骨白
'yu'ya'qing 玉牙青
'yue'bai 月白
'zao'hong 枣红
'zao'hui'hei 灶灰黑
'zhen'hei 真黑
'zhen'hong 真红
'zhen'huang 真黄
'zhen'qing 真青
'zhen'wu 真乌
'zhen'zi 真紫
'zheng'bai 正白
'zheng'qing 正青
'zhong'qing 重青
'zhong'qing'yi'xian 重青一线
'zhu'tou'bai 朱头白
'zhu'ye'qing 竹叶青
'zi'du 紫笃
'zi'huang 紫黄
'zi'ke'bai'ya 紫壳白牙
'zi'qing 紫青
'zi'tou'jin'chi 紫头金翅
'zuo'da 左搭
