'an 庵
'an'tuo'hui 安陀会
'an'xi'xiang 安息香
'ban 板
'biao 杓
'bo 钵
'cha 茶
'chen'qi'yao 陈弃药
'chi'mu 齿木
'chou 筹
'da'gu 大鼓
'dan 单
'deng'ming 灯明
'duo'ma'shi'zi 多玛食子
'er'dang 耳璫
'fa'gu 法鼓
'fa'ju 法具
'fa'luo 法螺
'fa'qi 法器
'fa'yi 法衣
'fa'zuo 法座
'fan 幡
'fen'sao'yi 粪扫衣
'fo'bo 佛钵
'fo'jiao'qi 佛教旗
'fo'tan 佛坛
'fo'xiang 佛像
'fu'zi 拂子
'gai 盖
'gong 弓
'gong'ju 供具
'gong'wu 供物
'hua 华
'hua'man 华鬘
'huan'xi'wan 欢喜丸
'jia'chi'na'yi 迦絺那衣
'jia'sha 袈裟
'jian'zhi 犍稚
'jie'chi 戒尺
'jie'dao 戒刀
'jie'mo'jin'gang 羯磨金刚
'jin'gang'chu 金刚杵
'jin'gang'ling 金刚铃
'jin'gang'xian 金刚线
'jin'gang'zuo 金刚座
'jin'shang'pai 今上牌
'jing'ce 警策
'jing'chuang 经幢
'jing'wei'zi 经帷子
'juan'suo 罥索
'jun'tu 军荼
'kan 龛
'lu'pan 露盘
'lu'shui'nang 漉水囊
'lun'cang 轮藏
'man'yi 缦衣
'mu'yu 木鱼
'na'yi 衲衣
'ni'shi'tan 尼师坛
'nian'chi'fo 念持佛
'ping 瓶
'qi'ceng'lun'deng 七层轮灯
'qi'tiao'yi 七条衣
'qing 磬
'qu'lu 曲彔
'qu'mo'yi 瞿摩夷
'qu'shun'bu 屈眴布
'san'bao'wu 三宝物
'san'yi 三衣
'san'yi'yi'bo 三衣一钵
'seng'chi'zhi 僧祇支
'seng'ga'li 僧伽梨
'sheng'fan 生饭
'shi'ba'wu 十八物
'shi'san'zi'ju'yi 十三资具衣
'shi'zhong'yi 十种衣
'shi'zi 食子
'shi'zi'zuo 师子座
'shou'jin 手巾
'shu'zhu 数珠
'si'yin 寺印
'tai'zuo 台座
'tang'ka 唐卡
'tou'jin 头巾
'tu'xiang 涂香
'wan'xiang 丸香
'wu'yi 五衣
'xi'zhang 锡杖
'xian'xiang 线香
'xiang 香
'xiang'deng 香灯
'xiang'fang 香房
'xiang'lu 香炉
'xiang'tang 香汤
'xu'mi'tan 须弥坛
'yan'ga 阏伽
'yi'bo 衣钵
'yi'bo'bu 衣钵簿
'yi'nang 衣囊
'yin'qing 引磬
'ying'luo 璎珞
'yun'ban 云版
'zao'dou 澡豆
'zhi'qian 纸钱
'zhong 钟
'zhou 粥
'zhu'bi 竹篦
'zhu'san 朱伞
'zhuang 幢
'zi'yi 紫衣
'zi'yi 缁衣
