'biao'zheng 表征
'biao'zheng'shi'jian'zhi'jue'yan'jiu'kong'zhi'qi 表征时间知觉研究控制器
'cai'jia'ni'ke'xiao'ying 蔡加尼克效应
'ce'ting'shu 测听术
'chao'gan'guan'zhi'jue 超感官知觉
'da'xiao'chang'xing'gu'ji'qi 大小常性估计器
'dong'ji 动机
'dong'ji'yin'zi 动机因子
'dong'jue'hou'xiao 动觉后效
'dong'zuo'si'wei 动作思维
'dong'zuo'wen'ding'qi 动作稳定器
'fa'san'si'wei 发散思维
'fan'ying'shi'yan'jiu 反应时研究
'fei'xi'na'ding'lv 费希纳定律
'fen'bu'xue'xi 分布学习
'gai'nian 概念
'gan'jue 感觉
'gan'jue'bo'duo'shi'yan 感觉剥夺实验
'gan'jue'shi'ying 感觉适应
'gan'shou'xing 感受性
'heng'chang'xing 恒常性
'hua'dao'zui'bian'xiao'ying 话到嘴边效应
'ji'neng 技能
'ji'ti'dang 机体党
'ji'yi 记忆
'ji'yi'biao'xiang 记忆表象
'ji'yi'hen'ji 记忆痕迹
'ji'yi'hui'fu 记忆恢复
'ji'yi'shi'yan 记忆实验
'jin'yin'xiao'ying 近因效应
'ju'he'si'wei 聚合思维
'kong'jian'pin'lv 空间频率
'kong'jian'zhi'jue'yan'jiu'kong'zhi'qi 空间知觉研究控制器
'kong'ju 恐惧
'kong'zhi'lian'xiang 控制联想
'li'jie 理解
'lian'xiang 联想
'liang'dian'yu 两点阈
'ma'he'dai 马赫带
'ma'sen'pan 马森盘
'mian'bu'biao'qing 面部表情
'mian'bu'shi'jue 面部视觉
'ming'shi'jue'he'an'shi'jue 明视觉和暗视觉
'nei'zai'dong'ji 内在动机
'pu'tong'xin'li'xue 普通心理学
'qian'yi'de'shi'yan'yan'jiu'fang'fa 迁移的实验研究方法
'qiao'ji'ban 敲击板
'qing'xu 情绪
'qu'ti'jue 躯体觉
'ren'gong'gai'nian 人工概念
'se'jue'li'lun 色觉理论
'se'mang 色盲
'shen'du'zhi'jue'yi 深度知觉仪
'shi'ji 识记
'shi'jian'zhi'jue 时间知觉
'shi'jue'hou'xiang 视觉后象
'shi'jue'hou'xiang'chu'jue'ji 视觉后象触觉计
'shi'jue'li'lun 视觉理论
'shi'jue'min'du 视觉敏度
'shi'jue'shi'ying 视觉适应
'shi'ye 视野
'shi'ying 适应
'shou'yin'xiao'ying 首因效应
'si'te'lu'pu'yan'jiu 斯特鲁普研究
'si'wei 思维
'te'zheng'jue'cha'qi 特征觉察器
'ti'shi'fa 提示法
'ting'jue'bian'bie 听觉辨别
'ting'jue'ding'wei 听觉定位
'ting'jue'li'lun 听觉理论
'ting'pi'lao'he'ting'shi'ying 听疲劳和听适应
'tong'jiao 统觉
'tou'jing'mo'xing 透镜模型
'wei'bo'ding'lv 韦伯定律
'wei'jue'yan'jiu 味觉研究
'wu'yi'shi'tui'li 无意识推理
'xi'lie'wei'zhi'xiao'ying 系列位置效应
'xiang'xiang 想象
'xin'hao'jian'ce'lun 信号检测论
'xin'li'tou'she 心理投射
'xin'li'wu'li'ding'lv 心理物理定律
'xin'li'wu'li'fa 心理物理法
'xin'li'wu'li'xue 心理物理学
'xin'xiang 心向
'xing'ge 性格
'xing'qu 兴趣
'xing'wei'dui'bi 行为对比
'xiu'jue'yan'jiu 嗅觉研究
'xu'yao 需要
'xuan'ze'xing'zhu'yi 选择性注意
'yi'zhi 意志
'yi'zhi'xing'dong'de'xin'li'jie'gou 意志行动的心理结构
'yu'xia'zhi'jue 阈下知觉
'yu'xian 阈限
'yun'dong'ji'yi 运动记忆
'yun'dong'zhi'jue 运动知觉
'zai'ren 再认
'zai'xian 再现
'zai'zao'xiang'xiang'he'chuang'zao'xiang'xiang 再造想象和创造想象
'zhi'jue'chang 知觉场
'zhi'jue'xiang'dui'xing 知觉相对性
'zhi'jue'xuan'ze'xing 知觉选择性
'zhi'jue'xuan'ze'xing'tu'xing'hou'xiao 知觉选择性图形后效
'zhi'li 智力
'zhu'yi 注意
'zhu'yi'de'fen'pei 注意的分配
'zhu'yi'de'guang'du 注意的广度
'zhu'yi'de'wen'ding'xing 注意的稳定性
'zi'ran'yan'se'xi'tong 自然颜色系统
'zi'you'lian'xiang 自由联想
